harmonics,nodes,cutoff,separation,interaction_energy,force,force_energy_derivative_error,single_wall_dressing,two_wall_free_subtracted_energy,interaction_inertia,center_energy,center_radial_enthalpy,min_frequency
16,8,8.0,0.7,-0.04189591161730277,-0.23662952874443083,1.407152727672667e-10,4.004348192630687,7.966800473644071,1.8431997841496695,1.4412792765489115,1.57099698815302,0.32065087088272753
16,8,8.0,1.0,-0.010696382134710802,-0.03434915884328408,1.855460229904793e-11,4.004348192630687,7.998000003126663,1.8546099806902636,-0.2762880486881656,-0.16573974841666939,0.32729544299741303
16,8,8.0,1.2,-0.006157291201816406,-0.015422026013382403,1.3691808103954983e-12,4.004348192630687,8.002539094059557,1.8558931336209172,-0.22394268150080165,-0.20236122606354456,0.3319572615256888
16,8,12.0,0.7,-0.048053058265622894,-0.28030691997551316,9.020356683819841e-11,7.0914570519910285,14.134861045716434,3.348855657048847,2.6714538504283496,3.536875389649474,0.3665445279056516
16,8,12.0,1.0,-0.012024906423448556,-0.038249902463511565,5.7666059427585736e-11,7.0914570519910285,14.170889197558608,3.362608166362102,-0.28011071361169115,0.22920082435633304,0.3723710742614123
16,8,12.0,1.2,-0.007000716055244993,-0.01698353211419149,-7.45124656420515e-11,7.0914570519910285,14.175913387926812,3.3641283409908067,-0.2544854748228431,-0.021462928555344263,0.3764751431626794
24,12,8.0,0.7,-0.03791147292531605,-0.21434801267349396,1.4004639115050566e-10,5.096864813035609,10.155818153145901,2.3732854068871756,1.7114057156560847,0.8950345041288941,0.2881240050120359
24,12,8.0,1.0,-0.00962581091289394,-0.03382583629721595,-4.656386387580369e-12,5.096864813035609,10.184103815158323,2.383197876854824,-0.19682283889309815,-0.26779249035072894,0.29548123916656355
24,12,8.0,1.2,-0.005233399186863608,-0.01388044825666837,5.052244733683153e-11,5.096864813035609,10.188496226884354,2.384419777626028,-0.1514124992026069,-0.13969601519158914,0.3006228754701616
24,12,12.0,0.7,-0.042552612603230955,-0.25490434237343745,2.143172306290353e-10,9.314548276773621,18.58654394094401,4.433970106157006,3.342202981884043,2.5756486291739407,0.29969258658138503
24,12,12.0,1.0,-0.010368382465912873,-0.03614541943427854,-5.72950090149682e-11,9.314548276773621,18.61872817108133,4.445783884365422,-0.15563549089381468,-0.062810020204779,0.3067725002132251
24,12,12.0,1.2,-0.005700055879060528,-0.01474210547975318,-2.0574793084537912e-10,9.314548276773621,18.623396497668182,4.44714105046961,-0.164436484466421,-0.04991692814240878,0.31172795422228905
32,16,8.0,0.7,-0.036837290108678644,-0.21028375321222686,1.5380566265044138e-10,5.93649179635554,11.836146302602401,2.7856704012344506,2.053994661199795,0.7120871371475772,0.2817297750503882
32,16,8.0,1.0,-0.009181460696254362,-0.032687978922361194,-4.4610350136142785e-11,5.93649179635554,11.863802132014825,2.795270740052657,-0.1373268556434084,-0.2512012472248841,0.2892507286361134
32,16,8.0,1.2,-0.004952056021465978,-0.013386521453074174,-5.0593307321378234e-11,5.93649179635554,11.868031536689614,2.796413438161478,-0.14676260907819483,-0.15014172274476323,0.29450011267491877
32,16,12.0,0.7,-0.04073971634898044,-0.24913354558172604,8.836961717939573e-11,11.084406143556407,22.128072570763834,5.305579556057684,4.066934136357247,2.2272317865257776,0.2856894638081128
32,16,12.0,1.0,-0.009613273403374478,-0.03426861770709766,-4.654470142639866e-10,11.084406143556407,22.15919901370944,5.316873386589207,-0.05254094709283663,-0.12058986984223452,0.29310883234311985
32,16,12.0,1.2,-0.005211793188209413,-0.013884336988545843,-4.201856397545445e-11,11.084406143556407,22.163600493924605,5.318100915244557,-0.1513799159211544,-0.09948918054817568,0.2982903282819684
48,24,8.0,0.7,-0.036188240060710086,-0.2087609105122955,4.543784792865324e-11,7.175953652067619,14.315719064074528,3.399599733244661,2.617634299635995,0.6632269985097992,0.27918596377666915
48,24,8.0,1.0,-0.00890303465530451,-0.03201089436584756,1.251234602039908e-10,7.175953652067619,14.343004269479934,3.4090194378183662,-0.08887149110586279,-0.2678031061757622,0.2867736565994145
48,24,8.0,1.2,-0.0047689288453511836,-0.013048359046220119,4.270213002643963e-11,7.175953652067619,14.347138375289887,3.410115683836369,-0.1446684249548298,-0.16944381797463848,0.29206753384864953
48,24,12.0,0.7,-0.03954863232502248,-0.2467100954571374,3.230075096283258e-10,13.766884002008737,27.494219371692452,6.63545274933899,5.2726799241658,2.090248672341488,0.28001439141060064
48,24,12.0,1.0,-0.00909224714996526,-0.03299748793813751,4.468221626030555e-10,13.766884002008737,27.52467575686751,6.646419425454584,0.05379929127445848,-0.19252714666379234,0.2875802273219429
48,24,12.0,1.2,-0.0048699664239393314,-0.013252509080395427,9.873154967199316e-10,13.766884002008737,27.528898037593535,6.647559334691071,-0.14277707198641565,-0.1556859885220092,0.29285952495278933
