solver_success,status,chart_and_asymptotic_mass_gap,gravity_Gv2,positive_end_clock,omega,maximum_equation_error,maximum_boundary_error,minimum_exterior_f,maximum_scalar_amplitude,adm_mass_rail_units,nodes,maximum_collocation_residual,quadrature_points,matter_number,matter_charge,higgs_charge,net_charge_fraction,gauss_integral_error,far_electric_flux_fraction,exterior_mass_integral_error,core_force_conservation_error,material_proper_energy_rail_units,material_killing_energy_rail_units,minimum_matter_field,minimum_higgs_field,resolved_higgs_sign_changes,inner_electric_normal_derivative,inner_electric_flux,case,tolerance,positive_extent,exterior_extent,seconds,peak_rss_kib
True,0,True,7.526501883563999e-05,0.8489384895875098,0.8538059320084443,1.2773944489620014e-05,4.190685663320528e-16,0.7631853724381719,2.292790905720208,1.7737699379889746,2661,9.924819467379969e-06,32001,49012.757295996365,4901.275729599637,-4901.26956546396,1.2576594374660278e-06,2.245574003654216e-10,1.2578839948663932e-06,1.844400188133477e-09,1.3255987641945866e-06,2.6996099488419807,49.04934354213169,5.902926568803145e-24,-0.022219242858192458,1,0.10766746340380415,-229.49890261336665,r12_q0.85_potential_x0,1e-05,48.0,160.0,0.9805285502225161,654544
True,0,True,7.526501896815015e-05,0.8489384895367783,0.8538059319574219,1.5475192777107845e-06,2.7937904422136854e-16,0.7631853231191037,2.292790675353437,1.7737699237048687,3444,9.99095905807537e-07,32001,49012.75684470032,4901.275684470033,-4901.269519310235,1.25786839894282e-06,1.559678609984127e-11,1.25788399572892e-06,1.1087375462182081e-10,1.1285953308713738e-07,2.699609932223543,49.04934360773649,5.902914431578788e-24,-0.02221924287019002,1,0.1076674667600718,-229.4989097811435,r12_q0.85_potential_x0,1e-06,48.0,160.0,1.4195907041430473,601492
True,0,True,7.52650189796702e-05,0.8489384895488535,0.8538059319695664,1.807590275522473e-08,5.587580884427371e-16,0.7631853156195185,2.292790919345788,1.7737699222845458,10588,9.998979335136736e-09,32001,49012.75680069081,4901.275680069081,-4901.269514836766,1.2578831957408588e-06,7.788733449705635e-13,1.2578839746142039e-06,4.3076653355456074e-14,1.1081903308438046e-07,2.699609930653743,49.049343614288254,5.902861275254015e-24,-0.02221924291398078,1,0.10766746708647895,-229.49891047363332,r12_q0.85_potential_x0,1e-08,48.0,160.0,8.156493820250034,679856
True,0,True,7.526501897967943e-05,0.8489384895488168,0.8538059319695295,1.8023686599475653e-08,2.7937904422136854e-16,0.7631853161576576,2.2927909152313126,1.773769922286211,10506,9.99752609713432e-09,32001,49012.75680074518,4901.275680074518,-4901.275532597556,3.008950567921886e-08,5.204031836072779e-13,3.0090026082402464e-08,1.4455103780619538e-13,1.3161935319280555e-07,2.699609930656511,49.04934361429514,1.0071840090748024e-31,-0.022219245802884827,1,0.10766746708605536,-229.49891047274033,r12_q0.85_potential_x0,1e-08,64.0,200.0,7.0105765257030725,882680
True,0,True,7.513880285795546e-05,0.8491301360252108,0.853998677263094,1.4054875981307224e-05,4.190685663320528e-16,0.7634769030114116,2.313694129390458,1.770909643412698,2670,9.909496925341341e-06,32001,48954.28339980132,4895.4283399801325,-4895.422728247441,1.1463210778554061e-06,1.2869995227454732e-10,1.1464497778076806e-06,1.842336061486094e-09,1.0252163598476715e-06,2.690406556894746,48.97477508331017,4.177663345160883e-24,1.5730603990832702e-151,0,0.10847616982936134,-231.17051685002104,r12_q0.85_potential_x2,1e-05,48.0,160.0,1.0987756606191397,654544
True,0,True,7.513880301631303e-05,0.8491301360922414,0.8539986773305088,1.597719226357225e-06,6.984476105534213e-16,0.763476876918474,2.3136942579914237,1.7709096249230336,3434,9.962961998660401e-07,32001,48954.28281131789,4895.428281131789,-4895.422669121962,1.1463777027739492e-06,7.207506304804265e-11,1.146449777836997e-06,1.1179079884016119e-10,1.1300213708243965e-07,2.6904065354962077,48.974775167881866,4.177654457405298e-24,1.5691130288802925e-151,0,0.10847617415878753,-231.17052605809087,r12_q0.85_potential_x2,1e-06,48.0,160.0,1.2651587212458253,601492
True,0,True,7.513880302707338e-05,0.8491301361012855,0.8539986773396048,1.7567704241299898e-08,9.778266547747898e-16,0.763476861817324,2.3136942768784006,1.7709096235997663,10485,9.997039111699046e-09,32001,48954.28276875792,4895.428276875793,-4895.422664516765,1.1464490359157028e-06,7.139931923367131e-13,1.146449749908895e-06,4.39648317751562e-14,9.161206969822751e-08,2.6904065339719683,48.974775173806634,4.177616621112934e-24,1.5660994225805827e-151,0,0.10847617446781364,-231.17052671418554,r12_q0.85_potential_x2,1e-08,48.0,160.0,6.881526333279908,654544
True,0,True,7.513880302715226e-05,0.8491301361011545,0.8539986773394731,1.8623524780402784e-08,4.190685663320528e-16,0.7634768616366089,2.313694277422713,1.7709096236028625,10446,9.998066158911776e-09,32001,48954.28276882349,4895.42827688235,-4895.428142736757,2.740221797220186e-08,7.051727915120877e-13,2.7402923144993375e-08,1.432187701766452e-13,1.1322800107072237e-07,2.690406533978455,48.97477517385389,7.128117735091844e-32,1.5672689293336836e-151,0,0.10847617446692619,-231.17052671232997,r12_q0.85_potential_x2,1e-08,64.0,200.0,7.184476125054061,601492
