case,metric_fraction,iteration,solver_success,status,chart_and_asymptotic_mass_gap,gravity_Gv2,positive_end_clock,omega,maximum_equation_error,maximum_boundary_error,minimum_exterior_f,maximum_scalar_amplitude,adm_mass_rail_units,nodes,maximum_collocation_residual,seconds,accepted
r12_q0.85_potential_x0,0.025,0,True,0,True,7.809863082426515e-05,0.8436012634228987,0.8484381045206957,2.849771130321779e-05,8.381371326641056e-16,0.7552623476083385,2.2376033266793116,1.839057029185225,1780,1.9917574967463796e-05,0.8960949303582311,True
r12_q0.85_potential_x0,0.0575,1,True,0,True,7.77213606984887e-05,0.8443569250823708,0.849198098813995,2.7926916947918063e-05,2.7937904422136854e-16,0.7563773664143085,2.2354964076815786,1.830090176991774,1812,1.9995067593004565e-05,1.1628691367805004,True
r12_q0.85_potential_x0,0.09975,2,True,0,True,7.727816364584935e-05,0.8452364088568856,0.85008262516425,2.6525989628502465e-05,9.778266547747898e-16,0.757677778664962,2.2341972944576702,1.8196051999879919,1894,1.9830778981723935e-05,1.0020335679873824,True
r12_q0.85_potential_x0,0.154675,3,True,0,True,7.672547874368625e-05,0.8463045030865344,0.8511568433795901,3.1573105695156916e-05,4.190685663320528e-16,0.7592599667765073,2.2371648653006244,1.8067657545157256,1913,1.9938677663552956e-05,1.0624895198270679,True
r12_q0.85_potential_x0,0.22607750000000001,4,True,0,True,7.594775835034461e-05,0.8477334319824984,0.852593965129583,2.6962018708812257e-05,8.381371326641056e-16,0.76138305284269,2.2562162290226118,1.7892261313121638,2332,1.972244018662777e-05,1.6422604266554117,True
r12_q0.85_potential_x0,0.3060775,5,False,1,True,7.464141249778827e-05,0.8499626822546134,0.8548359969488588,73.04511461254744,0.0035344263409478015,0.7647045763055779,2.37722128711423,1.76054049759129,7609,67.64122250630271,6.856796144507825,False
r12_q0.85_potential_x0,0.2660775,6,True,0,True,7.571439322422356e-05,0.8481600328037826,0.8530230118936061,3.897740889062597e-05,2.7937904422136854e-16,0.7620190789835448,2.2635522724555672,1.7839099591351586,2026,1.9988224554178148e-05,0.9821603065356612,True
r12_q0.85_potential_x0,0.3180775,7,True,0,True,7.555818419105208e-05,0.8484463834116922,0.8533110043108025,2.895561081690337e-05,3.2433113243658673e-12,0.7624466137179825,2.26870640393006,1.7803238945265034,3146,1.6648159325802115e-05,1.7171610817313194,True
r12_q0.85_potential_x0,0.3856775,8,False,1,True,7.223660895051406e-05,0.8552131014807354,0.8601165197850568,90.23852732774627,0.02030704525962818,0.7728126383111784,3.6691474386873852,1.687335682086063,6523,73.93063386432554,5.79086534678936,False
r12_q0.85_potential_x0,0.3518775,9,True,0,True,7.549806428231366e-05,0.8485554070980985,0.8534206530913971,2.807164460545333e-05,6.984476105534213e-16,0.7626095954075132,2.271082835091024,1.7789465305108663,2126,1.948489564392322e-05,1.0774876549839973,True
r12_q0.85_potential_x0,0.39581750000000004,10,True,0,True,7.544743554971906e-05,0.8486455072547883,0.8535112698430231,2.8040633962825113e-05,4.190685663320528e-16,0.7627443692854596,2.273577490782676,1.7777950292826896,2200,1.838676454955084e-05,0.9839652180671692,True
r12_q0.85_potential_x0,0.45293950000000005,11,True,0,True,7.540725694319946e-05,0.8487144178016153,0.8535805754928204,2.8529762941881364e-05,2.7937904422136854e-16,0.7628476176659128,2.2762925834399907,1.7768947734892573,1899,1.985962384428378e-05,0.8479809844866395,True
r12_q0.85_potential_x0,0.5271981000000001,12,True,0,True,7.537405729939862e-05,0.8487685313016045,0.8536349992559777,2.8545924244098395e-05,5.587580884427371e-16,0.7629288999653167,2.279372393120527,1.7761646270438318,1918,1.9986754701679062e-05,0.8647212702780962,True
r12_q0.85_potential_x0,0.6071981000000001,13,True,0,True,7.534767116753989e-05,0.8488102102195221,0.8536769171426024,2.963617405266142e-05,1.3968952211068427e-16,0.7629916482727888,2.282274311307319,1.7755886197785753,1895,1.9782589672401966e-05,0.9629183076322079,True
r12_q0.85_potential_x0,0.6871981,14,True,0,True,7.532619205645802e-05,0.8488438227639146,0.85371072240664,2.629611420050577e-05,1.6045312503511802e-17,0.7630423393842377,2.2848075023043615,1.7751184274222884,2021,1.9964608530282843e-05,0.8605002174153924,True
r12_q0.85_potential_x0,0.7671981,15,True,0,True,7.530795560136308e-05,0.848872203810772,0.8537392661780212,2.9407728173267108e-05,1.3968952211068427e-16,0.7630851499027367,2.2870624147276444,1.7747181527780018,1934,1.998746587150899e-05,1.0642031067982316,True
r12_q0.85_potential_x0,0.8471981,16,True,0,True,7.529189343610073e-05,0.8488970876030968,0.8537642926431401,2.8410161968562488e-05,2.7937904422136854e-16,0.7631227150370202,2.289133030390395,1.774364531126886,1953,1.998254115281704e-05,1.0366195421665907,True
r12_q0.85_potential_x0,0.9271980999999999,17,True,0,True,7.527731596257088e-05,0.8489195822581403,0.8537869162727084,2.8606453699157183e-05,1.6762742653282112e-15,0.7631567121688895,2.29108557652984,1.7740425000704894,1826,1.996560059542087e-05,0.9433655301108956,True
r12_q0.85_potential_x0,1.0,18,True,0,True,7.526501829333487e-05,0.848938488846032,0.8538059312627152,3.58468593536747e-05,5.5170070386920353e-17,0.7631853157582885,2.2927906659711668,1.7737700081257124,1873,1.9971335329668837e-05,1.1576362112537026,True
r12_q0.85_potential_x2,0.025,0,False,1,True,7.62862747163006e-05,0.8468719917522213,0.8517275857773655,8.139764016159177,6.306537473983032e-05,0.7601086355861368,2.3068731268351543,1.7984732883740617,8393,7.93031790939488,8.524629552848637,False
r12_q0.85_potential_x2,0.0125,1,True,0,True,7.61895219961446e-05,0.8470345865940497,0.8518911128669837,2.63522466976778e-05,1.8704427010620623e-13,0.7603543687528183,2.317881609502201,1.7962023185109934,2425,1.8870908335857692e-05,1.5385008547455072,True
r12_q0.85_potential_x2,0.02875,2,True,0,True,7.58570372729298e-05,0.8476697406519569,0.8525299086207772,2.747746475559659e-05,6.984476105534213e-16,0.7613026417005061,2.3288102952245624,1.788246314428728,2479,1.966964259960524e-05,1.699862397275865,True
r12_q0.85_potential_x2,0.049875,3,False,1,True,7.775786873762923e-05,0.8442050349131831,0.8490453377729339,27.762992867763504,0.0007661529619185714,0.7561346694514065,2.2499263543072026,1.8320199379435655,9790,26.895931992819396,9.960539042949677,False
r12_q0.85_potential_x2,0.0393125,4,True,0,True,7.571160410597825e-05,0.8479492053442641,0.8528109756415395,2.8174958317659272e-05,5.587580884427371e-16,0.7617202153977835,2.3334477515264114,1.7847490172105234,1820,1.9999241264291653e-05,1.2158351466059685,True
r12_q0.85_potential_x2,0.05304375,5,True,0,True,7.553085002390192e-05,0.8482943611908538,0.8531581104609642,2.613037721780796e-05,1.3968952211068427e-16,0.7622368857445503,2.3410281847024685,1.7803862770817473,2241,1.9186173540700892e-05,1.2427506959065795,True
r12_q0.85_potential_x2,0.07089437500000001,6,True,0,True,7.541020710263876e-05,0.8485304401261524,0.8533955429697413,2.9261147879216363e-05,1.3968952211068426e-15,0.7625897821760081,2.3432499610779853,1.7774743550973193,1795,1.9947940859388663e-05,0.9425676064565778,True
r12_q0.85_potential_x2,0.09410018750000002,7,True,0,True,7.531723803020417e-05,0.8487175080832011,0.8535836834927308,3.1401583831671654e-05,1.3968952211068427e-16,0.7628686918053831,2.3419445450582006,1.7752363198261494,1817,1.9984811476767404e-05,0.8048084108158946,True
r12_q0.85_potential_x2,0.12426774375000002,8,True,0,True,7.523746694449494e-05,0.8488818215818783,0.8537489390932252,2.9120079689866016e-05,1.3968952211068427e-16,0.763113089567737,2.3386373861605727,1.773318825253318,1821,1.9982071210235726e-05,0.8090221015736461,True
r12_q0.85_potential_x2,0.16348556687500004,9,True,0,True,7.517218005896653e-05,0.8490201825545278,0.8538880933672458,2.7144816292919177e-05,4.190685663320528e-16,0.7633183895788831,2.333911455437204,1.7717493353854876,1806,1.992414408312622e-05,0.8878649929538369,True
r12_q0.85_potential_x2,0.21446873693750007,10,True,0,True,7.51283064444744e-05,0.849118544384726,0.8539870191612067,2.781393258769803e-05,2.7937904422136854e-16,0.7634637407874647,2.3281746048448757,1.7706913470550059,1791,1.999299986917718e-05,0.814465532079339,True
r12_q0.85_potential_x2,0.2807468580187501,11,True,0,True,7.511233937324332e-05,0.8491633487520419,0.8540320804171909,2.9498720330522282e-05,5.587580884427371e-16,0.7635290133852577,2.321985437150224,1.7702979666824312,1773,1.9588244040749905e-05,0.7859117174521089,True
r12_q0.85_potential_x2,0.3607468580187501,12,True,0,True,7.512126248034742e-05,0.849158233597921,0.854026935935011,2.6807371456679342e-05,5.587580884427371e-16,0.7635197957593595,2.3164715581249467,1.7704978059993113,1740,1.970020690295035e-05,0.6401000497862697,True
r12_q0.85_potential_x2,0.44074685801875013,13,True,0,True,7.513687871775196e-05,0.8491361582846358,0.8540047340515236,3.0119704400845362e-05,1.3968952211068427e-16,0.763485750927337,2.312799574975627,1.770858869966439,1828,1.9673473042215384e-05,0.5514142541214824,True
r12_q0.85_potential_x2,0.5207468580187501,14,True,0,True,7.51480801979521e-05,0.849119053127307,0.8539875308206953,2.802993109502423e-05,6.984476105534213e-16,0.7634596084846572,2.310763817947809,1.7711186448679175,1738,1.9986778589730928e-05,0.5374846328049898,True
