case,inner_radius,frequency_fraction,transition_seed,kind,solver_success,status,chart_and_asymptotic_mass_gap,gravity_Gv2,positive_end_clock,omega,maximum_equation_error,maximum_boundary_error,minimum_exterior_f,maximum_scalar_amplitude,adm_mass_rail_units,nodes,maximum_collocation_residual,seconds,accepted
r12_q0.7_potential_x0,12.0,0.7,0.0,potential,False,1,True,0.00010816399670897971,0.8812111473073433,0.7298641634517787,16.13181901403187,0.009509125723296815,0.8138405040130753,2.205898616758757,1.0872468655875476,8212,14.928357221754002,10.053429137915373,False
r12_q0.7_potential_x2,12.0,0.7,2.0,potential,False,1,True,0.00015745654965005712,0.8638430959276479,0.7154790545822836,12.733633120729904,0.01616779530429179,0.7902270687007277,2.34745515205522,1.1522770890542349,7502,12.408954647199296,8.36717872787267,False
r12_q0.85_potential_x0,12.0,0.85,0.0,potential,True,0,True,7.842925247761746e-05,0.8429390416837695,0.8477720858914212,2.3664226436667896e-07,1.5721916024035403e-11,0.7542870018257448,2.2393780453834085,1.8468917302384429,5188,1.4586844407589766e-07,5.686751527711749,True
r12_q0.85_potential_x2,12.0,0.85,2.0,potential,True,0,True,7.660050453909302e-05,0.8462526143942983,0.8511046571802615,9.285075215358411e-07,2.7017350471427443e-11,0.759189575191724,2.305481972712914,1.8059524872243968,3716,6.72443858505804e-07,4.911743518896401,True
r12_q0.97_potential_x0,12.0,0.97,0.0,potential,False,1,True,8.172870721557052e-05,0.7826586425802795,0.8982725686528518,84.0541812548792,0.018763654159083456,0.6654277299384532,2.3539640103751682,2.7108606548704324,5856,80.03984026136229,5.629998465999961,False
r12_q0.97_potential_x2,12.0,0.97,2.0,potential,False,1,True,7.335417955549579e-05,0.7987210136811668,0.9167076648269407,70.8672005115623,0.0010346011174630506,0.6837376859719548,8.594050089360438,2.6170521585994875,5348,93.31700280611149,5.245673321187496,False
r20_q0.7_potential_x0,20.0,0.7,0.0,potential,False,1,True,3.9756896085904545e-05,0.9318830223678077,0.7718332032381536,24.41227972253604,0.027136881128414246,0.8845793078036839,1.8867526337029255,0.5468344278347219,8330,22.846836234664924,9.502813935279846,False
r20_q0.7_potential_x2,20.0,0.7,2.0,potential,False,1,True,2.5168387688372847e-05,0.957709762808082,0.793224231215643,367.581814066052,0.05700134798394142,0.9105200610708211,19.96477445368466,0.3570035888418293,9345,329.882771840029,9.188594372011721,False
r20_q0.85_potential_x0,20.0,0.85,0.0,potential,False,1,True,4.012401407916276e-05,0.8903082470464408,0.8954128855833121,305.88939132589314,0.12367289573091282,0.8239637161670793,19.13174514203797,0.9800135149595125,8508,214.5885361290653,8.858511876314878,False
r20_q0.85_potential_x2,20.0,0.85,2.0,potential,False,1,True,2.8716265756711194e-05,0.9151924667341849,0.9204397805155003,17.536853796603033,0.0013764464696992362,0.8621006624223108,2.4989285655196243,0.7375157398247384,10736,16.107637782266124,11.375648498535156,False
r20_q0.97_potential_x0,20.0,0.97,0.0,potential,True,0,True,2.6431149847709705e-05,0.8877657638362259,1.01890605898654,1.546871921186538e-05,4.2376213427497175e-13,0.8117929078831616,2.3880523951812114,1.2141607273644677,2593,9.74919708358758e-06,2.0067796800285578,True
r20_q0.97_potential_x2,20.0,0.97,2.0,potential,False,1,True,2.6416796868091477e-05,0.8878611406448786,1.0190155248075727,85.90188878049727,2.495850137431888e-06,0.8120122485936124,2.6077536405160697,1.2114005945735613,11043,76.23543290321552,9.42192741855979,False
r20_q0.7_hollow_x0,20.0,0.7,0.0,hollow,False,2,False,6.977166300888009e-05,1.4548241474093313,1.2049598017034873,inf,inf,0.9337684144182827,1.7788538006903547,0.4333175863080507,4864,17.41639655664864,3.131424719467759,False
r20_q0.85_hollow_x0,20.0,0.85,0.0,hollow,False,2,False,0.0007865643248583897,0.0,0.0,inf,inf,-7.066312723436056e+47,596638896.6945863,91075.2595938428,4772,2.4260130587875805e+53,4.455452993512154,False
r20_q0.97_hollow_x0,20.0,0.97,0.0,hollow,False,2,False,1.4548554341449825e-17,594.0725835904111,681.8286754857597,inf,inf,0.9337488650958773,13.7366421925802,-43.40006887756813,2145,2071.0080223316,1.3026329474523664,False
