case,final_metric_fraction,attempts,seconds,solver_success,status,chart_and_asymptotic_mass_gap,gravity_Gv2,positive_end_clock,omega,maximum_equation_error,maximum_boundary_error,minimum_exterior_f,maximum_scalar_amplitude,adm_mass_rail_units,nodes,maximum_collocation_residual
r12_q0.85_potential_x0,1.0,19,31.024818669073284,True,0,True,7.526501829333487e-05,0.848938488846032,0.8538059312627152,3.58468593536747e-05,5.5170070386920353e-17,0.7631853157582885,2.2927906659711668,1.7737700081257124,1873,1.9971335329668837e-05
r12_q0.85_potential_x2,1.0,21,34.47729652561247,True,0,True,7.513880242269281e-05,0.8491301353800544,0.8539986766142386,2.731303650964559e-05,5.587580884427371e-16,0.7634769944117625,2.3136938179006115,1.7709097040805577,1870,1.9973341867626733e-05
r20_q0.97_potential_x0,0.10202423828125,13,75.3449571672827,True,0,True,2.6427366015852575e-05,0.8878015913414368,1.0189471789121158,3.276437892958724e-05,1.6762742653282112e-16,0.8118511103217607,2.3778641559147626,1.2138370231693683,1783,1.9985959732073587e-05
