cells,time_subdivisions,insulation_drift,route,time,required_negative_null,peak_x,peak_null_cosine,maximum_radial_null,auxiliary_ADM
1024,4,1.0,delivery_drift050,0.0,6.898414838827528,-0.50078125,0.0036670216178382527,0.11400489020139526,56448.64124152464
1024,4,1.0,delivery_drift050,0.5,6.91083660306812,-0.50078125,-0.0016840108332414991,0.06489710127800093,31822.647407430108
1024,4,1.0,delivery_drift050,1.285,8.640023633864516,-0.50078125,-0.19296803408734,4.699407742307879,3279.9883533391953
1024,4,1.0,delivery_drift090,0.0,0.5771314889482166,-0.50078125,0.04894701816837676,0.11400489020139562,4015.493695219185
1024,4,1.0,delivery_drift090,0.5,0.5678026932112512,-0.50078125,-0.022000472479597057,0.06489710127800057,2321.285519003779
1024,4,1.0,delivery_drift090,1.285,4.69940774230788,-0.50078125,-1.0,4.69940774230788,504.49760029522383
1024,4,1.0,guide_omitted_tensor_bound,0.0,0.11400489020139565,-0.50078125,1.0,0.11400489020139565,-431.9607841549395
1024,4,1.0,guide_omitted_tensor_bound,0.5,0.06489710127800072,-0.50234375,-1.0,0.06489710127800072,-181.06214117524001
1024,4,1.0,guide_omitted_tensor_bound,1.285,4.69940774230788,-0.50078125,-1.0,4.69940774230788,269.0765096352441
1024,4,0.9,delivery_drift050,0.0,9.07234013040108,-0.50078125,0.0032315132345522007,0.1319602946995786,74455.64353410869
1024,4,0.9,delivery_drift050,0.5,9.092555165545724,-0.50078125,-0.001685631419057783,0.08343037839164495,41974.692066115764
1024,4,0.9,delivery_drift050,1.285,11.364829137520653,-0.50078125,-0.19305918804160527,6.181893110911128,4322.345863204541
1024,4,0.9,delivery_drift090,0.0,0.7517051931419689,-0.50078125,0.04297418561564947,0.13196029469957854,5441.278573750257
1024,4,0.9,delivery_drift090,0.5,0.7436306958645853,-0.50078125,-0.022072336604197027,0.08343037839164517,3143.9551854547476
1024,4,0.9,delivery_drift090,1.285,6.181893110911129,-0.50078125,-1.0,6.181893110911129,669.1466802732916
1024,4,0.9,guide_omitted_tensor_bound,0.0,0.13196029469957854,-0.50078125,1.0,0.13196029469957854,-412.6184541372855
1024,4,0.9,guide_omitted_tensor_bound,0.5,0.08343037839164584,-0.50078125,-1.0,0.08343037839164584,-149.72338924417483
1024,4,0.9,guide_omitted_tensor_bound,1.285,6.181893110911129,-0.50078125,-1.0,6.181893110911129,359.2771067210876
1024,4,0.7,delivery_drift050,0.0,16.546191850413415,-0.50078125,0.002613153033357758,0.19395992782728383,136362.38019515318
1024,4,0.7,delivery_drift050,0.5,16.593117893909294,-0.50078125,-0.0016877292144311256,0.14713564792630038,76876.83047491324
1024,4,0.7,delivery_drift050,1.285,20.732480621586106,-0.50078125,-0.19318971069469085,11.278549351464601,7907.036719009303
1024,4,0.7,delivery_drift090,0.0,1.3520987743648674,-0.50078125,0.034569716264026086,0.1939599278272856,10343.176966462584
1024,4,0.7,delivery_drift090,0.5,1.348109365959381,-0.50078125,-0.022172797606142516,0.14713564792629782,5972.482875763553
1024,4,0.7,delivery_drift090,1.285,11.278549351464598,-0.50078125,-1.0,11.2785493514646,1236.349384088002
1024,4,0.7,guide_omitted_tensor_bound,0.0,0.19395992782728697,-0.50078125,1.0,0.19395992782728697,-345.95187882811996
1024,4,0.7,guide_omitted_tensor_bound,0.5,0.14713564792629635,-0.50078125,-1.0,0.14713564792629635,-41.72517952145763
1024,4,0.7,guide_omitted_tensor_bound,1.285,11.278549351464601,-0.50078125,-1.0,11.278549351464601,670.5321547866423
1024,4,0.5,delivery_drift050,0.0,34.71158778520963,-0.50078125,0.0022252979081103246,0.3451870308140298,286827.3500356189
1024,4,0.5,delivery_drift050,0.5,34.82328083706722,-0.50078125,-0.001688801735338136,0.3019405451630346,161707.01071364808
1024,4,0.5,delivery_drift050,1.285,43.50061762966641,-0.50078125,-0.19327253054907423,23.66599736797906,16620.893310557738
1024,4,0.5,delivery_drift090,0.0,2.8116900189995766,-0.50078125,0.02934316915757046,0.345187030814028,22257.492693579767
1024,4,0.5,delivery_drift090,0.5,2.8172919143241826,-0.50078125,-0.022233413917010576,0.3019405451630375,12847.530185155758
1024,4,0.5,delivery_drift090,1.285,23.665997367979056,-0.50078125,-1.0,23.665997367979056,2616.1801291013367
1024,4,0.5,guide_omitted_tensor_bound,0.0,0.34518703081402496,-0.50078125,1.0,0.34518703081402496,-183.70056311103343
1024,4,0.5,guide_omitted_tensor_bound,0.5,0.30194054516303803,-0.50078125,-1.0,0.30194054516303803,221.05639032828987
1024,4,0.5,guide_omitted_tensor_bound,1.285,23.665997367979056,-0.50078125,-1.0,23.665997367979056,1428.2803503170892
