regime,drift,time,extra_magnetic_ADM,extra_magnetic_rest
controlled_minimum,0.9,0.0,125.37790544008276,124.4531858800264
controlled_minimum,0.9,0.00501953125,125.84786573235642,124.96327443622339
controlled_minimum,0.9,0.0100390625,126.32071053724796,125.47461474546392
controlled_minimum,0.9,0.015058593749999998,126.43433529960036,125.64023755488374
controlled_minimum,0.9,0.020078125,127.54916871749639,126.7626264269766
controlled_minimum,0.9,0.02509765625,126.70199638091258,126.00296654679794
controlled_minimum,0.9,0.030117187499999996,128.50595002303842,127.78526191060499
controlled_minimum,0.9,0.03513671875,127.36360962257483,126.73461179316523
controlled_minimum,0.9,0.04015625,128.85551853009454,128.21726315048946
controlled_minimum,0.9,0.04517578125,128.25565612398276,127.68187687376617
controlled_minimum,0.9,0.0501953125,129.05972625826826,128.50012047901203
controlled_minimum,0.9,0.05521484375,128.95385279891292,128.43666261451924
controlled_minimum,0.9,0.06023437499999999,129.34619341199752,128.85406558591973
controlled_minimum,0.9,0.06525390625,129.42734767590844,128.9678337379114
controlled_minimum,0.9,0.0702734375,129.6449466479223,129.21251556191993
controlled_minimum,0.9,0.07529296875,129.76232625407116,129.35802755618295
controlled_minimum,0.9,0.0803125,129.8922988793546,129.51416395726432
controlled_minimum,0.9,0.08533203125,129.99841235863985,129.6455166341815
controlled_minimum,0.9,0.0903515625,130.07475458423488,129.7462228699369
controlled_minimum,0.9,0.09537109375,130.1467957350765,129.84126894028253
controlled_minimum,0.9,0.100390625,130.1892854530374,129.9059077488604
controlled_minimum,0.9,0.10541015625,130.21747183155534,129.9550947808858
controlled_minimum,0.9,0.1104296875,130.2264399353037,129.98402964140794
controlled_minimum,0.9,0.11544921875,130.21576968169683,129.99230383784462
controlled_minimum,0.9,0.12046874999999999,130.18722602558512,129.98167030377783
controlled_minimum,0.9,0.12548828125,130.14060196016723,129.951947048146
controlled_minimum,0.9,0.1305078125,130.0752096457446,129.90247101016513
controlled_minimum,0.9,0.13552734375,129.99271860328838,129.8349156918173
controlled_minimum,0.9,0.140546875,129.89238229930518,129.748568334012
controlled_minimum,0.9,0.14556640625,129.77476016067658,129.6440079302147
controlled_minimum,0.9,0.1505859375,129.64052501892604,129.5219323046115
controlled_minimum,0.9,0.15560546875,129.48932819683031,129.38202646948554
controlled_minimum,0.9,0.160625,129.32200559328948,129.22515344915158
controlled_minimum,0.9,0.16564453124999998,129.1386204211409,129.05141216196714
controlled_minimum,0.9,0.1706640625,128.93895695020117,128.86062255865122
controlled_minimum,0.9,0.17568359374999998,128.72229389891888,128.65209981273838
controlled_minimum,0.9,0.180703125,128.48896266986446,128.42621298788842
controlled_minimum,0.9,0.18572265624999998,128.23915582670745,128.18319362989288
controlled_minimum,0.9,0.1907421875,127.97325043763422,127.92345794419784
controlled_minimum,0.9,0.19576171874999998,127.69134751096182,127.64714670551926
controlled_minimum,0.9,0.20078125,127.39391721416646,127.35476882516659
controlled_minimum,0.9,0.20580078124999998,127.08106442514917,127.04646830875375
controlled_minimum,0.9,0.2108203125,126.75314091154722,126.7226344035833
controlled_minimum,0.9,0.21583984374999998,126.41043569043626,126.38359292663857
controlled_minimum,0.9,0.220859375,126.05313952482246,126.02957000391974
controlled_minimum,0.9,0.22587890624999998,125.68166385363877,125.66101069870395
controlled_minimum,0.9,0.2308984375,125.29621678606276,125.27815535853547
controlled_minimum,0.9,0.23591796874999998,124.89714937405853,124.88138515841926
controlled_minimum,0.9,0.24093749999999997,124.48480258415333,124.47106951838884
controlled_minimum,0.9,0.24595703124999999,124.05945019277284,124.04750867817205
controlled_minimum,0.9,0.2509765625,123.6215231070103,123.61115804053547
controlled_minimum,0.9,0.25599609375,123.171288409565,123.16230741557354
controlled_minimum,0.9,0.261015625,122.70686645313268,122.69909802177784
controlled_minimum,0.9,0.26603515624999996,122.2275155652098,122.22080718732606
controlled_minimum,0.9,0.2710546875,121.73382644749572,121.72804280296042
controlled_minimum,0.9,0.27607421875,121.22641076362217,121.22143214200008
controlled_minimum,0.9,0.28109375,120.70581343075106,120.7015342655689
controlled_minimum,0.9,0.28611328124999996,120.17263981000804,120.16896717232522
controlled_minimum,0.9,0.2911328125,119.62749949553186,119.62435185742875
controlled_minimum,0.9,0.29615234375,119.0709660590205,119.06827202455621
controlled_minimum,0.9,0.301171875,118.50367648931932,118.50137368748307
controlled_minimum,0.9,0.30619140624999996,117.92620860137623,117.92424269343508
controlled_minimum,0.9,0.3112109375,117.3391695596056,117.33749326375052
controlled_minimum,0.9,0.31623046875,116.7431634707077,116.74173577327038
