cells,recovery,regime,drift,time,required_negative_null,peak_x,peak_null_cosine,extra_magnetic_ADM
512,0.9,controlled_minimum,0.9,0.0,0.10548975877576403,-0.5015625,0.38842159364629136,125.37790544008276
512,0.9,controlled_minimum,0.9,0.5,0.09083698665935623,-0.5015625,0.0185302421508033,92.77490161657086
512,0.9,controlled_minimum,0.9,1.285,0.2271616256041713,-0.5015625,-0.02664706554734769,12.120407632333862
512,0.9,frozen_flux_cover,0.9,0.0,0.18636022301033672,-0.5015625,1.0,159.24013334879103
512,0.9,frozen_flux_cover,0.9,0.5,0.10176546166231087,-0.5015625,0.023119687224811853,269.4836808448769
512,0.9,frozen_flux_cover,0.9,1.285,9.657659637431491,-0.7671875,-1.0,3160.7680248086317
512,0.9,controlled_minimum,0.7,0.0,0.11411615821370416,-0.5015625,0.49950785419168414,207.25735389074913
512,0.9,controlled_minimum,0.7,0.5,0.0977392410241582,-0.5015625,0.021200384430285366,153.362592468209
512,0.9,controlled_minimum,0.7,1.285,0.23758562463188773,-0.5015625,-0.03186312320340976,20.035775882021287
512,0.9,frozen_flux_cover,0.7,0.0,0.26566700987981445,-0.5015625,1.0,263.23368982147093
512,0.9,frozen_flux_cover,0.7,0.5,0.11581004608278479,-0.5015625,0.03347817214486917,445.4730234374496
512,0.9,frozen_flux_cover,0.7,1.285,15.916829389191888,-0.7671875,-1.0,5224.94306141835
512,0.9,controlled_minimum,0.5,0.0,0.14214285008571168,-0.5015625,0.9731648860876758,406.2244136258683
512,0.9,controlled_minimum,0.5,0.5,0.11451684582908443,-0.5015625,0.03217011956024629,300.5906812376896
512,0.9,controlled_minimum,0.5,1.285,0.26294345833241434,-0.5015625,-0.060768392166221846,39.27012072876172
512,0.9,frozen_flux_cover,0.5,0.0,0.4583825019726452,-0.5015625,1.0,515.938032050083
512,0.9,frozen_flux_cover,0.5,0.5,0.20612902804816585,-0.8203125,1.0,873.1271259374012
512,0.9,frozen_flux_cover,0.5,1.285,31.12661188596965,-0.7671875,-1.0,10240.888400379967
