cells,recovery,regime,drift,time,required_negative_null,peak_x,peak_null_cosine,extra_magnetic_ADM
1024,0.9,controlled_minimum,0.9,0.0,0.10565140910424621,-0.50078125,0.3885752946236819,124.37336938304
1024,0.9,controlled_minimum,0.9,0.5,0.09094317064573693,-0.50078125,0.018501816307237556,92.21627301240652
1024,0.9,controlled_minimum,0.9,1.285,0.22899762046044908,-0.50078125,-0.026601883944557612,12.072765771287596
1024,0.9,frozen_flux_cover,0.9,0.0,0.18725172889550754,-0.50078125,1.0,157.98925747077783
1024,0.9,frozen_flux_cover,0.9,0.5,0.10173996622131229,-0.50078125,0.02301063266590338,267.33700568848286
1024,0.9,frozen_flux_cover,0.9,1.285,9.579003420788238,-0.76328125,-1.0,3135.132006277334
1024,0.9,controlled_minimum,0.7,0.0,0.11419137125004682,-0.50078125,0.49834341361595,205.5967942862498
1024,0.9,controlled_minimum,0.7,0.5,0.09780352321012654,-0.50078125,0.02114656314788762,152.43914518377412
1024,0.9,controlled_minimum,0.7,1.285,0.23937919093941223,-0.50078125,-0.031773584695126325,19.957020968863173
1024,0.9,frozen_flux_cover,0.7,0.0,0.2669011565988119,-0.50078125,1.0,261.1659154108777
1024,0.9,frozen_flux_cover,0.7,0.5,0.11565646916256629,-0.50078125,0.03312497372313822,441.9244379748391
1024,0.9,frozen_flux_cover,0.7,1.285,15.786742667463965,-0.76796875,-1.0,5182.565153233961
1024,0.9,controlled_minimum,0.5,0.0,0.1418035112865636,-0.50078125,0.9622898088130902,402.9697168010496
1024,0.9,controlled_minimum,0.5,0.5,0.11447919654536695,-0.50078125,0.03195406783814807,298.7807245601972
1024,0.9,controlled_minimum,0.5,1.285,0.2646333353769319,-0.50078125,-0.06022502516067874,39.11576109897181
1024,0.9,frozen_flux_cover,0.5,0.0,0.4604492659178414,-0.50078125,1.0,511.88519420532015
1024,0.9,frozen_flux_cover,0.5,0.5,0.20449259174177237,-0.82109375,1.0,866.1718984306847
1024,0.9,frozen_flux_cover,0.5,1.285,30.87169626888115,-0.76796875,-1.0,10157.827700338563
