cells,recovery,regime,drift,time,required_negative_null,peak_x,peak_null_cosine,extra_magnetic_ADM
1024,1.0,controlled_minimum,0.9,0.0,0.10941139014619548,-0.50078125,0.3470234437094946,88.69761935535055
1024,1.0,controlled_minimum,0.9,0.5,0.09421771270677393,-0.50078125,0.017000541234171253,72.47922681894794
1024,1.0,controlled_minimum,0.9,1.285,0.2192655123961142,-0.50078125,-0.027147450598781722,10.421968759224848
1024,1.0,frozen_flux_cover,0.9,0.0,0.18277193695840582,-0.50078125,1.0,113.87335581981499
1024,1.0,frozen_flux_cover,0.9,0.5,0.10453529728236866,-0.50078125,0.020564016769883755,190.78406709983284
1024,1.0,frozen_flux_cover,0.9,1.285,7.548625396462377,-0.51328125,-1.0,2203.8599618925336
1024,1.0,controlled_minimum,0.7,0.0,0.11711459725219543,-0.50078125,0.43431580644346784,146.62259526088565
1024,1.0,controlled_minimum,0.7,0.5,0.10084135507520692,-0.50078125,0.019138668547251856,119.81259943540374
1024,1.0,controlled_minimum,0.7,1.285,0.2293995045726737,-0.50078125,-0.03182754892990579,17.22815243871863
1024,1.0,frozen_flux_cover,0.7,0.0,0.25928004807636096,-0.50078125,1.0,188.23962900826564
1024,1.0,frozen_flux_cover,0.7,0.5,0.11790031398182041,-0.50078125,0.02795026184429493,315.3777435731931
1024,1.0,frozen_flux_cover,0.7,1.285,12.412422110968011,-0.51328125,-1.0,3643.1154472101066
1024,1.0,controlled_minimum,0.5,0.0,0.1402889918029231,-0.50078125,0.7680346013256625,287.3802867113358
1024,1.0,controlled_minimum,0.5,0.5,0.11694016774971377,-0.50078125,0.027256837086443924,234.83269489339128
1024,1.0,controlled_minimum,0.5,1.285,0.25404673916764936,-0.50078125,-0.054773193768166036,33.76717877988851
1024,1.0,frozen_flux_cover,0.5,0.0,0.44519475809299186,-0.50078125,1.0,368.94967285620066
1024,1.0,frozen_flux_cover,0.5,0.5,0.15051321650820196,-0.50078125,0.16405423469570013,618.1403774034584
1024,1.0,frozen_flux_cover,0.5,1.285,24.23144812721669,-0.51328125,-1.0,7140.506276531808
