sheet_number,cloud_length,screening_number_density_relative_error,electric_energy_density_relative_error,screening_energy_density_relative_error,energy_density_relative_error,tangential_pressure_relative_error,normal_pressure
0.03,135.89395763419938,3.3306690738754696e-16,4.440892098500626e-16,3.3306690738754696e-16,4.440892098500626e-16,4.440892098500626e-16,0.0
0.3,42.973442637849686,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16,0.0
3.0,13.589395763419937,3.3306690738754696e-16,2.220446049250313e-16,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16,0.0
30.0,4.297344263784969,1.1102230246251565e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0
