s,l,required_negative_null,worst_direction_cosine,geometry_rho,geometry_pr,geometry_j,geometry_pt,endpoint_rho,endpoint_pr,endpoint_j,endpoint_pt,supply_rho,supply_pr,supply_j,supply_pt
0.0,-2.1,2.432355936325102,-0.00010095762806662254,0.002333737565835256,-0.006417215729627872,-0.0001456821854782704,0.008657957029985196,0.0,0.0,0.0,0.0,1.4698891028039853,-0.48461994965056876,4.002766151844111e-12,0.9734585134092086
0.0,-2.075,2.1548368449021074,-8.166773490651507e-05,0.002841817841495997,-0.006127225417215066,-0.00012253020234117716,0.006670137958059636,-8.535179333010051e-06,-7.331616886359078e-06,-5.691050858228303e-07,3.5079012750955945e-05,1.2483933253498831,-0.5902077458595636,4.7327155741031e-12,0.9159289215580748
0.0,-2.0500000000000003,1.9315874308923107,-6.451459510015473e-05,0.003271542309311806,-0.005886389320971209,-0.00010197523445382647,0.005076785619546259,-5.5071537324446915e-05,-4.7198091033048244e-05,-3.7049813931887997e-06,0.00022417622416252367,1.072837796103466,-0.6669881576361656,4.525110383936214e-12,0.8669288516909988
0.0,-2.025,1.7537434319353395,-4.833104107200948e-05,0.003631660485442828,-0.005692041154173044,-8.404121569614999e-05,0.003819823618191601,-0.00014486111481558185,-0.00012398262739446932,-9.791672946417515e-06,0.0005859557313032916,0.935613813557924,-0.7199322858383054,3.2959942378919148e-12,0.8251400042760045
0.0,-2.0,1.6129945261663148,-3.334176574975923e-05,0.003931517468198844,-0.005540222780492233,-6.864490599528539e-05,0.0028431382136737187,-0.00025763611417945864,-0.0002203830522917813,-1.743259645539714e-05,0.0010384844099036055,0.829623553571115,-0.7537404830608363,1.4163248481215703e-12,0.7893647782738393
0.0,-1.975,1.5510867938764323,-2.019865175890246e-05,0.004180409434054272,-0.005426217005925765,-5.562271202265144e-05,0.002095061062681076,-0.000361817046601799,-0.00030955850887069215,-2.4424156429214138e-05,0.0014570009913454235,0.7806326497324082,-0.7747063373965125,1.1983106707761985e-13,0.7756344300658472
0.0,-1.9500000000000002,1.5844428518685219,-1.0105457494846007e-05,0.004387110055161066,-0.005345004968658351,-4.4757447286936675e-05,0.0015298226094682594,-0.00042909351537977056,-0.00036744550458615426,-2.8801184908449044e-05,0.0017302629134125337,0.7967482301648285,-0.7914415096241115,9.846797946726804e-14,0.7923103848090444
0.0,-1.925,1.6185621610141148,-3.7721090358108533e-06,0.004559562882615446,-0.005291625629604002,-3.580262193996018e-05,0.0011081733930072462,-0.00044678526431601135,-0.00038320518938804617,-2.9715184318525984e-05,0.001808059801661571,0.8134304006452131,-0.8085724632778168,5.5610469845547655e-14,0.8094382220842165
0.0,-1.9000000000000001,1.6541136994110526,-3.2518635763583617e-07,0.004704718005117572,-0.0052614312831419565,-2.850270557802124e-05,0.0007973872025559231,-0.0004259864374951972,-0.0003662161816575296,-2.7966330371696752e-05,0.001733864060794624,0.8310658125909284,-0.8261559949115159,-2.510424716499384e-14,0.8272421144043242
0.0,-1.875,1.6904052302206996,1.7013530500781823e-06,0.004828483396093774,-0.0052502466557285835,-2.2608647584884044e-05,0.0005708465746137839,-0.0003948872864968522,-0.00034054127728515483,-2.5476836638248204e-05,0.0016201946108887744,0.8491116162810057,-0.8442210923695956,-1.8858039193012383e-13,0.8454676365811298
