l,pressure,integrating_exponent,drive
-2.1,221216.67804609178,0.0,0.0
-2.0984375,215316.09003135428,0.02703553018991513,0.0
-2.0968750000000003,209555.13856063722,0.05415576889059562,0.0
-2.0953125,203931.09951195566,0.08136047554000667,0.0
-2.09375,198441.28348139586,0.10864940957609028,0.0
-2.0921875,193083.03593948614,0.13602233043681167,0.0
-2.090625,187853.73736255284,0.16347899756012835,0.0
-2.0890625000000003,182750.80333977024,0.19101917038399785,0.0
-2.0875,177771.6846566403,0.21864260834638558,0.0
-2.0859375,172913.86735563105,0.2463490708852334,0.0
-2.084375,168174.87277466906,0.27413831743850675,0.0
-2.0828125,163552.25756422264,0.30201010744416323,0.0
-2.0812500000000003,159043.61368365906,0.3299642003401605,0.0
-2.0796875,154646.56837757595,0.3580003555644642,0.0
-2.078125,150358.78413280263,0.38611833255501604,0.0
-2.0765625,146177.95861673047,0.4143178907497817,0.0
-2.075,142101.82459766936,0.44259878958671894,0.0
-2.0734375000000003,138128.15217084816,0.47096077168624917,0.0
-2.071875,134254.75057689674,0.4994035460337294,0.0
-2.0703125,130479.46525942186,0.5279268047969562,0.0
-2.06875,126800.17532615206,0.5565302401437503,0.0
-2.0671875,123214.7934508651,0.5852135442419246,0.0
-2.0656250000000003,119721.26575842178,0.6139764092592922,0.0
-2.0640625,116317.57169359569,0.6428185273636741,0.0
-2.0625,113001.72387437437,0.671739590722867,0.0
-2.0609375,109771.76793037938,0.7007392915046925,0.0
-2.059375,106625.78232707237,0.7298173218769636,0.0
-2.0578125000000003,103561.87817637043,0.7589733740074938,0.0
-2.05625,100578.19903430082,0.7882071400641047,0.0
-2.0546875,97672.92068631196,0.8175183122145935,0.0
-2.053125,94844.25092082923,0.8469065826267818,0.0
-2.0515625,92090.42929166036,0.8763716434684834,0.0
-2.0500000000000003,89409.72686981407,0.9059131869075121,0.0
-2.0484375,86800.44738891169,0.935530888941124,0.0
-2.046875,84260.92813474074,0.9652243932254175,0.0
-2.0453125,81789.53795744495,0.9949933272459501,0.0
-2.04375,79384.67554039747,1.024837318488271,0.0
-2.0421875000000003,77044.76914829623,1.0547559944379297,0.0
-2.040625,74768.27636589727,1.084748982580484,0.0
-2.0390625,72553.68382794296,1.114815910401466,0.0
-2.0375,70399.50694081358,1.1449564053864347,0.0
-2.0359375,68304.2895964414,1.1751700950209394,0.0
-2.0343750000000003,66266.60387898907,1.20545660679053,0.0
-2.0328125,64285.049764792915,1.2358155681807652,0.0
-2.03125,62358.25481605904,1.266246606677178,0.0
-2.0296875,60484.873868773546,1.2967493497653273,0.0
-2.028125,58663.58871529583,1.3273234249307633,0.0
-2.0265625000000003,56893.10778206942,1.3579684596590367,0.0
-2.025,55172.16580288423,1.3886840814357067,0.0
-2.0234375,53499.524290020345,1.419469902757172,0.0
-2.021875,51873.971855564996,1.4503255061415887,0.0
-2.0203125,50294.32289001468,1.4812504591179696,0.0
-2.0187500000000003,48759.41639582699,1.5122443292153271,0.0
-2.0171875,47268.11566989251,1.5433066839626834,0.0
-2.015625,45819.307982553684,1.5744370908890337,0.0
-2.0140625,44411.90425355417,1.6056351175234003,0.0
-2.0125,43044.83872530374,1.636900331394796,0.0
-2.0109375000000003,41717.06863381554,1.6682323000322348,0.0
-2.009375,40427.57387766827,1.699630590964739,0.0
-2.0078125,39175.3566853327,1.7310947717213043,0.0
-2.00625,37959.44128118174,1.7626244098309536,0.0
-2.0046875,36778.87355050403,1.7942190728227008,0.0
-2.0031250000000003,35632.72070381582,1.82587832822556,0.0
-2.0015625,34520.07094076131,1.8576017435685541,0.0
-2.0,33440.0331138794,1.8893888863806798,0.0
-1.9984375,32391.73682271556,1.9212393109092327,0.0
-1.9968750000000002,31374.332427242935,1.9531525448380442,0.0
-1.9953125,30386.990182031393,1.985128102569223,0.0
-1.9937500000000001,29428.899459065437,2.017165498504864,0.0
-1.9921875,28499.26842928352,2.04926424704708,0.0
-1.990625,27597.323744601545,2.081423862597967,0.0
-1.9890625000000002,26722.3102206504,2.1136438595596334,0.0
-1.9875,25873.490520454186,2.145923752334189,0.0
-1.9859375000000001,25050.144839260156,2.1782630553237285,0.0
-1.984375,24251.57059072145,2.2106612829303667,0.0
-1.9828125,23477.082094627716,2.243117949556199,0.0
-1.9812500000000002,22726.010266362093,2.275632569603335,0.0
-1.9796875,21997.702308260174,2.308204657473885,0.0
-1.9781250000000001,21291.52140303273,2.3408337275699447,0.0
-1.9765625,20606.846409405356,2.373519294293629,0.0
-1.975,19943.071560122724,2.406260872047034,0.0
-1.9734375000000002,19299.60637638818,2.439057964147215,0.0
-1.971875,18675.87554344749,2.471910051741115,0.0
-1.9703125000000001,18071.318351255883,2.504816604890609,0.0
-1.96875,17485.388183047526,2.5377770936575894,0.0
-1.9671875,16917.552234826104,2.5707909881039313,0.0
-1.9656250000000002,16367.291237463947,2.603857758291523,0.0
-1.9640625,15834.099181522259,2.6369768742822535,0.0
-1.9625000000000001,15317.483044894156,2.670147806137998,0.0
-1.9609375,14816.962523365313,2.703370023920651,0.0
-1.959375,14332.069764182144,2.736642997692087,0.0
-1.9578125000000002,13862.349102706788,2.7699661975141967,0.0
-1.95625,13407.356802235381,2.8033390934488693,0.0
-1.9546875000000001,12966.660797047103,2.836761155557981,0.0
-1.953125,12539.84043874558,2.8702318539034266,0.0
-1.9515625,12126.486245950344,2.9037506585470827,0.0
-1.9500000000000002,11726.19965738687,2.9373170395508397,0.0
-1.9484375,11338.592884387714,2.970930458512925,0.0
-1.9468750000000001,10963.288747818906,3.0045903601042263,0.0
-1.9453125,10599.920322158741,3.038296180531987,0.0
-1.94375,10248.130603869487,3.0720473560034316,0.0
-1.9421875000000002,9907.572285740642,3.1058433227257995,0.0
-1.940625,9577.907534602253,3.1396835169063304,0.0
-1.9390625000000001,9258.807772434708,3.17356737475225,0.0
-1.9375,8949.953460897083,3.207494332470803,0.0
-1.9359375,8651.03388929331,3.2414638262692157,0.0
-1.9343750000000002,8361.746965988872,3.2754752923547295,0.0
-1.9328125,8081.799013289239,3.309528166934585,0.0
-1.9312500000000001,7810.90456578587,3.3436218862160096,0.0
-1.9296875,7548.786172172244,3.37775588640625,0.0
-1.928125,7295.174200530173,3.411929603712533,0.0
-1.9265625000000002,7049.806647081397,3.446142474342102,0.0
-1.925,6812.428948398415,3.4803939345021995,0.0
-1.9234375000000001,6582.793833318338,3.5146834148926582,0.0
-1.921875,6360.661170952522,3.5490103351985387,0.0
-1.9203125,6145.797747923544,3.5833741095974867,0.0
-1.9187500000000002,5937.977057011016,3.6177741522671627,0.0
-1.9171875,5736.979127910133,3.6522098773852285,0.0
-1.9156250000000001,5542.590361259272,3.6866806991293317,0.0
-1.9140625,5354.60336591675,3.7211860316771395,0.0
-1.9125,5172.81679946576,3.7557252892063,0.0
-1.9109375000000002,4997.035211922972,3.7902978858944776,0.0
-1.909375,4827.068892625906,3.824903235919336,0.0
-1.9078125000000001,4662.733720271493,3.8595407534585258,0.0
-1.90625,4503.85101607666,3.894209852689717,0.0
-1.9046875,4350.247400031094,3.928909947790561,0.0
-1.9031250000000002,4201.754650209623,3.9636404529387246,0.0
-1.9015625,4058.209565111642,3.9984007823118746,0.0
-1.9000000000000001,3919.453828992997,4.033190350087664,0.0
-1.8984375,3785.333888962873,4.068008568116838,0.0
-1.896875,3655.70083319166,4.102854843596268,0.0
