s,l,required_negative_null,worst_direction_cosine,geometry_rho,geometry_pr,geometry_j,geometry_pt,endpoint_rho,endpoint_pr,endpoint_j,endpoint_pt,supply_rho,supply_pr,supply_j,supply_pt
0.0,-2.1,0.03367071492444762,-1.0,0.002333737565835256,-0.006417215729627872,-0.0001456821854782704,0.008657957029985196,0.0,0.0,0.0,0.0,0.023872195898829694,0.005423676490630736,1.1901775876567745e-13,0.005428246886030993
0.0,-2.0875,0.027072372583549418,-1.0,0.0025980748332075005,-0.006265975606407043,-0.00013378793518045853,0.007611124201722828,-1.173860135462144e-06,-1.0098856985411383e-06,-7.777730804066477e-08,4.854600423707438e-06,0.01914577597976226,0.003993459260422327,1.272296271303585e-13,0.003996962427539915
0.0,-2.075,0.021646864021636552,-1.0,0.002841817841495997,-0.006127225417215066,-0.00012253020234117716,0.006670137958059636,-8.535179333010051e-06,-7.331616886359078e-06,-5.691050858228303e-07,3.5079012750955945e-05,0.01528731559151658,0.002846085455848783,1.3038910638969073e-13,0.0028490010211852006
0.0,-2.0625,0.01722089468721801,-1.0,0.0030659503660693636,-0.006000792877586352,-0.00011192378195276084,0.005827792364113965,-2.5976073671665695e-05,-2.2284932536154e-05,-1.74077366577442e-06,0.00010620112927527803,0.012174137403963576,0.0019398097611144226,1.2843391156126842e-13,0.0019438932250627843
0.0,-2.0500000000000003,0.013938306655486642,-1.0,0.003271542309311806,-0.005886389320971209,-0.00010197523445382647,0.005076785619546259,-5.5071537324446915e-05,-4.7198091033048244e-05,-3.7049813931887997e-06,0.00022417622416252367,0.010002540977596402,0.0012266477882166523,1.2520232586447063e-13,0.0014038214158727522
0.0,-2.0375,0.011523565847800834,-1.0,0.003459723708155112,-0.005783627887950775,-9.268360466907976e-05,0.004409843481239693,-9.538582540993106e-05,-8.168465619163042e-05,-6.435421196576705e-06,0.0003869076985125558,0.008548043308752964,0.0006561924736648904,1.2193644185206031e-13,0.001141834036127013
0.0,-2.025,0.009454719271899547,-1.0,0.003631660485442828,-0.005692041154173044,-8.404121569614999e-05,0.003819823618191601,-0.00014486111481558185,-0.00012398262739446932,-9.791672946417515e-06,0.0005859557313032916,0.007317012211561882,0.00019767104808836018,1.148376172278804e-13,0.0009266251596266537
0.0,-2.0125,0.008532638669706447,-1.0,0.0037885330750679702,-0.0056110985809793585,-7.603450918957283e-05,0.0032998014165130547,-0.00020026005099254632,-0.000171333805348339,-1.3549214229329038e-05,0.0008083570472909951,0.007149246140052992,-0.00019254971007587752,1.1917045615476853e-13,0.0012000723214639739
0.0,-2.0,0.007741150333242919,-1.0,0.003931517468198844,-0.005540222780492233,-6.864490599528539e-05,0.0028431382136737187,-0.00025763611417945864,-0.0002203830522917813,-1.743259645539714e-05,0.0010384844099036055,0.007062474238303676,-0.0005544346702056227,1.2146975723138545e-13,0.0014912144121182708
0.0,-1.9875,0.007137777002941701,-1.0,0.004061769103138422,-0.0054788046497589405,-6.184966406942809e-05,0.002443533276420805,-0.00031280806397061405,-0.0002675788728250186,-2.1149567507127944e-05,0.0012598798441267578,0.007118350452053709,-0.0008986222523071393,1.228222409504608e-13,0.001836418961464458
