s,l,required_negative_null,worst_direction_cosine,geometry_rho,geometry_pr,geometry_j,geometry_pt,endpoint_rho,endpoint_pr,endpoint_j,endpoint_pt,supply_rho,supply_pr,supply_j,supply_pt
0.0,-2.1,0.03367332546287659,-1.0,0.002333737565835256,-0.006417215729627872,-0.0001456821854782704,0.008657957029985196,0.0,0.0,0.0,0.0,0.023871868738646346,0.005426614189243028,1.19028364370073e-13,0.005426614456633173
0.0,-2.0875,0.027076465146170157,-1.0,0.0025980748332075005,-0.006265975606407043,-0.00013378793518045853,0.007611124201722828,-1.173860135462144e-06,-1.0098856985411383e-06,-7.777730804066477e-08,4.854600423707438e-06,0.019147093953219518,0.003996233849585765,1.2725212982808527e-13,0.003996234119686824
0.0,-2.075,0.021651247406242847,-1.0,0.002841817841495997,-0.006127225417215066,-0.00012253020234117716,0.006670137958059636,-8.535179333010051e-06,-7.331616886359078e-06,-5.691050858228303e-07,3.5079012750955945e-05,0.015289145483725045,0.0028486389482465535,1.3042062533091288e-13,0.0028486392210905482
0.0,-2.0625,0.017222346649407083,-1.0,0.0030659503660693636,-0.006000792877586352,-0.00011192378195276084,0.005827792364113965,-2.5976073671665695e-05,-2.2284932536154e-05,-1.74077366577442e-06,0.00010620112927527803,0.012173184781440966,0.001942214345826083,1.2844712410777987e-13,0.001942214621445649
0.0,-2.0500000000000003,0.013903586997012572,-1.0,0.003271542309311806,-0.005886389320971209,-0.00010197523445382647,0.005076785619546259,-5.5071537324446915e-05,-4.7198091033048244e-05,-3.7049813931887997e-06,0.00022417622416252367,0.009964365418919987,0.0012301036884197732,1.2481521134669614e-13,0.0013830056864329843
0.0,-2.0375,0.011517991283816365,-1.0,0.003459723708155112,-0.005783627887950775,-9.268360466907976e-05,0.004409843481239693,-9.538582540993106e-05,-8.168465619163042e-05,-6.435421196576705e-06,0.0003869076985125558,0.008537720357105039,0.0006609408613284918,1.2186259079987156e-13,0.0011342983664712502
0.0,-2.025,0.009466537054477243,-1.0,0.003631660485442828,-0.005692041154173044,-8.404121569614999e-05,0.003819823618191601,-0.00014486111481558185,-0.00012398262739446932,-9.791672946417515e-06,0.0005859557313032916,0.007324234434877616,0.00020226660734996068,1.1501821379399053e-13,0.0009279384916537205
0.0,-2.0125,0.008540308439599398,-1.0,0.0037885330750679702,-0.0056110985809793585,-7.603450918957283e-05,0.0032998014165130547,-0.00020026005099254632,-0.000171333805348339,-1.3549214229329038e-05,0.0008083570472909951,0.007152905410709829,-0.00018853921084002604,1.1930184178959014e-13,0.0011998967071744663
0.0,-2.0,0.007741150333242919,-1.0,0.003931517468198844,-0.005540222780492233,-6.864490599528539e-05,0.0028431382136737187,-0.00025763611417945864,-0.0002203830522917813,-1.743259645539714e-05,0.0010384844099036055,0.0070586749342203,-0.0005506353661222461,1.2146975723138545e-13,0.0014874151080348941
0.0,-1.9875,0.007137777002941701,-1.0,0.004061769103138422,-0.0054788046497589405,-6.184966406942809e-05,0.002443533276420805,-0.00031280806397061405,-0.0002675788728250186,-2.1149567507127944e-05,0.0012598798441267578,0.007114512046409938,-0.0008947838466633676,1.228222409504608e-13,0.0018325805558206862
0.0,-1.975,0.0065636607270824245,-1.0,0.004180409434054272,-0.005426217005925765,-5.562271202265144e-05,0.002095061062681076,-0.000361817046601799,-0.00030955850887069215,-2.4424156429214138e-05,0.0014570009913454235,0.007155640885083279,-0.0012288092858264137,1.1984156667317735e-13,0.0021571615868416247
0.0,-1.9625000000000001,0.0060143630324064655,-1.0,0.004288515162128101,-0.0053818266642050964,-4.9935442037524486e-05,0.001792195444529166,-0.0004013472747848308,-0.000343502509611236,-2.702696994902383e-05,0.0016168253950667013,0.007174610296067253,-0.0015545259257424384,1.1186074600766164e-13,0.002458605055739582
