metric,rank,run_name,value
max_abs_delta_rho_packet,1,v5_service_flow_off,2.012739156306495e-07
max_abs_delta_rho_packet,2,v5_service_identity_synthesis,2.0127391563238425e-07
max_abs_delta_rho_packet,3,v5_service_carrying_flow_localizer,2.0127391563238425e-07
max_abs_delta_j_packet,1,v5_service_identity_synthesis,2.580641304625458e-05
max_abs_delta_j_packet,2,v5_service_carrying_flow_localizer,2.580641304625458e-05
max_abs_delta_j_packet,3,v5_service_flow_off,2.580641304630149e-05
max_abs_delta_j_catch,1,v5_service_identity_synthesis,2.580641304625458e-05
max_abs_delta_j_catch,2,v5_service_carrying_flow_localizer,2.580641304625458e-05
max_abs_delta_j_catch,3,v5_service_flow_off,2.580641304630149e-05
support_shell_load_fraction,1,v5_service_identity_synthesis,0.0043832027399721
support_shell_load_fraction,2,v5_service_flow_off,0.0043832027367457
support_shell_load_fraction,3,v5_service_carrying_flow_localizer,0.0043758842574682
catch_rematch_localization_fraction,1,v5_service_carrying_flow_localizer,0.8749084348231744
catch_rematch_localization_fraction,2,v5_service_flow_off,0.8747004046881944
catch_rematch_localization_fraction,3,v5_service_identity_synthesis,0.8747004046831874
packet_exposure_score,1,v5_service_identity_synthesis,2.954674720499495e-06
packet_exposure_score,2,v5_service_flow_off,2.954674720501632e-06
packet_exposure_score,3,v5_service_carrying_flow_localizer,2.957745138930693e-06
