s,x,model,baseline_required_negative_null,required_negative_null,worst_direction,auxiliary_rho,endpoint_rho,geometry_rho,endpoint_remainder_required_negative_null
0.0,-2.1,inventory_only,0.03340980939851004,0.03997332978610264,-1.0,0.006563520387539268,0.0,0.0023337375658352,0.0065635203875925975
0.0,-2.075,inventory_only,0.021237715593351098,0.02622252161171355,-1.0,0.0049678010118999975,-8.535179333010051e-06,0.0028418178414959,0.004984806018362454
0.0,-2.0500000000000003,inventory_only,0.013748480781210878,0.018170930252752886,-1.0,0.004312769880301967,-5.507153732444692e-05,0.0032715423093118,0.004422449471542011
0.0,-2.025,inventory_only,0.009203122488166115,0.014526636561604236,-1.0,0.005035086985181499,-0.0001448611148155,0.0036316604854428,0.005323514073438124
0.0,-2.0,inventory_only,0.007740808932454739,0.013249614456732513,-1.0,0.004995921164709386,-0.0002576361141794,0.0039315174681988,0.005508805524277773
0.0,-1.975,inventory_only,0.006563141463721339,0.011714437397387149,-1.0,0.004431072065155887,-0.0003618170466017,0.0041804094340542,0.00515129593366581
0.0,-1.9500000000000002,inventory_only,0.005610878069562889,0.009898347827628376,-1.0,0.0035442174785116193,-0.0004290935153797,0.004387110055161,0.004398358868425845
0.0,-1.925,inventory_only,0.006736113202878984,0.008384864509417033,-1.0,0.0027232591509787174,-0.000446785264316,0.0045595628826154,0.0036126799733821172
0.0,-1.9000000000000001,inventory_only,0.008448462795975584,0.009802186476435035,-0.01702615517330912,0.0026611160885005383,-0.0004259864374951,0.0047047180051175,0.0035092513683693182
0.0,-1.875,inventory_only,0.010025152475272704,0.01148128159610847,-0.00648266128103325,0.0026812913909496357,-0.0003948872864968,0.0048284833960937,0.0034676736278012486
0.0,-1.85,inventory_only,0.011075398298676384,0.012558560591996615,-0.0035365626552471725,0.0026198616246954063,-0.0003613926532464,0.0049357584846617,0.0033397449111846546
0.0,-1.8250000000000002,inventory_only,0.012111093093186297,0.013634939310011706,-0.002159977206298924,0.002567109921613155,-0.0003261448929073,0.0050305208410209,0.0032170123161396886
0.0,-1.8,inventory_only,0.01317385991886784,0.014758174962175621,-0.0013993631195037795,0.0025302605238747672,-0.0002897863606429,0.0051159408085936,0.0031079640504829155
0.0,-1.7750000000000001,inventory_only,0.014265594487647425,0.01592766749245089,-0.0009408147451055889,0.002507898716686603,-0.0002529380068778,0.0051945057150499,0.003012408446434637
0.0,-1.75,inventory_only,0.015323398764516162,0.01706401199860463,-0.0006507106939001038,0.0024846448335298253,-0.0002161351630802,0.0052681408552805,0.002916025210398041
0.0,-1.725,inventory_only,0.016256686984467212,0.01805192627409119,-0.00046145416694015563,0.0024369403463779357,-0.0001798917559795,0.0053383195872739,0.0027962742684550686
0.0,-1.7000000000000002,inventory_only,0.01698587309374979,0.018788064256825943,-0.00033501423688700205,0.0023421620640586976,-0.000144721712305,0.0054061587056963,0.002631550883145323
0.0,-1.675,inventory_only,0.017493091375736573,0.019245527262434812,-0.0002485015866446096,0.0021923769047827784,-0.0001110987894059,0.0054724980576715,0.0024148616028575624
0.0,-1.6500000000000001,inventory_only,0.01836089204534273,0.02015640997104598,-0.00018524202626769376,0.0021380834089330175,-7.93360671104438e-05,0.005537965117031,0.0022973293006803086
0.0,-1.625,inventory_only,0.01923844020319052,0.02108190328733858,-0.00013962362281690015,0.0020922249063432537,-4.970645586645797e-05,0.0056030261699531,0.002196487140437412
0.0,-1.6,inventory_only,0.02013086668969841,0.022026726898413316,-0.00010632830155757377,0.002055307709275664,-2.2482866122002697e-05,0.0056680259999292,0.002112682252557211
0.0,-1.5750000000000002,inventory_only,0.021082378097559112,0.02304991200043111,-8.169124599793757e-05,0.0020431433341605615,2.08686748434942e-06,0.0057332183408597,0.0020578819241941024
0.0,-1.55,inventory_only,0.022068643970522415,0.024139291009160693,-6.331528274104591e-05,0.002069159480097916,2.3855213551660934e-05,0.0057987888076924,0.0020715690168160036
0.0,-1.525,inventory_only,0.023066841594714286,0.025243678207582432,-4.9502854992471124e-05,0.002106327462153656,4.269971648840282e-05,0.0058648720846516,0.002177173342588456
0.0,-1.5,inventory_only,0.024101300400587573,0.026395922062734906,-3.9005991852178883e-05,0.0021645006492779237,5.849792070304611e-05,0.0059315646955091,0.0022948794861489424
0.0,-1.475,inventory_only,0.02511426849712673,0.027491598724732457,-3.098214498956284e-05,0.0021979849701610553,7.118456586028849e-05,0.0059989343625654,0.0023775543933842336
0.0,-1.4500000000000002,inventory_only,0.0260773820931617,0.02846679126163143,-2.4795746970579045e-05,0.0021707793190354078,8.092317264973259e-05,0.0060670268524957,0.002389611241962808
0.0,-1.425,inventory_only,0.027021623537469015,0.029386089690493084,-1.995698894444341e-05,0.0021156869390445004,8.793445701720743e-05,0.0061358710822776,0.0023646500625155954
0.0,-1.4,inventory_only,0.027982230514240584,0.030319114680491283,-1.6102602495998373e-05,0.0020662863933932608,9.243913490854188e-05,0.0062054826706394,0.00233705155722445
0.0,-1.375,inventory_only,0.02897129674136345,0.03129716130760907,-1.2960752790335633e-05,0.0020422313002025393,9.449538306414832e-05,0.0062758666432096,0.002326016191446902
0.0,-1.35,inventory_only,0.029970498122189892,0.032286941995970125,-1.0324009641270541e-05,0.0020340371729241037,9.351122140277288e-05,0.00634701931741,0.002316579079570968
0.0,-1.3250000000000002,inventory_only,0.030958412723217837,0.03323771943264861,-8.02541604071879e-06,0.002019124332473198,8.873213063774524e-05,0.0064189296890451,0.002279423331300608
0.0,-1.3,inventory_only,0.03191120018551841,0.03409577083042226,-5.934552847940031e-06,0.0019743460906895744,7.940359148239477e-05,0.0064915804484317,0.002184665212546111
0.0,-1.275,inventory_only,0.03291217598541527,0.034967024088737794,-3.868481895156176e-06,0.0019242999911790602,6.533961675763977e-05,0.0065649485666774,0.002054917026055101
0.0,-1.25,inventory_only,0.03398359207888017,0.0358877700897979,-1.6359462104177274e-06,0.0018660073830399988,4.86283477147534e-05,0.0066390059980294,0.0019042216581285324
0.0,-1.225,inventory_only,0.03511397842146125,0.03688388332770357,1.0176677376067701e-06,0.0018150444117752116,3.1926457712597234e-05,0.0067137197770188,0.0017699740957240928
0.0,-1.2000000000000002,inventory_only,0.036320710891562066,0.038017468087732764,4.541878065582681e-06,0.0017943709573041058,1.7890620110032974e-05,0.0067890525065175,0.0017692871785613378
0.0,-1.175,inventory_only,0.037668064414689124,0.039437171079371544,1.0000604267431691e-05,0.00187340614366396,8.528426065390453e-06,0.0068649623230165,0.001864988259904463
0.0,-1.15,inventory_only,0.03891093026285478,0.04077235850471393,1.7454406094195224e-05,0.0019389359652066452,3.2511379348722536e-06,0.0069414030688657,0.0019376830449959232
