case,history,efficiency,recovery,voltage_fraction,cells,intervals,charging_work,available_discharge_work,recovered_work,converter_loss,net_endpoint_work,heat_return,heat_supply,heat_receiver_gain,heat_receiver_release,bank_capacity,bank_initial,heat_capacity,heat_initial,initial_work_lower_bound_any_recovery,bank_capacity_lower_bound_any_recovery,maximum_rest_bank_power,maximum_rest_receiver_power,minimum_packet_gap,maximum_prescribed_velocity,port_identity_residual,store_energy_identity_residual,bank_minimum_voltage_residual,minimum_thermal_inventory,inventory_only_maximum_holding_force,inventory_only_maximum_endpoint_force_remainder,inventory_only_maximum_auxiliary_null,isotropic_wall_bound_maximum_holding_force,isotropic_wall_bound_maximum_endpoint_force_remainder,isotropic_wall_bound_maximum_auxiliary_null,benchmark_bank_mass_only_maximum_holding_force,benchmark_bank_mass_only_maximum_endpoint_force_remainder,benchmark_bank_mass_only_maximum_auxiliary_null,any_recovery_bank_mass_lower_bound_maximum_holding_force,any_recovery_bank_mass_lower_bound_maximum_endpoint_force_remainder,any_recovery_bank_mass_lower_bound_maximum_auxiliary_null,specific_energy_for_bank_mass_null_to_equal_previous_supply_peak_J_per_kg,benchmark_mass_lower_null_over_previous_supply_peak
refined_eta100_recovery000_voltage050,refined,1.0,0.0,0.5,128,257,46.943464457489924,4.647246173780397,0.0,0.0,0.7628666375942273,46.73393659012503,0.5533387702293467,46.73393659012503,0.5533387702293467,62.5912859433199,62.5912859433199,46.64153414648087,0.045801620883917205,42.90030161845877,57.20040215794503,0.00848435617707969,0.0124984170502354,0.15000000000000002,0.20214036673420838,1.734723475976807e-18,3.185589270669753e-14,4.440892098500626e-16,0.0,0.013899212509565337,0.013899212509565337,0.30714725169646523,0.022007086473478453,0.022007086473478453,0.486313654389638,47654625555.68692,47654625555.68692,1053041551325.28,46430756063.65906,46430756063.65906,253757624683.75235,7.096462586346914e+16,2707169060717.5264
refined_eta100_recovery100_voltage050,refined,1.0,1.0,0.5,128,257,46.943464457489924,4.647246173780397,4.647246173780397,0.0,0.7628666375942273,46.634231299857085,5.10087965374179,46.634231299857085,5.10087965374179,57.77897159672675,57.34504451764046,43.14764357037634,0.5919293066808072,42.90030161845877,57.20040215794503,0.00848435617707969,0.01262603049472988,0.15000000000000002,0.20214036673420838,1.734723475976807e-18,7.722988915048745e-15,4.440892098500626e-16,0.0,0.013542251942667356,0.013542251942667356,0.1066968716227471,0.021441898909223316,0.021441898909223316,0.16893388618898678,46430756063.65906,46430756063.65906,365780474426.60315,46430756063.65906,46430756063.65906,253757624683.75235,7.096462586346914e+16,2707169060717.5264
refined_eta098_recovery000_voltage050,refined,0.98,0.0,0.5,128,257,46.943464457489924,4.647246173780397,0.0,0.9580298868875505,0.7628666375942273,46.73393659012503,0.5533387702293467,47.69013398421076,0.5515062774275179,63.86865912583662,63.86865912583662,47.59361430473437,0.04143163216271096,43.93606285035896,58.58141713381195,0.008657506303142541,0.012490650115872626,0.15000000000000002,0.20214036673420838,1.734723475976807e-18,5.3004258968036844e-14,4.440892098500626e-16,0.0,0.014182869907719753,0.014182869907719753,0.3134153321422624,0.02245621068722294,0.02245621068722294,0.49623811509548355,48627168934.37447,48627168934.37447,1074532195229.8779,47378322513.937836,47378322513.937836,291233947121.1806,8.144507232818224e+16,3106978685112.137
refined_eta098_recovery100_voltage050,refined,0.98,1.0,0.5,128,257,46.943464457489924,4.647246173780397,4.554301250304788,1.0509748103631584,0.7628666375942273,46.634231299857085,5.10087965374179,47.59094701295869,5.0066205564802395,59.09192234002838,58.70904343536605,44.121238819126646,0.530934949933717,43.93606285035896,58.58141713381195,0.008657506303142541,0.012621666096834403,0.15000000000000002,0.20214036673420838,1.734723475976807e-18,7.91033905045424e-15,4.440892098500626e-16,0.0,0.013818624431293227,0.013818624431293227,0.11254502167462474,0.021879488682880942,0.021879488682880942,0.1781934571044597,47378322513.937836,47378322513.937836,385831351461.82416,47378322513.937836,47378322513.937836,291233947121.1806,8.144507232818224e+16,3106978685112.137
refined_eta095_recovery000_voltage050,refined,0.95,0.0,0.5,128,257,46.943464457489924,4.647246173780397,0.0,2.4707086556573614,0.7628666375942273,46.73393659012503,0.5533387702293467,49.20020272060944,0.5488962450563918,65.88556415086305,65.88556415086305,49.0973043337728,0.03453511275230735,45.565811106079785,60.75441480810638,0.008930901239031253,0.012478386535299823,0.15000000000000002,0.20214036673420838,1.734723475976807e-18,2.302281629229519e-14,8.881784197001252e-16,0.0,0.014630750010068767,0.014630750010068767,0.3233123012672053,0.023165354182608885,0.023165354182608885,0.5119083162099765,50162763742.828316,50162763742.828316,1108464790868.714,48874480067.00951,48874480067.00951,349145060559.2645,9.764021327652702e+16,3724793321289.735
refined_eta095_recovery100_voltage050,refined,0.95,1.0,0.5,128,257,46.943464457489924,4.647246173780397,4.414883865091377,2.7030709643463813,0.7628666375942273,46.634231299857085,5.10087965374179,49.101823885111145,4.865401274649469,61.18189549723152,60.86128498038767,45.671628980045114,0.4531840534303962,45.565811106079785,60.75441480810638,0.008930901239031253,0.012615119499991188,0.15000000000000002,0.20214036673420838,1.734723475976807e-18,1.1815743695964276e-14,4.440892098500626e-16,0.0,0.014255002044912998,0.014255002044912998,0.12456695711157557,0.022570419904445582,0.022570419904445582,0.1972281882050784,48874480067.00951,48874480067.00951,427049573703.18506,48874480067.00951,48874480067.00951,349145060559.2645,9.764021327652702e+16,3724793321289.735
coarse_eta100_recovery000_voltage050,coarse,1.0,0.0,0.5,64,129,43.85120158120684,1.4098578554912693,0.0,0.0,0.7632617459664002,43.640108995855734,0.552169160615293,43.640108995855734,0.552169160615293,58.46826877494245,58.46826877494245,43.55080395571191,0.046587452396164256,43.0330384513084,57.37738460174454,0.007978077042955969,0.012147298418803923,0.15000000000000002,0.20214036673420838,4.2351647362715017e-19,4.80206694720986e-15,2.220446049250313e-16,0.0,0.013856686816670124,0.013856686816670124,0.07682621458678947,0.021939754126394363,0.021939754126394363,0.12163866455802932,47508822621.1665,47508822621.1665,263366199579.3858,46096628078.454796,46096628078.454796,257468463773.43,7.188550706327062e+16,2742298973154.398
coarse_eta100_recovery100_voltage050,coarse,1.0,1.0,0.5,64,129,43.85120158120684,1.4098578554912693,1.4098578554912693,0.0,0.7632617459664002,43.54284255630858,1.8647605765594155,43.54284255630858,1.8647605765594155,57.3982061260621,57.38258998282393,42.86131665569557,0.17321962519145223,43.0330384513084,57.37738460174454,0.007978077042955969,0.012147298418803923,0.15000000000000002,0.20214036673420838,1.734723475976807e-18,5.530298441414061e-15,2.220446049250313e-16,0.0,0.013444798320535335,0.013444798320535335,0.07510604823700959,0.021287597340847616,0.021287597340847616,0.11891506783754449,46096628078.454796,46096628078.454796,257468463773.43,46096628078.454796,46096628078.454796,257468463773.43,7.188550706327062e+16,2742298973154.398
coarse_eta098_recovery000_voltage050,coarse,0.98,0.0,0.5,64,129,43.85120158120684,1.4098578554912693,0.0,0.8949224812491199,0.7632617459664002,43.640108995855734,0.552169160615293,44.53317099759198,0.550308681102426,59.661498749941266,59.661498749941266,44.439967390206654,0.04232741379739455,43.941314574046906,58.58841943206255,0.008140894941791805,0.012136577673505894,0.15000000000000002,0.20214036673420838,1.734723475976807e-18,5.621154583468346e-15,2.220446049250313e-16,0.0,0.01413947634354093,0.01413947634354093,0.07839386452765837,0.022387504210606472,0.022387504210606472,0.12412077696440504,48478390429.76169,48478390429.76169,268741019978.965,47037375590.25999,47037375590.25999,262961238889.12823,7.341909653123726e+16,2800802571376.829
coarse_eta098_recovery100_voltage050,coarse,0.98,1.0,0.5,64,129,43.85120158120684,1.4098578554912693,1.3816606983814437,0.9231196383589454,0.7632617459664002,43.54284255630858,1.8647605765594155,44.436385973590596,1.8351843554824852,58.608824525893766,58.59352070552036,43.75858748633444,0.16313145476949567,43.941314574046906,58.58841943206255,0.008140894941791805,0.012136577673505894,0.15000000000000002,0.20214036673420838,1.734723475976807e-18,5.968749799967199e-15,2.220446049250313e-16,0.0,0.01371918195972993,0.01371918195972993,0.07670810150487412,0.021722038102905725,0.021722038102905725,0.12145165217832997,47037375590.25999,47037375590.25999,262961238889.12823,47037375590.25999,47037375590.25999,262961238889.12823,7.341909653123726e+16,2800802571376.829
