case,s,model,required_negative_null,baseline_required_negative_null,auxiliary_slice_energy,required_negative_null_of_endpoint_remainder
refined_eta100_recovery000_voltage050,0.0,inventory_only,0.10705812866924896,0.0731058499918498,62.889963835543476,0.04747755122489309
refined_eta100_recovery000_voltage050,0.0,isotropic_wall_bound,0.12754836242841616,0.0731058499918498,99.44842463883019,0.07517337220431633
refined_eta100_recovery000_voltage050,0.0,benchmark_bank_mass_only,162780799586.33206,0.0731058499918498,215466524877817.47,162780799586.319
refined_eta100_recovery000_voltage050,0.0,any_recovery_bank_mass_lower_bound,39226248000.54114,0.0731058499918498,196689822147412.56,39226248000.528076
refined_eta100_recovery000_voltage050,0.5,inventory_only,0.09327458818847613,0.07055558037646578,62.429283828928476,0.022747354795700798
refined_eta100_recovery000_voltage050,0.5,isotropic_wall_bound,0.10652761718585038,0.07055558037646578,98.8402244760022,0.03601691647942676
refined_eta100_recovery000_voltage050,0.5,benchmark_bank_mass_only,77991183675.03029,0.07055558037646578,214599520874974.53,77991183675.02812
refined_eta100_recovery000_voltage050,0.5,any_recovery_bank_mass_lower_bound,27861571014.599804,0.07055558037646578,196116417880228.9,27861571014.558746
refined_eta100_recovery000_voltage050,1.285,inventory_only,0.3917416402960014,0.10398176192529458,61.874220926609574,0.3072825868766725
refined_eta100_recovery000_voltage050,1.285,isotropic_wall_bound,0.5709080429395302,0.10398176192529458,98.28516095654317,0.486448989516656
refined_eta100_recovery000_voltage050,1.285,benchmark_bank_mass_only,1053041551325.2843,0.10398176192529458,214599517247838.53,1053041551325.28
refined_eta100_recovery000_voltage050,1.285,any_recovery_bank_mass_lower_bound,253757624683.75653,0.10398176192529458,196116416278667.34,253757624683.75235
refined_eta100_recovery100_voltage050,0.0,inventory_only,0.08473583294815337,0.0731058499918498,58.11505674982437,0.016491619943533507
refined_eta100_recovery100_voltage050,0.0,isotropic_wall_bound,0.09160003204710676,0.0731058499918498,91.86115312884309,0.026112314380716692
refined_eta100_recovery100_voltage050,0.0,benchmark_bank_mass_only,56542914213.88277,0.0731058499918498,198710662870987.12,56542914213.86969
refined_eta100_recovery100_voltage050,0.0,any_recovery_bank_mass_lower_bound,39226248000.54114,0.0731058499918498,196689822147412.56,39226248000.528076
refined_eta100_recovery100_voltage050,0.5,inventory_only,0.07844717503871376,0.07055558037646578,57.729169576045436,0.008126260396887844
refined_eta100_recovery100_voltage050,0.5,isotropic_wall_bound,0.08305087733237701,0.07055558037646578,91.3713749496363,0.012866578961739088
refined_eta100_recovery100_voltage050,0.5,benchmark_bank_mass_only,27861571014.599804,0.07055558037646578,198100092397844.72,27861571014.558746
refined_eta100_recovery100_voltage050,0.5,any_recovery_bank_mass_lower_bound,27861571014.599804,0.07055558037646578,196116417880228.9,27861571014.558746
refined_eta100_recovery100_voltage050,1.285,inventory_only,0.1912912602778246,0.10398176192529458,57.174107186727035,0.1068322068624622
refined_eta100_recovery100_voltage050,1.285,isotropic_wall_bound,0.25352827482681944,0.10398176192529458,90.81631224242805,0.1690692214102255
refined_eta100_recovery100_voltage050,1.285,benchmark_bank_mass_only,365780474426.60724,0.10398176192529458,198100090529574.16,365780474426.6031
refined_eta100_recovery100_voltage050,1.285,any_recovery_bank_mass_lower_bound,253757624683.75653,0.10398176192529458,196116416278667.34,253757624683.75235
refined_eta098_recovery000_voltage050,0.0,inventory_only,0.10776627402386177,0.0731058499918498,64.16812776925947,0.04844648084172937
refined_eta098_recovery000_voltage050,0.0,isotropic_wall_bound,0.1286986253100273,0.0731058499918498,101.47275011775609,0.07670751076430708
refined_eta098_recovery000_voltage050,0.0,benchmark_bank_mass_only,166102856720.74677,0.0731058499918498,219863800895732.12,166102856720.7337
refined_eta098_recovery000_voltage050,0.0,any_recovery_bank_mass_lower_bound,45019396166.67165,0.0731058499918498,201448314854026.66,45019396166.658585
refined_eta098_recovery000_voltage050,0.5,inventory_only,0.09373824122059328,0.07055558037646578,63.70228704431401,0.02321158625240145
refined_eta098_recovery000_voltage050,0.5,isotropic_wall_bound,0.10726173459852571,0.07055558037646578,100.85637881757198,0.036751949619202785
refined_eta098_recovery000_voltage050,0.5,benchmark_bank_mass_only,79582840484.72476,0.07055558037646578,218979102933647.5,79582840484.7226
refined_eta098_recovery000_voltage050,0.5,any_recovery_bank_mass_lower_bound,28430174504.692856,0.07055558037646578,200851344632977.28,28430174504.6518
refined_eta098_recovery000_voltage050,1.285,inventory_only,0.39800972074006175,0.10398176192529458,63.147224120405106,0.3135506673206089
refined_eta098_recovery000_voltage050,1.285,isotropic_wall_bound,0.5808325036426258,0.10398176192529458,100.30131526392879,0.49637345021955526
refined_eta098_recovery000_voltage050,1.285,benchmark_bank_mass_only,1074532195229.8821,0.10398176192529458,218979099232488.28,1074532195229.8779
refined_eta098_recovery000_voltage050,1.285,any_recovery_bank_mass_lower_bound,291233947121.1847,0.10398176192529458,200851342916881.03,291233947121.1805
refined_eta098_recovery100_voltage050,0.0,inventory_only,0.08537831555253765,0.0731058499918498,59.42362786544867,0.01739563606744366
refined_eta098_recovery100_voltage050,0.0,isotropic_wall_bound,0.09262635842051622,0.0731058499918498,93.93515339836154,0.02754367324357444
refined_eta098_recovery100_voltage050,0.0,benchmark_bank_mass_only,59642409948.01836,0.0731058499918498,203231310930377.75,59642409948.005295
refined_eta098_recovery100_voltage050,0.0,any_recovery_bank_mass_lower_bound,45019396166.67165,0.0731058499918498,201448314854026.66,45019396166.658585
refined_eta098_recovery100_voltage050,0.5,inventory_only,0.0788797655374117,0.07055558037646578,59.03217416069028,0.008334572844122099
refined_eta098_recovery100_voltage050,0.5,isotropic_wall_bound,0.08373581232550747,0.07055558037646578,93.43656154543717,0.013196678407898598
