s,x,model,baseline_required_negative_null,required_negative_null,worst_direction,auxiliary_rho,endpoint_rho,geometry_rho,endpoint_remainder_required_negative_null
0.0,-2.1,inventory_only,0.03341954732392675,0.0400691977874745,-1.0,0.006649650463493729,0.0,0.0023337375658352,0.006649650463547758
0.0,-2.0875,inventory_only,0.02677151119633687,0.03239714378816481,-1.0,0.0056232932913160135,-1.173860135462144e-06,0.0025980748332075,0.005625632591827937
0.0,-2.075,inventory_only,0.021332921698749036,0.026276178184734267,-1.0,0.004926251479523373,-8.535179333010051e-06,0.0028418178414959,0.004943256485985232
0.0,-2.0625,inventory_only,0.01691476540298776,0.021326714404569038,-1.0,0.0043602064479625596,-2.5976073671665692e-05,0.0030659503660693,0.004411949001581282
0.0,-2.0500000000000003,inventory_only,0.013912757905235034,0.018030272262583948,-1.0,0.004007834766115673,-5.507153732444692e-05,0.0032715423093118,0.004117514357348918
0.0,-2.0375,inventory_only,0.011396779869257316,0.015289588489422782,-1.0,0.0037028672960726385,-9.538582540993106e-05,0.0034597237081551,0.0038928086201654635
0.0,-2.025,inventory_only,0.00928411224038827,0.013284874714526962,-1.0,0.0037123353859224964,-0.0001448611148155,0.0036316604854428,0.004000762474138694
0.0,-2.0125,inventory_only,0.008387319703621225,0.012758580653131266,-1.0,0.003972568664574481,-0.0002002600509925,0.0037885330750679,0.004371260949510042
0.0,-2.0,inventory_only,0.00774115033324307,0.012312979820910402,-1.0,0.004058945128133921,-0.0002576361141794,0.0039315174681988,0.004571829487667331
0.0,-1.9875,inventory_only,0.007137777002941715,0.011722217840311374,-1.0,0.0039617547654033376,-0.0003128080639706,0.0040617691031384,0.00458444083736966
0.0,-1.975,inventory_only,0.006563660727082622,0.010979761624630978,-1.0,0.003695877029068165,-0.0003618170466017,0.0041804094340542,0.004416100897548356
0.0,-1.9625000000000001,inventory_only,0.006014363032406439,0.010109154943700465,-1.0,0.0032958881868687794,-0.0004013472747848,0.0042885151621281,0.0040947919112940285
0.0,-1.9500000000000002,inventory_only,0.0055084373267865645,0.009296351571753533,-1.0,0.0029416618641949486,-0.0004290935153797,0.004387110055161,0.0037958032540868136
0.0,-1.9375,inventory_only,0.005979765807396353,0.008723595422528608,-1.0,0.002796833625361639,-0.0004440609456516,0.0044771587039347,0.003680792156528815
0.0,-1.925,inventory_only,0.006641691545984556,0.008369460070718822,-1.0,0.0026904120227370953,-0.000446785264316,0.0045595628826154,0.003579832845139743
0.0,-1.9125,inventory_only,0.007487962897929586,0.008782023139829578,-0.051801954833925405,0.0026360199242841235,-0.0004394632690367,0.0046351590361381,0.003510918527580941
