portal,coordinate,step,relative_residual
0.14,-1.5,0.008,2.0688877907525312e-07
0.14,-2.8,0.008,4.677312448341215e-08
0.14,-4.0,0.008,2.7515610173327043e-08
0.14,-5.5,0.008,8.441954846159505e-08
1.4,-1.5,0.008,2.011577054328204e-07
1.4,-2.8,0.008,4.497366317438939e-08
1.4,-4.0,0.008,3.430931812280185e-08
1.4,-5.5,0.008,1.1257839967780579e-07
14.0,-1.5,0.008,1.9813283538122216e-07
14.0,-2.8,0.008,4.717492929808692e-08
14.0,-4.0,0.008,4.1369288199947696e-08
14.0,-5.5,0.008,1.3909611293929723e-07
