method,tolerance,radius,throat,edge_ratio,screening_mass_parameter,loading,flavors,charge,adm_mass_ratio,wall_mass_ratio,adm_mass,wall_mass,cloud_adm_mass,eta,wall_lapse,wall_log_lapse_slope,wall_U,wall_Z,surface_energy,surface_pressure,wall_tension,surface_gas_energy,charge_predicted_gas_energy,scaled_matching_residual,positive_components,tensile_wall,wall_only_transverse_speed_squared,wall_number_per_area,wall_fermi_momentum,wall_charge,screening_rest_mass,screening_chemical_at_wall,electric_potential_energy_at_wall,screening_klein_energy,wall_fermi_energy_at_infinity,charge_integral_relative_error,mass_integral_relative_error,klein_maximum_relative_error,stress_conservation_relative_error,minimum_metric_f,proper_atmosphere_width,proper_mass_90_width,proper_number_90_width,screening_klein_to_rest_mass,wall_radial_pressure,wall_gas_energy_density,wall_electric_energy_density
DOP853,2e-08,6.8,1.75,1.5,3.0,0.0001,64,0.30286190409413793,0.36837520561234377,0.1561133817643385,2.5049513981639375,1.0615709959975017,1.4433804021664358,1.0455999529108977e-07,0.53143205853669,0.1372411593855245,13.350192330052407,167.1118949707553,0.0016032113525191445,-0.00013563019274103063,0.0006248239126670686,0.0009783874398520758,0.0009783874598506708,1.7089063358843859e-09,True,True,0.0845990720611561,1001.1083670026661,14.020241374577976,176178.71132549646,11.209679390679835,49.88379194126682,18.513697730962093,7.99614850800128,25.96450346583534,1.6432188942872017e-11,4.895706062768568e-11,1.496207602258437e-10,1.7269575640086525e-05,0.33696247386094624,5.272447448477493,0.5714262640932128,1.002223559683008,0.7133253529656307,-0.00010622247584659603,0.015531624291165298,0.00480603620845546
DOP853,2e-10,6.8,1.75,1.5,3.0,0.0001,64,0.30286190409413793,0.36837520561234377,0.15611338284322218,2.5049513981639375,1.0615710033339107,1.4433803948300268,1.0455999529108977e-07,0.5314320584836216,0.13724116290322677,13.350192312911531,167.1118944878989,0.0016032113677432996,-0.00013563018432782037,0.0006248239121329801,0.0009783874556103195,0.000978387455610213,-9.103828801926284e-15,True,True,0.08459906601007647,1001.108364110044,14.020241354322797,176178.71081644224,11.209679390679835,49.88379187721892,18.513697694281344,7.99614850799767,25.964503417646306,1.9648505045211095e-11,6.242628636243808e-11,4.4673487131774436e-11,1.7458044446904203e-05,0.336962473796092,5.272447448914668,0.5714262652485013,1.002223560750954,0.7133253529656307,-0.00010622247404928221,0.01553162420909288,0.0048060361806821494
DOP853,2e-12,6.8,1.75,1.5,3.0,0.0001,64,0.30286190409413793,0.36837520561234377,0.15611338286039417,2.5049513981639375,1.0615710034506802,1.4433803947132573,1.0455999529108977e-07,0.5314320584813557,0.13724116304008319,13.350192312666291,167.1118944792761,0.0016032113679856142,-0.0001356301838014977,0.0006248239118628699,0.0009783874561227442,0.0009783874555344871,-5.026734584134829e-11,True,True,0.08459906566899714,1001.1083640583878,14.020241353961081,176178.7108073516,11.209679390679835,49.88379187630256,18.51369769369078,7.996148507988217,25.964503416831747,1.220357148667972e-12,6.064482249712455e-12,6.0285110237146e-13,1.761234758123944e-05,0.33696247379622357,5.272447448925903,0.5714262652984518,1.0022235607928418,0.7133253529656307,-0.00010622247392495824,0.015531624207918638,0.0048060361801861755
Radau,2e-08,6.8,1.75,1.5,3.0,0.0001,64,0.30286190409413793,0.36837520561234377,0.15611338280544398,2.5049513981639375,1.0615710030770191,1.4433803950869184,1.0455999529108977e-07,0.5314320584832892,0.13724116254952334,13.350192313276295,167.11189450334726,0.001603211367210211,-0.00013563018574107478,0.0006248239128974535,0.0009783874543127574,0.000978387455745881,1.2246230418622162e-10,True,True,0.08459906691972147,1001.1083642025898,14.020241354970835,176178.71083272877,11.209679390679835,49.88379187858188,18.5136976949198,7.996148508066955,25.96450341862449,8.627787373427509e-11,7.728651052474333e-11,5.25800403217147e-10,1.850320767395933e-05,0.33696247395288625,5.272447448906104,0.5714262652301882,1.0022235607174443,0.7133253529656307,-0.00010622247438507725,0.015531624210839404,0.00480603618157072
Radau,2e-10,6.8,1.75,1.5,3.0,0.0001,64,0.30286190409413793,0.36837520561234377,0.15611338286138918,2.5049513981639375,1.0615710034574464,1.4433803947064912,1.0455999529108977e-07,0.5314320584813088,0.1372411630424676,13.350192312649888,167.11189447883282,0.001603211367999655,-0.00013563018379791049,0.0006248239118651587,0.0009783874561344965,0.0009783874555305944,-5.160422089645067e-11,True,True,0.0845990656660187,1001.1083640557325,14.020241353942488,176178.71080688428,11.209679390679835,49.88379187624127,18.51369769365561,7.996148507988476,25.96450341678604,7.354117315117037e-13,5.455857987612944e-12,5.944467140750476e-12,1.763191145592869e-05,0.3369624737969954,5.272447448926275,0.5714262652998626,1.0022235607941166,0.7133253529656307,-0.00010622247392431838,0.015531624207840104,0.004806036180160679
Radau,2e-12,6.8,1.75,1.5,3.0,0.0001,64,0.30286190409413793,0.36837520561234377,0.15611338286076298,2.5049513981639375,1.0615710034531882,1.4433803947107493,1.0455999529108977e-07,0.5314320584813496,0.13724116304180603,13.350192312660923,167.1118944791133,0.0016032113679908188,-0.00013563018379609737,0.0006248239118610045,0.0009783874561298143,0.0009783874555330575,-5.0993653744058065e-11,True,True,0.08459906566535405,1001.1083640574126,14.020241353954253,176178.71080717997,11.209679390679835,49.8837918762825,18.51369769367967,7.996148507988362,25.964503416816925,1.1024514634527804e-12,5.770273148186789e-12,7.538414337204813e-14,1.761242380835915e-05,0.33696247379620725,5.272447448926001,0.571426265299342,1.002223560793575,0.7133253529656307,-0.00010622247392372798,0.01553162420789294,0.0048060361801768115
