s,charging_work_worldtube_rate,endpoint_heat_return_worldtube_rate,endpoint_heat_input_worldtube_rate,endpoint_net_worldtube_rate,endpoint_net_input_worldtube_rate,endpoint_net_output_worldtube_rate,heat_return_during_net_endpoint_input_worldtube_rate
0.00501953125,5.080758077026333,6.834388171181807,0.06240135108288295,-1.6912287430725899,0.06251484127865907,1.7537435843512488,0.0
0.015058593749999998,0.5817805924143513,1.6004657860977063,0.06407193310662991,-0.9546132605767251,0.06407193310662991,1.018685193683355,0.0
0.025097656249999996,3.3252906234438493,3.6576627442740772,0.10198039842556686,-0.230391722404662,0.10198039842556686,0.3323721208302288,0.0
0.03513671875,0.00012452663060102622,0.01275545034504921,0.49283550192161885,0.48020457820717066,0.49289513645987604,0.012690558252705321,6.489209234388762e-05
0.04517578125,0.7138786193420211,0.7375553275465169,1.19962429761953,1.175947589415034,1.1998160704750775,0.023868481060043512,6.431872117223592e-05
0.05521484374999999,0.2895760693934254,0.3264780394026062,1.8925202498700517,1.8556182798608707,1.8928205968618703,0.037202317000999414,5.7894871262907176e-05
0.06525390625,0.3106581356551152,0.36066861237010267,2.568023746419297,2.51801326970431,2.5682378699370747,0.050224600232765,2.8010705152175096e-05
0.07529296875,0.31701487005503487,0.3796632841884815,3.224599463395934,3.1619510492624876,3.224868306248545,0.06291725698605775,2.5506618513203033e-05
0.08533203125,0.22604491259267123,0.30068573621916383,3.8445918167776343,3.7699509931511415,3.8449083772948844,0.0749573841437427,1.9360988840616768e-05
0.09537109375,0.2097274008232679,0.29422673427405854,4.346890146685512,4.26239081323472,4.347240607907644,0.08484979467292393,1.24524821215916e-05
0.10541015625,0.19324131624510724,0.2852964235100915,4.723245567896891,4.631190460631906,4.723615501624188,0.09242504099228134,5.767626967937738e-06
0.11544921875,0.1905961507366592,0.2879441959458059,4.976779443670464,4.879431398461318,4.977154376362296,0.09772297790097778,0.0
0.12548828125,0.28211167691882905,0.3782743980288418,5.106665455279886,5.010502734169874,5.111293814660378,0.10079108049050564,0.0
0.13552734374999997,0.20900767679070423,0.30636370816652725,5.125447040990236,5.028091009614412,5.129775422088647,0.10168441247423388,0.0
0.14556640625,0.18733878229175227,0.2839030395253305,5.03273257703002,4.936168319796442,5.036633766027002,0.10046544623055906,0.0
0.15560546874999998,0.11763103399392803,0.21456913825630797,4.8359171907289795,4.7389790864666,4.836182947450814,0.09720386098421394,2.0632866104067187e-05
0.16564453125,0.0662798863134,0.15795316022736744,4.532698545114842,4.441025271200874,4.53300159730116,0.0919763261002855,2.03836334297368e-05
0.17568359374999998,0.04809201659280484,0.13282879966590094,4.144369301729525,4.0596325186564295,4.144708439129998,0.08507592047356902,1.98750843532207e-05
0.18572265625,0.03783200387130365,0.11445694022011318,3.7005550877794877,3.6239301514306783,3.700928648630968,0.07699849720028949,1.9190463238195335e-05
0.19576171874999998,0.0296566592631815,0.09707841435492119,3.205462457746263,3.138040702654523,3.205868437967271,0.06782773531274809,1.8332671368858836e-05
0.20580078125,0.0005159978124751425,0.058156550357880366,2.6631326505224973,2.605492097977092,2.6631326505224973,0.05764055254540523,0.0
0.21583984374999998,0.0003533680050864839,0.05942766065025924,2.088981992340315,2.029907699695142,2.0892125578250034,0.059304858129861554,0.00012280252039768564
0.22587890625,0.0005999451120033794,0.06321543347689372,1.477608839635911,1.4149933512710207,1.4780814222330547,0.06308807096203405,0.00012736251485967785
0.23591796874999998,0.0008506531959250048,0.09343314673803893,0.8571059280614053,0.7645234345192914,0.8578254859932049,0.09330205147391338,0.00013109526412556622
0.24595703124999999,0.0011036466265952043,0.2952930646587837,0.376516076794308,0.08232665876211948,0.37748571950595083,0.29515906074383136,0.00013400391495234183
0.25599609375,0.0013503346411307166,0.7889306742776934,0.16011590685164556,-0.6274644327849171,0.16133682791383058,0.7888012606987478,0.00012941357894572203
0.26603515624999996,0.00155938638964244,1.438491609251295,0.13985490902122308,-1.2970773138404295,0.14130343225019532,1.4383807460906248,0.00011086316067020384
