nodes,sigma,weighted_drive,minimum_field_coefficient,cold_inertia_drive
1025,1.0,-2.194649190104454,0.44469693113249564,-1.9585035037367913
1025,10.0,-2.194649190104454,0.4446969309511175,-1.9585035037367913
2049,1.0,-2.194657332884784,0.4446935230580698,-1.95851059623626
2049,10.0,-2.194657332884784,0.44469352287247604,-1.95851059623626
