s,model,x,required_negative_null,worst_direction,auxiliary_rho
0.0,wave_and_heat_bound,-2.096875,0.03329124818914326,-1.0,0.0015996368882734034
0.0,wave_and_heat_bound,-2.090625,0.029849638918091212,-1.0,0.0014853481401721428
0.0,wave_and_heat_bound,-2.084375,0.026724825013291296,-1.0,0.0013746907476988896
0.0,wave_and_heat_bound,-2.078125,0.023898938201449612,-1.0,0.0012665493636474935
0.0,wave_and_heat_bound,-2.0718750000000004,0.021344961735393877,-1.0,0.0011619719566859337
0.0,wave_and_heat_bound,-2.065625,0.019047021567611466,-1.0,0.0010608437323407862
0.0,wave_and_heat_bound,-2.059375,0.017223470021390415,-1.0,0.0010604488704610746
0.0,wave_and_heat_bound,-2.053125,0.015838286326012408,-1.0,0.0011520464216423622
0.0,wave_and_heat_bound,-2.046875,0.0147619313506986,-1.0,0.0014215242267775973
0.0,wave_and_heat_bound,-2.0406250000000004,0.013970246055250749,-1.0,0.0018522136509074836
0.0,wave_and_heat_bound,-2.034375,0.013236646962411293,-1.0,0.0022323863037947657
0.0,wave_and_heat_bound,-2.028125,0.01255809250843108,-1.0,0.0025652403521794504
0.0,wave_and_heat_bound,-2.021875,0.012059910874287105,-1.0,0.002758218064479502
0.0,wave_and_heat_bound,-2.015625,0.011727217827529439,-1.0,0.0028233965387983668
0.0,wave_and_heat_bound,-2.0093750000000004,0.01142815018865329,1.0,0.0028314825799506276
0.0,wave_and_heat_bound,-2.003125,0.011148017314647839,1.0,0.0027876113022056457
0.0,wave_and_heat_bound,-1.9968750000000002,0.010841464082070169,1.0,0.0027077696765866474
0.0,wave_and_heat_bound,-1.990625,0.010511800126685922,1.0,0.0025954460157341067
0.0,wave_and_heat_bound,-1.984375,0.010159035872789945,1.0,0.002456227032624356
0.0,wave_and_heat_bound,-1.9781250000000001,0.009786332662967688,1.0,0.0022929823109873247
0.0,wave_and_heat_bound,-1.971875,0.00939677671559694,1.0,0.002112145050472287
0.0,wave_and_heat_bound,-1.9656250000000002,0.008993091851253078,1.0,0.0019158794521073293
0.0,wave_and_heat_bound,-1.959375,0.008583194296024943,1.0,0.0017112024203562316
0.0,wave_and_heat_bound,-1.953125,0.00816890948228918,1.0,0.0014995175301812395
0.0,wave_and_heat_bound,-1.9468750000000001,0.007762378739285113,1.0,0.0012885808598935345
0.0,wave_and_heat_bound,-1.940625,0.007364140637570512,1.0,0.0010789731145893766
0.0,wave_and_heat_bound,-1.9343750000000002,0.007043646934651618,1.0,0.0009007434618291433
0.0,wave_and_heat_bound,-1.928125,0.006794699530906427,1.0,0.0007515164871579189
0.0,wave_and_heat_bound,-1.921875,0.006672416094970893,1.0,0.0006875518669564088
0.0,wave_and_heat_bound,-1.9156250000000001,0.0067040060228185355,0.580327730794183,0.000701014812175334
0.0,wave_and_heat_bound,-1.909375,0.007210134217267707,0.18657849385106517,0.0007180891364122095
0.0,wave_and_heat_bound,-1.9031250000000002,0.007858919442705411,0.1127210581346258,0.0007384596052044557
0.0,wave_and_heat_bound,-1.896875,0.008369805081878203,0.08522968130513384,0.0007537395057280382
0.0,wave_and_heat_bound,-1.890625,0.008747243605962598,0.07125123542903813,0.0007643145358612139
0.0,wave_and_heat_bound,-1.8843750000000001,0.009084791555390909,0.0624073411814129,0.0007732280839690681
0.0,wave_and_heat_bound,-1.878125,0.009384268613671885,0.05635740852715404,0.0007805806744053028
0.0,wave_and_heat_bound,-1.8718750000000002,0.009680248606749596,0.05182892702653619,0.0007877981295918887
0.0,wave_and_heat_bound,-1.865625,0.009972538845824747,0.048313024948011124,0.0007948565438988995
0.0,wave_and_heat_bound,-1.859375,0.010262777530117286,0.0454919597556159,0.0008017934282252122
0.0,wave_and_heat_bound,-1.8531250000000001,0.010550754052162159,0.04317612236276859,0.0008085865915263929
0.0,wave_and_heat_bound,-1.846875,0.010838114430771836,0.04123025826455113,0.0008152871053669248
0.0,wave_and_heat_bound,-1.8406250000000002,0.011124616192054168,0.0395705944429253,0.0008218798285106134
0.0,wave_and_heat_bound,-1.834375,0.011411907310623913,0.03813144405050763,0.000828438096532253
0.0,wave_and_heat_bound,-1.828125,0.011699719774179473,0.036872976948773645,0.0008349610908858317
0.0,wave_and_heat_bound,-1.8218750000000001,0.011989915376424572,0.035760379353289184,0.0008415573946835534
0.0,wave_and_heat_bound,-1.815625,0.012282177375276638,0.03477256678306874,0.0008482268511569996
0.0,wave_and_heat_bound,-1.8093750000000002,0.012577653432270979,0.033846409642168625,0.0008547739450796743
0.0,wave_and_heat_bound,-1.803125,0.012874790406142587,0.032818871146611264,0.000860060000209012
0.0,wave_and_heat_bound,-1.796875,0.013173811488866446,0.031698856429493674,0.0008640821489158121
0.0,wave_and_heat_bound,-1.7906250000000001,0.013474697337555061,0.030533583010395025,0.0008670951857436718
0.0,wave_and_heat_bound,-1.784375,0.013776159836314888,0.0293691892917519,0.000869346642635246
0.0,wave_and_heat_bound,-1.7781250000000002,0.01407835900812152,0.028242276656137835,0.000871141313702357
0.0,wave_and_heat_bound,-1.771875,0.014378407182400695,0.027175012859344,0.0008725255136106669
0.0,wave_and_heat_bound,-1.765625,0.014676431261493534,0.02617057878873367,0.0008735990108899816
0.0,wave_and_heat_bound,-1.7593750000000001,0.014969163157266424,0.025228786724395838,0.000874204684129017
0.0,wave_and_heat_bound,-1.753125,0.015256869630031878,0.02434755602755027,0.000874415303784571
0.0,wave_and_heat_bound,-1.7468750000000002,0.015536171360781467,0.023527340571148067,0.0008740536169117722
0.0,wave_and_heat_bound,-1.740625,0.01580749118130074,0.022765193198198745,0.0008732003707207462
0.0,wave_and_heat_bound,-1.734375,0.016068165721007218,0.022059911134113153,0.0008723506920550057
0.0,wave_and_heat_bound,-1.7281250000000001,0.01631867408609782,0.021407147279461317,0.0008715196716594583
0.0,wave_and_heat_bound,-1.721875,0.016555126414351674,0.020804352734442515,0.0008698328174986143
0.0,wave_and_heat_bound,-1.7156250000000002,0.016778155061350636,0.020246506234632148,0.0008673641207676423
0.0,wave_and_heat_bound,-1.709375,0.0169837349075338,0.01973047041497695,0.000862934816342159
0.0,wave_and_heat_bound,-1.703125,0.017172652116862322,0.019251269088139355,0.0008567036550586611
0.0,wave_and_heat_bound,-1.6968750000000001,0.017343682351931285,0.018805045401470072,0.00084846295173596
0.0,wave_and_heat_bound,-1.690625,0.017497578875613293,0.018387513408974408,0.0008383730628582391
0.0,wave_and_heat_bound,-1.6843750000000002,0.017637814234529113,0.017994294343751653,0.0008281389222951802
0.0,wave_and_heat_bound,-1.678125,0.017764823781710067,0.017622282046236813,0.0008177695418267092
0.0,wave_and_heat_bound,-1.671875,0.0179467226704841,0.017243737281212864,0.0008108095543928433
0.0,wave_and_heat_bound,-1.6656250000000001,0.018180594490189123,0.016862576059275974,0.0008070319333009073
0.0,wave_and_heat_bound,-1.659375,0.01841678385936422,0.016497433699066765,0.0008035158517135557
0.0,wave_and_heat_bound,-1.6531250000000002,0.018655143988631693,0.016148108215059118,0.0008002589562415701
0.0,wave_and_heat_bound,-1.646875,0.01889400907677985,0.015814605870641457,0.0007970913459957523
0.0,wave_and_heat_bound,-1.640625,0.01913333040336084,0.015496396160927385,0.0007940204463657583
0.0,wave_and_heat_bound,-1.6343750000000001,0.01937463156944784,0.015192439760562185,0.0007913750499368864
0.0,wave_and_heat_bound,-1.628125,0.01961779082618335,0.014902174093514058,0.0007891349226833752
0.0,wave_and_heat_bound,-1.6218750000000002,0.019861495595601283,0.014625165089496425,0.0007869529404841355
0.0,wave_and_heat_bound,-1.615625,0.020105704346306673,0.014360705348629913,0.000784833386467985
0.0,wave_and_heat_bound,-1.609375,0.020348951135923814,0.014108348710324516,0.0007825070888029938
0.0,wave_and_heat_bound,-1.6031250000000001,0.020591268237989423,0.013867354600145291,0.0007799960268288753
0.0,wave_and_heat_bound,-1.596875,0.02083950804953716,0.013635710061330028,0.0007787020322806891
0.0,wave_and_heat_bound,-1.590625,0.021093377538619975,0.013413137072286876,0.0007785486444963476
0.0,wave_and_heat_bound,-1.584375,0.02135226343570086,0.013199374465658036,0.0007794191472549097
0.0,wave_and_heat_bound,-1.578125,0.02161593726877227,0.012994163103773968,0.0007812508685617927
0.0,wave_and_heat_bound,-1.5718750000000001,0.021881617213201907,0.012797592038578826,0.0007833952279135161
0.0,wave_and_heat_bound,-1.565625,0.02214922832271891,0.012609247317881619,0.0007858362598454374
0.0,wave_and_heat_bound,-1.559375,0.022417957398900942,0.012428780798376357,0.0007883799494791285
0.0,wave_and_heat_bound,-1.553125,0.022687773033184203,0.012255716627425847,0.0007910226739105127
0.0,wave_and_heat_bound,-1.546875,0.022957669847833463,0.012089707682022171,0.0007935270766357788
0.0,wave_and_heat_bound,-1.5406250000000001,0.023227662139599873,0.011930257513862761,0.0007959039638834051
0.0,wave_and_heat_bound,-1.534375,0.023496783891694926,0.011777027143988069,0.0007979587938464082
0.0,wave_and_heat_bound,-1.528125,0.023765085993527564,0.011629552119578881,0.0007997134162188156
0.0,wave_and_heat_bound,-1.521875,0.024033194208910296,0.01148737684208467,0.0008015163676361944
0.0,wave_and_heat_bound,-1.515625,0.024301121467151333,0.011350151285692946,0.000803367208572439
0.0,wave_and_heat_bound,-1.5093750000000001,0.024578393027945684,0.011216374060322675,0.0008070863807970321
0.0,wave_and_heat_bound,-1.503125,0.024864657694225214,0.011086151193188974,0.0008125709264975477
0.0,wave_and_heat_bound,-1.496875,0.025143782069054328,0.01096135988903746,0.0008162109990944861
0.0,wave_and_heat_bound,-1.490625,0.025416068876663197,0.010841578359457886,0.0008181149686520974
0.0,wave_and_heat_bound,-1.484375,0.02568190951297124,0.01072639933035,0.000818423061308171
0.0,wave_and_heat_bound,-1.4781250000000001,0.025941549081664766,0.010615403843496457,0.0008172260838248893
0.0,wave_and_heat_bound,-1.471875,0.026196049142740516,0.010508121272933905,0.0008148125281615859
0.0,wave_and_heat_bound,-1.465625,0.026445581339457493,0.010404188345934037,0.0008112497841355238
0.0,wave_and_heat_bound,-1.459375,0.026691339846345936,0.010303160060236303,0.0008068416880010233
0.0,wave_and_heat_bound,-1.453125,0.026933428747635588,0.0102047351477828,0.0008016337546575144
0.0,wave_and_heat_bound,-1.4468750000000001,0.027173170368402135,0.010108509219313026,0.0007959452269030636
0.0,wave_and_heat_bound,-1.440625,0.027410607515203734,0.010014259654095997,0.0007898016370165544
0.0,wave_and_heat_bound,-1.434375,0.0276471779869494,0.009921647817352632,0.0007835310013600924
0.0,wave_and_heat_bound,-1.428125,0.027882871168098792,0.009830597824353757,0.0007771424441352691
0.0,wave_and_heat_bound,-1.421875,0.0281192430270365,0.00974078581364986,0.0007709800203014332
0.0,wave_and_heat_bound,-1.4156250000000001,0.028356229795352374,0.009652066831800938,0.000765032574175384
0.0,wave_and_heat_bound,-1.409375,0.0285955021425567,0.009564385927056438,0.0007596625350233216
0.0,wave_and_heat_bound,-1.403125,0.028836948697728872,0.00947752664842712,0.0007548399166661571
0.0,wave_and_heat_bound,-1.396875,0.029080748847247682,0.009391816982821917,0.0007506224153100254
0.0,wave_and_heat_bound,-1.390625,0.029326795866011363,0.00930703380549831,0.0007469793128816933
0.0,wave_and_heat_bound,-1.3843750000000001,0.02957379889318601,0.00922364879079155,0.0007436468234477274
0.0,wave_and_heat_bound,-1.378125,0.02982169509396415,0.009141436745309407,0.0007406082190897237
0.0,wave_and_heat_bound,-1.371875,0.030069486768754265,0.009060825319983637,0.0007376490942860026
0.0,wave_and_heat_bound,-1.365625,0.030317140481634725,0.008981635274044301,0.0007347643806515686
0.0,wave_and_heat_bound,-1.359375,0.030563582871872785,0.008904111505572139,0.0007317283252623722
0.0,wave_and_heat_bound,-1.3531250000000001,0.030808807918297352,0.00882818328370625,0.0007285483192264767
0.0,wave_and_heat_bound,-1.346875,0.031051676324678743,0.008753997140300337,0.0007249901117236557
0.0,wave_and_heat_bound,-1.340625,0.03129220263326645,0.008681471896624923,0.0007210694487586942
0.0,wave_and_heat_bound,-1.334375,0.03152919074434837,0.008610691663967779,0.0007165458518714438
0.0,wave_and_heat_bound,-1.328125,0.031762670086619274,0.008541494025330295,0.0007114404244892977
0.0,wave_and_heat_bound,-1.3218750000000001,0.0319914032516186,0.008474092213782154,0.0007055129506569934
0.0,wave_and_heat_bound,-1.315625,0.03221542576802924,0.008408062743430589,0.0006987836995351736
0.0,wave_and_heat_bound,-1.309375,0.032433471563835324,0.008343846319724676,0.0006910161360280418
0.0,wave_and_heat_bound,-1.303125,0.0326455788436656,0.008280762739864228,0.000682228693298456
0.0,wave_and_heat_bound,-1.296875,0.03285991421323252,0.008218602750239971,0.000673746057493352
0.0,wave_and_heat_bound,-1.2906250000000001,0.033076348758268675,0.008157042177641132,0.0006655474338824277
0.0,wave_and_heat_bound,-1.284375,0.033300005518395064,0.008096042314828413,0.0006595098800393434
