regulator,proper,coordinate,radius,lapse,rho,pr,pt,polarization,radial_enthalpy,radial_enthalpy_tail,required_radial_enthalpy
4.0,-211.61683280784916,-40.00142657373684,39.10373655195122,0.9536368244417588,5.78927468423338e-07,-1.4813598627001695e-07,-2.415982624170427e-07,8.020117013667677e-09,4.307914821533211e-07,4.072741136105088e-07,1.4218377756909012e-09
4.0,-201.4069550841561,-30.000700916193274,29.4396866267002,0.937916994551789,1.2632670718382974e-06,-1.0507828791975344e-07,-5.572459517899288e-07,1.717128328886384e-08,1.158188783918544e-06,5.641991330315596e-07,4.79845410297604e-09
4.0,-190.95208029461537,-20.002231781855663,19.777705779261506,0.9060963026381829,3.6103955684350615e-07,-1.9266263489507873e-07,8.783430752481029e-07,-3.6302125768183636e-07,1.6837692194842743e-07,-1.1377289816899343e-06,4.510942257856501e-07
4.0,-190.41708670184593,-19.501122322738958,19.293455318437434,0.9036336826380195,-1.444687833013813e-07,-2.853805194361683e-07,1.432202997229708e-06,-4.7429603311359714e-07,-4.298493027375496e-07,-1.3452403683012839e-06,6.177833214889543e-07
4.0,-189.88209310907652,-19.001365924359078,18.810511380255846,0.9010512640468726,-8.356550155618322e-07,-4.200356681388198e-07,2.188131506972066e-06,-5.99723790499743e-07,-1.255690683700652e-06,-1.5659274607979779e-06,8.48655674971216e-07
4.0,-189.34209957618776,-18.49836532063198,18.3244311145534,0.8983164466271789,-1.7864035025013424e-06,-6.160900589541992e-07,3.2295076940160533e-06,-7.191675575300832e-07,-2.4024935614555416e-06,-1.8009005499754363e-06,1.1727996407351623e-06
4.0,-188.80710598341835,-18.001487603478036,17.84426620060078,0.8954733785049565,-3.0593074585068995e-06,-8.945051440604319e-07,4.629550368999668e-06,-7.748424010369737e-07,-3.953812602567332e-06,-2.04417731750478e-06,1.6207930061579924e-06
4.0,-188.26711245052957,-17.501494517547055,17.361088669486207,0.8924629367845212,-4.7681080664771315e-06,-1.2953248254374322e-06,6.521913088164854e-06,-6.371150722664392e-07,-6.063432891914564e-06,-2.2974732954623036e-06,2.253937438532556e-06
4.0,-187.7221189775215,-16.998471864908005,16.87498073044399,0.8892762732723036,-6.992660602744656e-06,-1.8715593309268193e-06,9.012730193858431e-06,-7.074939623976465e-09,-8.864219933671476e-06,-2.556709482868303e-06,3.1553397038658297e-06
4.0,-187.18212544463273,-16.501680501038674,16.394890907152277,0.885969026704419,-9.63325350483191e-06,-2.6809357889334886e-06,1.2029528859421967e-05,1.7224310063295833e-06,-1.23141892937654e-05,-2.809936437061917e-06,4.4215185262082655e-06
4.0,-186.63713197162463,-16.00193296471108,15.911939255240842,0.8824805095720936,-1.2251033754172588e-05,-3.8332454785563685e-06,1.5177912881626717e-05,5.879804748007562e-06,-1.6084279232728957e-05,-3.0488958709687852e-06,6.244855295426842e-06
4.0,-186.08713855849717,-15.49925701436102,15.426150436728747,0.8788127138440077,-1.3057241983346793e-05,-5.466423876846144e-06,1.6701241069307625e-05,1.519370967676181e-05,-1.8523665860192937e-05,-3.2475360498925225e-06,8.898274819684315e-06
4.0,-185.53714514536972,-14.99818027853214,14.941896870855441,0.8750120477097993,-6.572840535025016e-06,-7.709041416058043e-06,1.107647109629314e-05,3.4764578149598855e-05,-1.4281881951083058e-05,-3.34847128391339e-06,1.2760143444691263e-05
4.0,-184.9871517322423,-14.498566377752178,14.459042350405397,0.8711074640889837,2.2586006654214398e-05,-1.0427230796258143e-05,-1.73766683411492e-05,7.319009334642721e-05,1.2158775857956255e-05,-3.2286019547687006e-06,1.8412750489124292e-05
4.0,-184.43715831911484,-14.000171914002415,13.977345412171832,0.8671492880215939,0.00011606828553528478,-1.134175714396817e-05,-0.00011144692786101125,0.00014037372537000582,0.00010472652839131661,-2.620303983693498e-06,2.6683142248929997e-05
4.0,-183.88216496586807,-13.498075439842411,13.492040257278862,0.8631849413987891,0.0003880595172041347,3.96252864049832e-06,-0.00038917663526017744,0.00023483340962753436,0.00039202204584463306,-1.078020555184549e-06,3.894148999544413e-05
4.0,-183.33217155274062,-13.000690095323662,13.01123804019312,0.85941443664949,0.0011234610253892019,9.704205114768157e-05,-0.0011467635288154423,0.0003527375024652034,0.0012205030765368836,8.698660250238927e-07,5.8907878654245984e-05
4.0,-182.77717819949385,-12.49789991673031,12.525065388130194,0.8559393983681904,0.0026308023814909263,0.0005550019358597048,-0.0027199534156294573,0.0010736977776402104,0.003185804317350631,-3.409509729711356e-06,0.00010629265055361051
4.0,-182.23218472648574,-12.000959185472498,12.044250721635365,0.8529758376737644,0.0007367508691469697,0.003261999457717518,-0.0009396098340357758,0.005431689582957942,0.0039987503268644874,-2.095879439947061e-05,0.00020403914195476895
