regulator,required_opening_balance,geometric_integral,signed_quantum_balance,maximum_quantum_opening_balance,fraction_of_required_balance,required_weight_amplification_at_frozen_quantum_source
4.0,2.1765897951219015,2.1765897951352584,-1.734773504059633e-05,1.0909438029132756e-05,5.012169979654694e-06,199514.38280409106
8.0,2.1765897951219015,2.1765897951352584,-2.2028699301001478e-05,9.633620580767122e-06,4.426015688559076e-06,225936.84034716056
