s,model,x,required_negative_null,worst_direction,auxiliary_rho
0.0,wave_and_heat_bound,-2.0992187500000004,0.03462323837571044,-1.0,0.0016393794245590449
0.0,wave_and_heat_bound,-2.09765625,0.033732710523205166,-1.0,0.0016099329721281164
0.0,wave_and_heat_bound,-2.09609375,0.032852308676579615,-1.0,0.0015812541068605348
0.0,wave_and_heat_bound,-2.09453125,0.031981963314041975,-1.0,0.0015530230601970608
0.0,wave_and_heat_bound,-2.09296875,0.031121604702232502,-1.0,0.0015251327364629906
0.0,wave_and_heat_bound,-2.0914062500000004,0.030271162910401852,-1.0,0.0014975494535436075
0.0,wave_and_heat_bound,-2.08984375,0.0294305678243972,-1.0,0.001470254042407045
0.0,wave_and_heat_bound,-2.08828125,0.028599749160465572,-1.0,0.0014432387596663384
0.0,wave_and_heat_bound,-2.08671875,0.027819013454835208,-1.0,0.0014157786337384154
0.0,wave_and_heat_bound,-2.08515625,0.02708744164914739,-1.0,0.0013878986607700654
0.0,wave_and_heat_bound,-2.0835937500000004,0.026364310973064443,-1.0,0.0013603273333133684
0.0,wave_and_heat_bound,-2.08203125,0.02564955989189413,-1.0,0.0013330595309039126
0.0,wave_and_heat_bound,-2.08046875,0.02494312676853772,-1.0,0.0013060952304313298
0.0,wave_and_heat_bound,-2.07890625,0.024244949874665023,-1.0,0.0012794289717488814
0.0,wave_and_heat_bound,-2.07734375,0.02355496740172843,-1.0,0.001253061266452481
0.0,wave_and_heat_bound,-2.0757812500000004,0.022873117471813063,-1.0,0.0012269860486351387
0.0,wave_and_heat_bound,-2.07421875,0.022235040283096186,-1.0,0.0012008467171697825
0.0,wave_and_heat_bound,-2.07265625,0.021639916370251738,-1.0,0.001174656323910524
0.0,wave_and_heat_bound,-2.07109375,0.021051736444789308,-1.0,0.001148776170326998
0.0,wave_and_heat_bound,-2.06953125,0.020470447266961553,-1.0,0.0011231986181207876
0.0,wave_and_heat_bound,-2.0679687500000004,0.019895995551027456,-1.0,0.001097926891346606
0.0,wave_and_heat_bound,-2.06640625,0.01932832797456635,-1.0,0.0010729510756477077
0.0,wave_and_heat_bound,-2.06484375,0.018767391187645987,-1.0,0.001048276656103009
0.0,wave_and_heat_bound,-2.06328125,0.018213131821837095,-1.0,0.0010238915539821205
0.0,wave_and_heat_bound,-2.06171875,0.017758313211668965,-1.0,0.0010240526330054106
0.0,wave_and_heat_bound,-2.0601562500000004,0.017400807053707005,-1.0,0.001048211515431512
0.0,wave_and_heat_bound,-2.05859375,0.01704707224883527,-1.0,0.0010719429876167852
0.0,wave_and_heat_bound,-2.05703125,0.016697080163050586,-1.0,0.001095251765094044
0.0,wave_and_heat_bound,-2.05546875,0.01635080214896904,-1.0,0.0011181419379097828
0.0,wave_and_heat_bound,-2.05390625,0.016008209550562372,-1.0,0.0011406173587589668
0.0,wave_and_heat_bound,-2.0523437500000004,0.01566927370781519,-1.0,0.0011626817786991497
0.0,wave_and_heat_bound,-2.05078125,0.015333965961301611,-1.0,0.0011843389044814256
0.0,wave_and_heat_bound,-2.04921875,0.015065604970230921,-1.0,0.0012522399400494812
0.0,wave_and_heat_bound,-2.04765625,0.014862740173576907,-1.0,0.001365310946617246
0.0,wave_and_heat_bound,-2.04609375,0.014661536425002111,-1.0,0.0014765613687036862
0.0,wave_and_heat_bound,-2.0445312500000004,0.01446198279593221,-1.0,0.0015860084343293506
0.0,wave_and_heat_bound,-2.04296875,0.014264068332544538,-1.0,0.0016936692204065642
0.0,wave_and_heat_bound,-2.04140625,0.014067782057896962,-1.0,0.0017995607346507425
0.0,wave_and_heat_bound,-2.03984375,0.013873112974022645,-1.0,0.0019036999334049638
0.0,wave_and_heat_bound,-2.03828125,0.013680050063993053,-1.0,0.0020061037185365553
0.0,wave_and_heat_bound,-2.0367187500000004,0.013496731465302012,-1.0,0.0021010679485733916
0.0,wave_and_heat_bound,-2.03515625,0.013322997351843379,-1.0,0.0021887444803861977
0.0,wave_and_heat_bound,-2.03359375,0.01315063949117984,-1.0,0.0022749154135670723
0.0,wave_and_heat_bound,-2.03203125,0.012979648717458696,-1.0,0.002359595763277769
0.0,wave_and_heat_bound,-2.03046875,0.012810015850015032,-1.0,0.0024428004087201
0.0,wave_and_heat_bound,-2.0289062500000004,0.012641731695024411,-1.0,0.0025245441590616593
0.0,wave_and_heat_bound,-2.02734375,0.012474787047128372,-1.0,0.002604841779196919
0.0,wave_and_heat_bound,-2.02578125,0.012309172691034398,-1.0,0.0026837079989931877
0.0,wave_and_heat_bound,-2.02421875,0.012185088072684893,-1.0,0.002731572409459502
0.0,wave_and_heat_bound,-2.02265625,0.012101612395558563,-1.0,0.0027491596213940687
0.0,wave_and_heat_bound,-2.0210937500000004,0.012018234051567125,-1.0,0.002766305475069834
0.0,wave_and_heat_bound,-2.01953125,0.011934955944442145,-1.0,0.002783016316389315
0.0,wave_and_heat_bound,-2.01796875,0.011851780928949706,-1.0,0.002799297775022593
0.0,wave_and_heat_bound,-2.01640625,0.011768711811151274,-1.0,0.0028151552116393082
0.0,wave_and_heat_bound,-2.01484375,0.0116857513486707,-1.0,0.002830593868049494
0.0,wave_and_heat_bound,-2.0132812500000004,0.011604259291496636,1.0,0.002845618922134367
0.0,wave_and_heat_bound,-2.01171875,0.011531931482602282,1.0,0.002847479113287584
0.0,wave_and_heat_bound,-2.01015625,0.011461391565819497,1.0,0.0028364852154445386
