portal,coordinate,step,relative_residual
0.14,-1.5,0.008,2.0680898980627666e-07
0.14,-2.8,0.008,4.6856160649500825e-08
0.14,-4.0,0.008,2.755986376144194e-08
0.14,-5.5,0.008,8.475900143160385e-08
1.4,-1.5,0.008,2.0110018975125318e-07
1.4,-2.8,0.008,4.503999371276737e-08
1.4,-4.0,0.008,3.433600423615812e-08
1.4,-5.5,0.008,1.1286613639441761e-07
14.0,-1.5,0.008,1.9808180119637642e-07
14.0,-2.8,0.008,4.723378191197368e-08
14.0,-4.0,0.008,4.1391531180900724e-08
14.0,-5.5,0.008,1.3935753136193283e-07
