beta,tension_factor_B,yukawa,gauge_coupling,pair_flavors,dirac_species,proper_stretch,proper_fermi_over_bulk_mass,opposite_branch_open_pair_fraction,two_bulk_equal_mass_channel_kinematically_closed,unit_coefficient_collective_yukawa_loop,unit_coefficient_collective_quartic_over_tree,homogeneous_MS_fermion_CW_log_coefficient_over_tree,unit_coefficient_charge_weighted_gauge_loop,mean_field_local_gauge_and_scalar_source_zero,quantum_corrected_potential_control_established,transition_rate_or_material_lifetime_computed,all_unit_coefficient_loop_diagnostics_below_point3
0.1,0.6390095367773007,0.3,0.3,1,2,1.120197176521042,10.568243519826282,0.9488242341648486,False,0.0011398633159762999,0.011398633159762998,0.09118906527810398,0.0005699316579881499,True,False,False,True
0.1,0.6390095367773007,0.3,0.3,2,4,1.120197176521042,7.472876658099953,0.9100606988499823,False,0.0022797266319525998,0.022797266319525996,0.18237813055620797,0.0011398633159762999,True,False,False,True
0.1,0.6390095367773007,0.3,0.3,4,8,1.120197176521042,5.284121759913141,0.8449458587405343,False,0.0045594532639051995,0.04559453263905199,0.36475626111241594,0.0022797266319525998,True,False,False,True
0.1,0.6390095367773007,0.3,0.3,8,16,1.120197176521042,3.7364383290499763,0.7395406395622083,False,0.009118906527810399,0.09118906527810398,0.7295125222248319,0.0045594532639051995,True,False,False,True
0.1,0.6390095367773007,0.3,0.3,16,32,1.120197176521042,2.6420608799565706,0.5783791232866959,False,0.018237813055620798,0.18237813055620797,1.4590250444496637,0.009118906527810399,True,False,False,True
0.1,0.6390095367773007,0.3,0.3,32,64,1.120197176521042,1.8682191645249882,0.35535393489795086,False,0.036475626111241596,0.36475626111241594,2.9180500888993275,0.018237813055620798,True,False,False,False
0.1,0.6390095367773007,0.3,0.3,64,128,1.120197176521042,1.3210304399782853,0.1078992464450193,False,0.07295125222248319,0.7295125222248319,5.836100177798655,0.036475626111241596,True,False,False,False
0.1,0.6390095367773007,0.3,0.3,70,140,1.120197176521042,1.2631467005309185,0.08042897210299876,False,0.079790432118341,0.7979043211834099,6.383234569467279,0.0398952160591705,True,False,False,False
0.1,0.6390095367773007,0.3,0.3,128,256,1.120197176521042,0.9341095822624941,0.0,True,0.14590250444496639,1.4590250444496637,11.67220035559731,0.07295125222248319,True,False,False,False
0.1,0.6390095367773007,0.3,0.3,256,512,1.120197176521042,0.6605152199891426,0.0,True,0.29180500888993277,2.9180500888993275,23.34440071119462,0.14590250444496639,True,False,False,False
0.1,0.6390095367773007,0.3,0.5,1,2,1.120197176521042,10.568243519826282,0.9488242341648486,False,0.0011398633159762999,0.00410350793751468,0.03282806350011744,0.0015831434944115277,True,False,False,True
0.1,0.6390095367773007,0.3,0.5,2,4,1.120197176521042,7.472876658099953,0.9100606988499823,False,0.0022797266319525998,0.00820701587502936,0.06565612700023488,0.0031662869888230555,True,False,False,True
0.1,0.6390095367773007,0.3,0.5,4,8,1.120197176521042,5.284121759913141,0.8449458587405343,False,0.0045594532639051995,0.01641403175005872,0.13131225400046975,0.006332573977646111,True,False,False,True
0.1,0.6390095367773007,0.3,0.5,8,16,1.120197176521042,3.7364383290499763,0.7395406395622083,False,0.009118906527810399,0.03282806350011744,0.2626245080009395,0.012665147955292222,True,False,False,True
0.1,0.6390095367773007,0.3,0.5,16,32,1.120197176521042,2.6420608799565706,0.5783791232866959,False,0.018237813055620798,0.06565612700023488,0.525249016001879,0.025330295910584444,True,False,False,True
0.1,0.6390095367773007,0.3,0.5,32,64,1.120197176521042,1.8682191645249882,0.35535393489795086,False,0.036475626111241596,0.13131225400046975,1.050498032003758,0.05066059182116889,True,False,False,True
0.1,0.6390095367773007,0.3,0.5,64,128,1.120197176521042,1.3210304399782853,0.1078992464450193,False,0.07295125222248319,0.2626245080009395,2.100996064007516,0.10132118364233778,True,False,False,True
0.1,0.6390095367773007,0.3,0.5,70,140,1.120197176521042,1.2631467005309185,0.08042897210299876,False,0.079790432118341,0.28724555562602755,2.2979644450082204,0.11082004460880694,True,False,False,True
0.1,0.6390095367773007,0.3,0.5,128,256,1.120197176521042,0.9341095822624941,0.0,True,0.14590250444496639,0.525249016001879,4.201992128015032,0.20264236728467555,True,False,False,False
0.1,0.6390095367773007,0.3,0.5,256,512,1.120197176521042,0.6605152199891426,0.0,True,0.29180500888993277,1.050498032003758,8.403984256030064,0.4052847345693511,True,False,False,False
0.1,0.6390095367773007,0.3,1.0,1,2,1.120197176521042,10.568243519826282,0.9488242341648486,False,0.0011398633159762999,0.00102587698437867,0.00820701587502936,0.006332573977646111,True,False,False,True
0.1,0.6390095367773007,0.3,1.0,2,4,1.120197176521042,7.472876658099953,0.9100606988499823,False,0.0022797266319525998,0.00205175396875734,0.01641403175005872,0.012665147955292222,True,False,False,True
0.1,0.6390095367773007,0.3,1.0,4,8,1.120197176521042,5.284121759913141,0.8449458587405343,False,0.0045594532639051995,0.00410350793751468,0.03282806350011744,0.025330295910584444,True,False,False,True
0.1,0.6390095367773007,0.3,1.0,8,16,1.120197176521042,3.7364383290499763,0.7395406395622083,False,0.009118906527810399,0.00820701587502936,0.06565612700023488,0.05066059182116889,True,False,False,True
0.1,0.6390095367773007,0.3,1.0,16,32,1.120197176521042,2.6420608799565706,0.5783791232866959,False,0.018237813055620798,0.01641403175005872,0.13131225400046975,0.10132118364233778,True,False,False,True
0.1,0.6390095367773007,0.3,1.0,32,64,1.120197176521042,1.8682191645249882,0.35535393489795086,False,0.036475626111241596,0.03282806350011744,0.2626245080009395,0.20264236728467555,True,False,False,True
0.1,0.6390095367773007,0.3,1.0,64,128,1.120197176521042,1.3210304399782853,0.1078992464450193,False,0.07295125222248319,0.06565612700023488,0.525249016001879,0.4052847345693511,True,False,False,False
0.1,0.6390095367773007,0.3,1.0,70,140,1.120197176521042,1.2631467005309185,0.08042897210299876,False,0.079790432118341,0.07181138890650689,0.5744911112520551,0.44328017843522777,True,False,False,False
0.1,0.6390095367773007,0.3,1.0,128,256,1.120197176521042,0.9341095822624941,0.0,True,0.14590250444496639,0.13131225400046975,1.050498032003758,0.8105694691387022,True,False,False,False
0.1,0.6390095367773007,0.3,1.0,256,512,1.120197176521042,0.6605152199891426,0.0,True,0.29180500888993277,0.2626245080009395,2.100996064007516,1.6211389382774044,True,False,False,False
0.1,0.6390095367773007,0.5,0.3,1,2,1.120197176521042,6.340946111895769,0.8832545027921065,False,0.0031662869888230555,0.08795241635619598,0.7036193308495678,0.0005699316579881499,True,False,False,True
0.1,0.6390095367773007,0.5,0.3,2,4,1.120197176521042,4.483725994859971,0.8009874236961155,False,0.006332573977646111,0.17590483271239196,1.4072386616991357,0.0011398633159762999,True,False,False,True
0.1,0.6390095367773007,0.5,0.3,4,8,1.120197176521042,3.1704730559478844,0.6709316836160363,False,0.012665147955292222,0.3518096654247839,2.8144773233982714,0.0022797266319525998,True,False,False,False
0.1,0.6390095367773007,0.5,0.3,8,16,1.120197176521042,2.2418629974299855,0.47977703967968294,False,0.025330295910584444,0.7036193308495678,5.628954646796543,0.0045594532639051995,True,False,False,False
0.1,0.6390095367773007,0.5,0.3,16,32,1.120197176521042,1.5852365279739422,0.23538142425458652,False,0.05066059182116889,1.4072386616991357,11.257909293593086,0.009118906527810399,True,False,False,False
0.1,0.6390095367773007,0.5,0.3,32,64,1.120197176521042,1.1209314987149928,0.022417538299614487,False,0.10132118364233778,2.8144773233982714,22.51581858718617,0.018237813055620798,True,False,False,False
0.1,0.6390095367773007,0.5,0.3,64,128,1.120197176521042,0.7926182639869711,0.0,True,0.20264236728467555,5.628954646796543,45.03163717437234,0.036475626111241596,True,False,False,False
