s,receiver_heat,receiver_archived_heat,receiver_heat_rate,receiver_prescribed_heat_rate,receiver_relative_flux,receiver_material_velocity,receiver_added_force_per_reference,minimum_heat_fraction,maximum_flux_fraction,maximum_force_fraction,thermal_inventory_difference,inverse_step,maximum_decay,heat_input,acceleration_work,entropy_supply,entropy_production,holding_work,holding_positive_work,holding_negative_work,geometric_work,maximum_added_force_per_reference
0.0,2.9144760200130957,2.9144760200130957,-0.7391238600107767,-0.7577525814164345,0.0,-1.6809229994191197e-05,-0.01025262524311257,0.37548638132295586,0.37548638132295586,0.5642023346303482,0.0,344.8561647026116,32.1710647792098,-1.4865729551767666,-0.0,-0.5014155216996559,0.0,-6.489334809698303e-18,8.393959706659947e-18,-1.4883294516358256e-17,0.0,0.03989125262971295
0.008175636702943396,2.9094301708751473,2.9092037214752597,-0.510184708491695,-0.5319932561013687,-0.004955212753617199,-0.022295586742188362,-0.008811460240035015,0.37548638132295586,0.5651750972762626,0.5671206225680914,-0.0007406950662521901,347.5412773086186,31.954201045106437,-1.0811498606025474,0.0015336063836893182,-0.37328999522987977,0.006924085613093129,18.57327833841435,19.216666421569325,-0.6433880831549782,0.18030956298384437,0.03188327403727439
0.016351273405886792,2.906099575659976,2.9057782778077694,-0.30285387253364343,-0.3059106962412428,-0.009227390582279796,-0.04464104350995077,-0.007614900364110146,0.37548638132295586,0.5671206225680914,0.5700389105058346,-0.0027192300688661402,349.69227980116733,31.717852061164212,-0.6799476502349993,0.0031080660378360048,-0.24573272814734673,0.022401904597897555,30.715744478207775,31.132830998002387,-0.41708651979460926,0.658991424586731,0.025899805348329565
0.024526910108830187,2.9044925868999836,2.9042030632727887,-0.08972485885101537,-0.079298538857731,-0.012923673097661315,-0.0670045154924566,-0.00662747027509269,0.37548638132295586,0.5680933852140058,0.5573929961089474,-0.0056401743267003165,351.6022035554475,31.46234489505222,-0.28215708458454086,0.004950507923761659,-0.11877373224669674,0.04107167050080172,38.181580991048435,38.29187104600483,-0.11029005495638386,1.3939834524181274,0.021290205149898437
0.032702546811773585,2.904654392759771,2.9044835451356246,0.12905915315808,0.1480443483331407,-0.016132591812318804,-0.08933799555248342,-0.005809764183324812,0.37548638132295586,0.5583657587548618,0.5603112840466906,-0.009273876050738549,353.04845997534096,31.187980647488995,0.11300863624335034,0.0072501087476263566,0.007577097132979215,0.05989829915706161,42.330468404335434,42.380736454006545,-0.05026804967111553,2.3490175650303344,0.016914128764782797
0.04087818351471698,2.9064978420775325,2.9066263239693035,0.31668252640121136,0.3762778511002025,-0.018951002688937138,-0.11159338697669949,-0.005233384895532004,0.37548638132295586,0.5603112840466906,0.5622568093385194,-0.013442814673715053,354.20053488482984,30.895042639676184,0.5062819794073028,0.010056194732567171,0.133307724872705,0.07716359957108362,44.10003096583674,44.10411106716517,-0.004080101328436757,3.492811992206833,0.013686329536344218
0.049053820217660374,2.910073977549535,2.9106390000308084,0.5908239921669444,0.605531324668777,-0.02143846454545881,-0.13372382103356825,-0.004541457557869641,0.37548638132295586,0.561284046692605,0.5350194552529164,-0.018000023770057966,355.0088998576218,30.583796020638015,0.8983459854056146,0.013475008435131913,0.25840248764479223,0.09204728304968879,43.65390077541592,43.65584441711362,-0.0019436416977095302,4.795830228152844,0.010091377733524004
0.05722945692060377,2.916544949516429,2.916530396271978,0.9922670252597601,0.8359053721288268,-0.02344868010826754,-0.15568539457104913,-0.0036183110677915115,0.37548638132295586,0.5622568093385194,0.5330739299610876,-0.02281678754085341,355.64196057195807,30.254485872542638,1.2898233879305117,0.017555116662746763,0.38283656159280455,0.10429895290869524,41.56886191573142,41.56886191573142,0.0,6.228258794957598,0.009220678079843163
0.06540509362354717,2.9259960377724084,2.924310394896164,1.2963658997998828,1.0674722739445703,-0.025035025145179253,-0.1774354764369685,-0.0030973681479252797,0.37548638132295586,0.5593385214007762,0.5311284046692588,-0.027799116837706552,355.9049937473321,29.907336910900646,1.6812951617160825,0.022278910401745067,0.5065794054959539,0.11401340664455936,38.72615032387906,38.78799058649042,-0.061840262611362835,7.76452898280234,0.008497625158175124
0.07358073032649057,2.937513951084579,2.933988472659313,1.5180242423798476,1.3002716610380158,-0.02641186490463466,-0.19893461432900383,-0.0028973042657782925,0.37548638132295586,0.5573929961089474,0.52918287937743,-0.032876799530671824,355.83499236990787,29.542567040685526,2.073280857007857,0.027743063884007463,0.6295861469812358,0.12142533302521584,35.547202619692236,35.69549116347,-0.14828854377776787,9.38253671124956,0.00795571234863262
