s,receiver_heat,receiver_archived_heat,receiver_heat_rate,receiver_prescribed_heat_rate,receiver_relative_flux,receiver_material_velocity,receiver_added_force_per_reference,minimum_heat_fraction,maximum_flux_fraction,maximum_force_fraction,thermal_inventory_difference,inverse_step,maximum_decay,heat_input,acceleration_work,entropy_supply,entropy_production,holding_work,holding_positive_work,holding_negative_work,geometric_work,maximum_added_force_per_reference
0.0,2.9144760200130957,2.9144760200130957,-0.7577525814164345,-0.7577525814164345,0.0,-1.6809229994191197e-05,0.0,0.37548638132295586,0.37548638132295586,0.37548638132295586,0.0,0.0,321.71064779209803,-1.4865729551767666,-0.0,-0.5014155216996559,0.0,0.0,0.0,0.0,0.0,0.0
0.008175636702943396,2.909203544007653,2.9092037214752597,-0.5319932561013687,-0.5319932561013687,0.0,-0.022295586742188362,7.758151055637116e-12,0.37548638132295586,0.37548638132295586,0.3968871595330725,-3.1999276660126975e-07,0.0,319.54201045106436,-1.0811498606025474,-0.0,-0.3733046537672849,0.0,-3.4328491196514055e-08,1.0411950424256724e-07,-1.3844799543908132e-07,4.805376216303332e-05,4.6118728592866403e-10
0.016351273405886792,2.9057780676997345,2.9057782778077694,-0.3059106962412428,-0.3059106962412428,0.0,-0.04464104350995077,8.804974175566602e-12,0.37548638132295586,0.37548638132295586,0.3968871595330725,-3.7709748105861286e-07,0.0,317.1785206116421,-0.6799476502349993,-0.0,-0.24575056948372687,0.0,-6.68434537024098e-08,2.5501944010849655e-07,-3.218628938109063e-07,5.8076701193952915e-05,5.479772285560178e-10
0.024526910108830187,2.9042029660374,2.9042030632727887,-0.079298538857731,-0.079298538857731,0.0,-0.0670045154924566,1.7137288119278957e-12,0.37548638132295586,0.37548638132295586,0.3968871595330725,-1.7816611823502198e-07,0.0,314.6234489505222,-0.28215708458454086,-0.0,-0.11873265368452217,0.0,-3.140242013123952e-08,1.9089426638215448e-07,-2.2229668651339397e-07,2.818105121955752e-05,2.605706603140717e-10
0.032702546811773585,2.9044834296224145,2.9044835451356246,0.1480443483331407,0.1480443483331407,0.0,-0.08933799555248342,-3.740980349768006e-12,0.37548638132295586,0.37548638132295586,0.3968871595330725,-2.109404044950166e-07,0.0,311.87980647488996,0.11300863624335034,-0.0,0.007777242265100594,0.0,-1.1721437472879588e-08,3.2595772482963737e-07,-3.3767916230251694e-07,3.410547313718286e-05,3.0486217406215507e-10
0.04087818351471698,2.906626109837254,2.9066263239693035,0.3762778511002025,0.3762778511002025,0.0,-0.11159338697669949,-2.2332230059483062e-11,0.37548638132295586,0.37548638132295586,0.3968871595330725,-3.8091579927865516e-07,0.0,308.9504263967618,0.5062819794073028,-0.0,0.1337932142395481,0.0,7.779280171679781e-08,8.051168955060062e-07,-7.273240937892083e-07,6.263400907237749e-05,5.371336304011027e-10
0.049053820217660374,2.9106388337312845,2.9106390000308084,0.605531324668777,0.605531324668777,0.0,-0.13372382103356825,-3.3460354180454676e-11,0.37548638132295586,0.37548638132295586,0.3968871595330725,-2.980149010741559e-07,0.0,305.83796020638016,0.8983459854056146,-0.0,0.2593145028941759,0.0,1.905093444187079e-07,8.300463260372145e-07,-6.395369816185066e-07,4.997939389104486e-05,4.085770758222514e-10
0.05722945692060377,2.916530374042966,2.916530396271978,0.8359053721288268,0.8359053721288268,0.0,-0.15568539457104913,-7.181870087618514e-12,0.37548638132295586,0.37548638132295586,0.4036964980544733,-5.382074726462115e-08,0.0,302.54485872542637,1.2898233879305117,-0.0,0.38432153021400883,0.0,7.384552820382046e-08,1.922882979306916e-07,-1.1844276972687114e-07,9.569144422591675e-06,7.269105070975407e-11
0.06540509362354717,2.9243102061370907,2.924310394896164,1.0674722739445703,1.0674722739445703,0.0,-0.1774354764369685,-8.83023885410794e-11,0.37548638132295586,0.37548638132295586,0.538910505836574,-3.3573195942563137e-07,0.0,299.0733691090065,1.6812951617160825,-0.0,0.508780999698026,0.0,7.184345796991768e-07,1.521139484258145e-06,-8.02704904558968e-07,5.809578684189632e-05,4.936482231684582e-10
0.07358073032649057,2.9339882655661027,2.933988472659313,1.3002716610380158,1.3002716610380158,0.0,-0.19893461432900383,-1.3240482506760986e-10,0.37548638132295586,0.37548638132295586,0.538910505836574,-3.663077548392297e-07,0.0,295.42567040685526,2.073280857007857,-0.0,0.6326390801636689,0.0,1.1901258403353304e-06,2.0632490552725046e-06,-8.731232149371743e-07,6.41995197533099e-05,5.973808065545727e-10
0.08175636702943397,2.945574051932864,2.94557412818471,1.5333400939406439,1.5333400939406436,0.0,-0.2201467571129599,-6.364972933635824e-11,0.37548638132295586,0.37548638132295586,0.5408560311284027,-1.4644877160079132e-07,0.0,291.60377286168074,2.4646684768564424,-0.0,0.7553052596170827,0.0,6.856397667679132e-07,1.0161464177060789e-06,-3.305066509381656e-07,2.6366297250944875e-05,2.675401998407349e-10
0.08993200373237736,2.9589923402728395,2.9589924766038265,1.7437923364228682,1.7437923364228682,0.0,-0.24104541649612776,-1.4203687617895263e-10,0.37548638132295586,0.37548638132295586,0.538910505836574,-2.4711386522712356e-07,0.0,287.6095397983529,2.8189623629310505,-0.0,0.8646337153302628,0.0,1.529303038649082e-06,2.0545018429950597e-06,-5.251988043459776e-07,4.4492111835705566e-05,4.942157025253406e-10
0.09810764043532075,2.9739994107419587,2.9739996110876907,1.9220037891332615,1.9220037891332615,0.0,-0.26162434001313717,-2.50825446708791e-10,0.37548638132295586,0.37548638132295586,0.5379377431906596,-3.55633762580083e-07,0.0,283.44484763593664,3.120839482472881,-0.0,0.9556733859411471,0.0,2.842552960005174e-06,3.519287042936522e-06,-6.767340829313482e-07,6.453407444842902e-05,7.847334533765425e-10
