s,minimum_heat,minimum_reference_heat,receiver_heat,maximum_relative_heat_flux,maximum_material_frame_signal_speed,maximum_flux_enthalpy_ratio,maximum_relative_added_normal_density,thermal_inventory,tilted_heat_inventory,tilted_heat_balance,entropy_inventory,entropy_excess,canonical_energy_change,canonical_balance_residual,heat_input_integral,acceleration_work_integral,entropy_supply_integral,entropy_production_integral,holding_work_integral,holding_positive_work_integral,holding_negative_work_integral,geometric_work_integral
0.0,2.0063922578775166,2.0063922578775166,2.9144760200130957,0.0,0.0,0.0,0.0,6.873301931230859,6.873301931230859,0.0,2.3394892914400987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008175636702943396,2.0016311113594405,2.001631138573653,2.9092035438267616,0.0,0.0,0.0,4.307487398562444e-09,6.862808560597616,6.862808560597616,5.863365348801608e-16,2.3359139341138015,-9.138002854403027e-14,-1.8705847848517137e-05,-1.878479569871746e-05,-0.010493370633244101,0.0,-0.0035753573262057217,0.0,-2.9938933165675766e-11,8.746536565761313e-11,-1.174042988232889e-10,7.897778913349067e-08
0.016351273405886792,1.997823936138838,1.9978239528251893,2.9057780672938263,0.0,0.0,0.0,2.650393912883546e-09,6.855612150178832,6.855612150178832,1.3530843112619095e-16,2.333383734609894,-1.7822722464533314e-13,-1.139237997396777e-05,-1.1536694015847603e-05,-0.017689781052027478,0.0,-0.006105556830026634,0.0,-9.386257187733079e-11,7.007772453863816e-10,-7.946398172637127e-10,1.444079044517105e-07
0.024526910108830187,1.994959800895812,1.994959820847321,2.904202965435029,0.0,0.0,0.0,3.190038663173052e-09,6.851681325606964,6.851681325606964,4.2327252813834093e-16,2.3318941565754026,-2.668551143947262e-13,-1.3539130260465993e-05,-1.3779021953127675e-05,-0.021620605623895874,0.0,-0.007595134864429241,0.0,-2.0610397460660915e-10,1.3482342756492914e-09,-1.5543382502559002e-09,2.4009779663628865e-07
0.032702546811773585,1.9930305951982965,1.99303062094854,2.904483428562605,0.0,0.0,0.0,4.146484870804068e-09,6.850991459608357,6.850991459608357,1.6306400674181987e-16,2.331440942939163,-3.55651272321289e-13,-1.7360995079047115e-05,-1.769717687058264e-05,-0.022310471622502156,0.0,-0.008048348500580069,0.0,-2.811878914586075e-10,2.4168238237959157e-09,-2.6980117152545232e-09,3.3646297942698326e-07
0.04087818351471698,1.9920311595811122,1.9920311654928866,2.906626108213404,0.0,0.0,0.0,9.553564988062206e-10,6.8535241438267525,6.8535241438267525,2.1822821327788233e-15,2.332020014902226,-4.437014991531818e-13,-3.977562900706342e-06,-4.3959822314595225e-06,-0.01977778740410892,0.0,-0.0074692765374288475,0.0,-2.4927909607993975e-10,4.23370559904303e-09,-4.482984695122971e-09,4.1866860984926087e-07
0.049053820217660374,1.9919591305657653,1.9919591582479366,2.910638831814919,0.0,0.0,0.0,4.504099539306233e-09,6.859266717869528,6.859266717869528,1.844011054963346e-15,2.333627336952258,-5.312287068570676e-13,-1.8370617638355684e-05,-1.8885021006001042e-05,-0.014035213361332911,0.0,-0.005861954487309431,0.0,-1.2109594962650822e-11,5.648501841724338e-09,-5.660611436686988e-09,5.144154772403207e-07
0.05722945692060377,1.9928147338210107,1.9928147468404795,2.916530371424076,0.0,0.0,0.0,2.143268238404443e-09,6.868211878419493,6.868211878419493,3.465110143263672e-15,2.3362587970443633,-6.177957451170002e-13,-8.617880367583494e-06,-9.192216578333487e-06,-0.005090052811369451,0.0,-0.0032304943951175103,0.0,3.2399089983355463e-10,9.051360723562723e-09,-8.727369823729168e-09,5.740122198501588e-07
0.06540509362354717,1.9946005413569625,1.9946005640012667,2.9243102029283863,0.0,0.0,0.0,3.727994753702211e-09,6.8803572530460695,6.8803572530460695,2.4060614611798314e-15,2.3399100701883953,-7.040806197615435e-13,-1.4786836468604944e-05,-1.546691652108686e-05,0.007055321815207885,0.0,0.0004207787490006825,0.0,1.3565566156318788e-09,1.1654729182375366e-08,-1.0298172566743489e-08,6.787234958662835e-07
0.07358073032649057,1.997321208809611,1.9973212328216903,2.933988261762887,0.0,0.0,0.0,3.974536178350205e-09,6.895704946587685,6.895704946587685,2.6575963651964685e-15,2.3445764693417592,-7.883962580002013e-13,-1.5535145555822247e-05,-1.631725414776609e-05,0.022403015356823104,0.0,0.005087177902448974,0.0,2.905454604174552e-09,1.569613567464521e-08,-1.2790681070470664e-08,7.792031373396694e-07
0.08175636702943397,2.0009828490209296,2.0009828596355277,2.9455740505779224,0.0,0.0,0.0,1.8394924648400178e-09,6.914260048259984,6.914260048259984,1.609823385706477e-15,2.3502524503570696,-8.909418341973563e-13,-6.966229854949136e-06,-7.848474817888505e-06,0.040958117029123275,0.0,0.010763158917861936,0.0,5.084736514385057e-09,2.069433419771603e-08,-1.5609597683330985e-08,8.771602264249842e-07
0.08993200373237736,2.0055457967053303,2.0055458233756447,2.9589923565683045,0.0,0.0,0.0,4.5090167362961166e-09,6.935894604396948,6.935894604396948,2.400857290751901e-15,2.3568870671805007,-9.88799320200684e-13,-1.7052057353657077e-05,-1.8044993356450406e-05,0.06259267316608623,0.0,0.01739777574139082,0.0,8.339457219644757e-09,2.5277416387698444e-08,-1.6937959168053705e-08,9.845965455736835e-07
0.09810764043532075,2.0108774611954514,2.0108774723430503,2.973999448009833,0.0,0.0,0.0,1.8896010792863024e-09,6.960211389855123,6.960211389855123,2.3037127760972e-15,2.3643406198007813,-1.2010843708498697e-12,-6.976181132919548e-06,-8.034963135581927e-06,0.08690945862426194,0.0,0.024851328361883685,0.0,1.0783472655446667e-08,3.163477389268896e-08,-2.0851301237242298e-08,1.0479985300069314e-06
0.10628327713826415,2.0168350479714,2.0168350693147503,2.9903317486860588,0.0,0.0,0.0,3.781420249241462e-09,6.986782426866521,6.986782426866521,2.3175905639050143e-15,2.3724645049513384,-1.2596035325884714e-12,-1.3684071497977475e-05,-1.4848572429707726e-05,0.11348049563565911,0.0,0.03297521351249938,0.0,1.5703304988005315e-08,3.7543922288163325e-08,-2.1840617300158027e-08,1.1487976267422446e-06
0.11445891384120754,2.0232763740444355,2.023276393364904,3.00772544831994,0.0,0.0,0.0,3.4463964196313167e-09,7.015180319030383,7.015180319030383,2.6367796834847468e-15,2.3811121461696367,-1.4062917497170702e-12,-1.2238195656446613e-05,-1.3503803133553366e-05,0.14187838779952158,0.0,0.041622854730944375,0.0,2.1284252251619993e-08,4.394584358768724e-08,-2.2661591336067283e-08,1.2443232248551336e-06
0.12263455054415094,2.0300595719987897,2.0300595896730314,3.0259161747954266,0.0,0.0,0.0,3.0237281567277007e-09,7.04497757837199,7.04497757837199,2.3314683517128287e-15,2.3901392209294317,-1.518646319809136e-12,-1.068710308140371e-05,-1.2060280248305642e-05,0.17167564714112815,0.0,0.05064992949085165,0.0,2.8201026171953357e-08,5.1596976245955115e-08,-2.339595007400181e-08,1.3449761407299805e-06
0.13081018724709434,2.03704286013322,2.0370428797354174,3.0446387656632696,0.0,0.0,0.0,3.760512031546949e-09,7.075746197570049,7.075746197570049,2.3869795029440866e-15,2.3994038319798836,-1.584163356049828e-12,-1.2640651807626501e-05,-1.4124535877854729e-05,0.20244426633918727,0.0,0.05991454054136912,0.0,3.629829856457052e-08,6.032747000630034e-08,-2.402917144172988e-08,1.4475857716636574e-06
0.13898582395003772,2.044084360942194,2.0440843805971536,3.06362711215104,0.0,0.0,0.0,2.979680763267263e-09,7.107057420616767,7.107057420616767,2.4424906541753444e-15,2.408766612691332,-1.765920742968774e-12,-1.0654183746874256e-05,-1.2241340375053677e-05,0.23375548938590573,0.0,0.06927732125299912,0.0,4.451752161382409e-08,6.910586348008303e-08,-2.4588341866259048e-08,1.5426391065655978e-06
0.14716146065298114,2.051041951929726,2.0510419685423456,3.0826140381460947,0.0,0.0,0.0,3.406815420722191e-09,7.138481659667818,7.138481659667818,3.164135620181696e-15,2.4180907562871186,-1.7786883077519633e-12,-1.0781701890112318e-05,-1.2475336784078983e-05,0.2651797284369554,0.0,0.0786014648487986,0.0,5.3999836245938234e-08,7.906718667503092e-08,-2.506735042909277e-08,1.6396350577207257e-06
0.15533709735592452,2.057773152558777,2.057773170735715,3.1013312282860603,0.0,0.0,0.0,3.386101597299519e-09,7.1695885723551065,7.1695885723551065,1.3322676295501878e-15,2.427241978316019,-1.9373253001830903e-12,-1.0873261067202218e-05,-1.2675346960035673e-05,0.29628664112424596,0.0,0.08775268687785752,0.0,6.43094902013314e-08,9.007109161401246e-08,-2.5761601412681206e-08,1.7377764026321242e-06
