portal,coordinate,step,relative_residual
0.14,-1.5,0.008,2.068887719732464e-07
0.14,-2.8,0.008,4.677314893252447e-08
0.14,-4.0,0.008,2.751562884833305e-08
0.14,-5.5,0.008,8.441961097023853e-08
1.4,-1.5,0.008,2.011577048073965e-07
1.4,-2.8,0.008,4.497368656828874e-08
1.4,-4.0,0.008,3.4309291613791265e-08
1.4,-5.5,0.008,1.1257852251850531e-07
14.0,-1.5,0.008,1.981328662704389e-07
14.0,-2.8,0.008,4.717494476301257e-08
14.0,-4.0,0.008,4.136930893294164e-08
14.0,-5.5,0.008,1.3909613978292525e-07
