t,left_force,right_force,left_power_out,right_power_out
0.0,0.22457567679304566,-4.196996017569561,3.308939069959942e-12,190.8705677382766
0.020078125,0.22217961299366104,-5.2168686958586425,1.1263064084599233e-12,233.86167605525262
0.04015625,0.2197187622819926,-4.479225910187193,3.7474127717788815e-13,191.0461468654424
0.06023437499999999,0.21723054555744165,-5.026681265746499,1.2088078327958495e-13,199.0071350422624
0.0803125,0.21475956022164613,-4.367058637017078,3.7579849006569404e-14,157.88888626758703
0.100390625,0.21235533913617505,-4.692465050944826,1.0961848272738202e-14,152.2744958355342
0.12046874999999999,0.21007288029474674,-4.6857700285431525,2.9234309078824813e-15,133.67671582957158
0.140546875,0.20797555145273797,-4.788749685580985,6.027867540937103e-16,117.38307776795997
0.160625,0.20614180155422956,-4.744511056455315,2.5119262017092374e-17,97.60254621883517
0.180703125,0.20465925442469285,-4.8427797809284625,-4.7769465219094846e-17,81.73179941612194
0.20078125,0.20363747012564473,-4.811004606340048,-2.5537228220256792e-17,65.2073921987463
0.220859375,0.203205604617463,-4.857677724147778,-6.321177247982897e-17,51.828009427400055
0.24093749999999997,0.20351258421720533,-4.8898629220259,1.0944119972073906e-17,40.30157756388001
0.261015625,0.20472624341757534,-4.9245286231893965,8.69272003891854e-19,30.799627566168994
0.28109375,0.20702451248007875,-4.952755536014172,2.509096229389393e-19,23.114564188485627
0.301171875,0.21059817073622136,-5.036480128469804,1.0702388168280136e-19,17.266386006066895
0.32125,0.21565263874485485,-5.009275367526112,3.412458336505866e-20,12.43420197571339
0.341328125,0.22242486862321117,-5.084054095116419,9.605979691012888e-21,9.020532744896535
0.36140625,0.23118224724201306,-5.1211411627934265,2.7001270091639587e-21,6.423731333999529
0.381484375,0.24222036447036444,-5.283953329200693,7.696999298358605e-22,4.644344084848834
0.4015625,0.25586503040425645,-5.178045616213723,2.194772597845375e-22,3.1683017584663262
0.421640625,0.2724743251945328,-5.324176690057535,6.184110116225536e-23,2.2580763369635743
0.44171875,0.29244067877151286,-5.417933228477018,1.7250690715149716e-23,1.588941181488059
0.461796875,0.31619295891208127,-5.394817668985788,4.7560765137463014e-24,1.0928892397078935
0.48187499999999994,0.3441985555412091,-5.373711238199404,1.2892505204527366e-24,0.7518671968147069
0.5,0.37355567690723607,-5.525925062501069,3.903602783920105e-25,0.5538120658299309
