channel,scope,points,abs_burden,signed_burden,neg_burden,pos_burden,peak_abs,peak_signed,min_signed,fraction_of_global_abs,fraction_of_global_neg
rho,global,29161,49.927994018307544,49.264936661115605,0.331528678595969,49.59646533971158,0.012442905166369431,0.011992306126764052,-0.012442905166369431,1.0,1.0
rho,packet_live,2552,13.510633616408636,13.510633616408636,0.0,13.510633616408636,0.009532234818674011,0.009532234818674011,0.006220129595652282,0.2706023721172249,0.0
rho,packet_core,1818,9.680340290686383,9.680340290686383,0.0,9.680340290686383,0.009528416659156852,0.009528416659156852,0.006582225615670552,0.19388602488489334,0.0
rho,packet_edge,1277,6.696296438921342,6.696296438921342,0.0,6.696296438921342,0.009532234818674011,0.009532234818674011,0.006220129595652282,0.13411907629347078,0.0
rho,packet_edge_strip,734,3.830293325722251,3.830293325722251,0.0,3.830293325722251,0.009532234818674011,0.009532234818674011,0.006220129595652282,0.07671634723233149,0.0
rho,support_shell,10164,8.653739390578057,8.64118675798214,0.006276316297957617,8.647463074280097,0.008849725556677129,0.008849725556677129,-0.004757521395011079,0.17332439567680033,0.018931443049023538
j_l,global,29161,2.1818696358438645,0.021482567499070182,1.0801935341723972,1.1016761016714676,0.02048485387767075,0.02048485387767075,-0.020484828377532186,1.0,1.0
j_l,packet_live,2552,0.1712962920043189,0.17099027448846318,0.00015300875792785527,0.17114328324639108,0.0037789071914566363,0.0037789071914566363,-9.596473770548027e-06,0.07850894901796825,0.0001416493925276869
j_l,packet_core,1818,0.12419111303148914,0.12419111303148914,0.0,0.12419111303148914,0.003172684169368974,0.003172684169368974,2.846554577083403e-06,0.05691958446612541,0.0
j_l,packet_edge,1277,0.0837201457911612,0.08341412827530549,0.00015300875792785527,0.08356713703323336,0.0037789071914566363,0.0037789071914566363,-9.596473770548027e-06,0.0383708285847158,0.0001416493925276869
j_l,packet_edge_strip,734,0.04710517897282979,0.04679916145697408,0.00015300875792785527,0.046952170214901945,0.0037789071914566363,0.0037789071914566363,-9.596473770548027e-06,0.02158936455184285,0.0001416493925276869
j_l,support_shell,10164,1.1592715081428384,9.400522885990529e-05,0.5795887514569893,0.5796827566858491,0.02048485387767075,0.02048485387767075,-0.020484828377532186,0.5313202443896132,0.5365601006870014
delta_rho,global,29161,4.639561466398917e-05,-4.4981887765831193e-05,4.568875121491018e-05,7.068634490789921e-07,2.0127391563238423e-07,1.3571513941303126e-08,-2.0127391563238423e-07,1.0,1.0
delta_rho,packet_live,2552,3.996101090280625e-05,-3.858867451154964e-05,3.927484270717794e-05,6.861681956283045e-07,2.0127391563238423e-07,4.869073786523126e-09,-2.0127391563238423e-07,0.861310087003174,0.8596173382467256
delta_rho,packet_core,1818,2.7808844246670384e-05,-2.662972574430973e-05,2.7219284995490062e-05,5.895592511803279e-07,2.0125961071922743e-07,4.521127102904976e-09,-2.0125961071922743e-07,0.5993851886233278,0.5957546282553516
delta_rho,packet_edge,1277,2.0527068687955e-05,-1.991695665350794e-05,2.0222012670731466e-05,3.050560172235311e-07,2.0127391563238423e-07,4.869073786523126e-09,-2.0127391563238423e-07,0.4424355369924104,0.4426037510986328
delta_rho,packet_edge_strip,734,1.2152166656135859e-05,-1.1958948767239906e-05,1.2055557711687883e-05,9.660894444797652e-08,2.0127391563238423e-07,4.869073786523126e-09,-2.0127391563238423e-07,0.26192489837984606,0.263862709991374
delta_rho,support_shell,10164,3.327516753530773e-06,-3.2933595531631735e-06,3.3104381533469734e-06,1.7078600183799736e-08,2.0119936862839777e-07,1.3571513941303126e-08,-2.0119936862839777e-07,0.07172050155234795,0.07245630631871235
delta_j_l,global,29161,0.021482567499272978,0.02148256749907017,1.0140504355123554e-13,0.021482567499171577,2.580641304625458e-05,2.580641304625458e-05,-4.2839429920116245e-14,1.0,1.0
delta_j_l,packet_live,2552,0.020162862167078126,0.020162862167078126,0.0,0.020162862167078126,2.580641304625458e-05,2.580641304625458e-05,8.110401575412221e-07,0.9385685471608776,0.0
delta_j_l,packet_core,1818,0.015321705851892688,0.015321705851892688,0.0,0.015321705851892688,2.580641304625458e-05,2.580641304625458e-05,1.16470128467671e-06,0.7132157668030701,0.0
delta_j_l,packet_edge,1277,0.009326057829199432,0.009326057829199432,0.0,0.009326057829199432,2.517915405837148e-05,2.517915405837148e-05,8.110401575412221e-07,0.4341221238809117,0.0
delta_j_l,packet_edge_strip,734,0.0048411563151854395,0.0048411563151854395,0.0,0.0048411563151854395,2.367414746343892e-05,2.367414746343892e-05,8.110401575412221e-07,0.2253527803578076,0.0
delta_j_l,support_shell,10164,9.40052289300682e-05,9.400522885969993e-05,3.5184139154008735e-14,9.400522889488406e-05,8.877660853573704e-06,8.877660853573704e-06,-1.3253287356462806e-14,0.004375884257468273,0.34696636303135875
