channel,stage,region,points,abs_burden,signed_burden,neg_burden,pos_burden,peak_abs,peak_signed,min_signed,fraction_of_global_abs
j_l,reset_decompression,outer_quarantine_shell,840,0.0254413892960551,6.141582468283113e-14,0.012720694647996841,0.012720694648058258,0.012982285162375406,0.012982285162375406,-0.012982285158184014,0.011660361773271267
j_l,catch_rematch,packet_in_support,1259,0.02541802834493678,0.02511201082908107,0.00015300875792785527,0.025265019587008927,0.0001051056747621011,0.0001051056747621011,-9.596473770548027e-06,0.011649654923176034
j_l,catch_rematch,outer_quarantine_shell,2520,0.016809332683806424,3.946495907847236e-17,0.008404666341903193,0.008404666341903233,0.0027530353814699928,0.0027530353814699928,-0.002753035381469939,0.007704095793654148
j_l,reset_decompression,packet_outer,78,0.009772725108527645,0.009772725108527645,0.0,0.009772725108527645,0.019203820606127537,0.019203820606127537,0.014141155496614663,0.004479060044642825
rho,catch_rematch,core_throat,2815,19.67811067910847,19.67811067910847,0.0,19.67811067910847,0.009530047859995608,0.009530047859995608,0.0070321492838744904,0.39412980765646066
rho,catch_rematch,packet_in_support,1259,10.394083703236294,10.394083703236294,0.0,10.394083703236294,0.00953159580832627,0.00953159580832627,0.008396389136465945,0.20818148030191244
rho,release_shift_fade,core_throat,2978,6.88439199744483,6.88439199744483,0.0,6.88439199744483,0.00963901041058353,0.00963901041058353,0.007038737538510076,0.13788641287932513
rho,catch_rematch,support_edge,3528,5.986346979672371,5.986346979672371,0.0,5.986346979672371,0.006966345537433789,0.006966345537433789,0.001853522469182338,0.11989960937499919
rho,release_shift_fade,packet_in_support,1293,3.116549913172342,3.116549913172342,0.0,3.116549913172342,0.009532234818674011,0.009532234818674011,0.006220129595652282,0.06242089181531245
rho,release_shift_fade,support_edge,3512,2.287781448161753,2.287172935503042,0.00030425632935553014,2.287477191832397,0.0070224876971508475,0.0070224876971508475,-0.0015635779467209328,0.04582161757435862
rho,post_release_buffer,core_throat,1909,0.6838370239244209,0.6838370239244209,0.0,0.6838370239244209,0.010124823071586606,0.010124823071586606,0.0071005080789930414,0.01369646502668768
rho,post_release_buffer,packet_in_support,658,0.1745871923769669,0.1745871923769669,0.0,0.1745871923769669,0.008361364372034344,0.008361364372034344,0.004054367815862032,0.003496779628537639
rho,reset_decompression,core_throat,1354,0.16654638318294684,0.16654638318294684,0.0,0.16654638318294684,0.011992306126764052,0.011992306126764052,0.0074733906505008935,0.003335731516108534
rho,post_release_buffer,support_edge,1415,0.15915236266858312,0.15345944178671805,0.0028464604409325434,0.1563059022276506,0.007346858160126014,0.007346858160126014,-0.0042235999084007155,0.003187637833200855
rho,catch_rematch,outer_quarantine_shell,2520,0.12714861443621558,-0.11824903136095499,0.1226988228985853,0.0044497915376302995,0.012442905166369431,0.0018613091924637836,-0.012442905166369431,0.002546639754635303
rho,release_shift_fade,outer_quarantine_shell,2580,0.12344025862649857,-0.12243246215431677,0.12293636039040766,0.0005038982360908942,0.012176132566267274,0.0012023871803989103,-0.012176132566267274,0.0024723656748804213
rho,post_release_buffer,outer_quarantine_shell,1320,0.053840145890908034,-0.053840145890908034,0.053840145890908034,0.0,0.010687860811022673,-0.0024951141365328563,-0.010687860811022673,0.001078355879292206
rho,reset_decompression,support_edge,761,0.03854317996878198,0.03237170111414112,0.0030857394273204283,0.03545744054146155,0.008849725556677129,0.008849725556677129,-0.004757521395011079,0.000771975336214169
rho,reset_decompression,packet_in_support,341,0.026521537393070872,0.026521537393070872,0.0,0.026521537393070872,0.008193666689557108,0.008193666689557108,0.0038708288813501636,0.0005311957332663111
rho,reset_decompression,outer_quarantine_shell,840,0.025777033118110384,-0.025777033118110384,0.025777033118110384,0.0,0.008868029234152447,-0.004387713498142125,-0.008868029234152447,0.0005162841733368757
rho,reset_decompression,packet_outer,78,0.001335565924978708,0.0012558457242804783,3.986010034911483e-05,0.001295705824629593,0.0037041085502388404,0.0037041085502388404,-0.001797659709878384,2.6749841471479587e-05
