speed,pattern_samples,pattern_type_i,pattern_type_iv,pattern_other,pattern_estimated_band_samples,pattern_envelope_violations,pattern_worst_envelope_ratio,pattern_min_null,front_samples,front_type_i,front_type_iv,front_other,front_estimated_band_samples,front_envelope_violations,front_worst_envelope_ratio,front_min_null,peak_nec_content,nec_content_over_sigma,front_window_over_sigma,peak_negative_energy,peak_positive_energy,peak_stress,max_alpha,tip_offset,surface_offset,kappa,lambda,lambda_over_kappa,trip_distance,exterior_time,lead_over_light,mean_speed,passenger_time_clock_1,passenger_days_per_light_year,alpha_v_radius,swept_matter_max,swept_light_max,swept_matter_max_short,swept_matter_max_long
1.5,7480,954846,0,0,0,0,0.5040328796924058,-0.7360223112849019,11660,192080,0,0,0,0,0.0,-0.1232985513195338,225.42064059058393,2123.1561642111783,300.13845800038735,0.009014848622725218,0.0,1.5424967406277004,222.68407382092042,57.998711305964285,53.255905557624246,0.30375885545108616,1.6985266826159742,5.591694372477267,9.0,7.5,1.5,1.2,7.5,243.5,10.275,5.353148858853313,5.987020870482396,5.353148858853313,4.885102531692942
2.1,7480,956138,0,0,0,0,0.5040328796924103,-0.8236530386990427,11660,206550,0,0,0,0,0.0,-0.15892939641331816,252.0920742188376,2367.408964707985,399.7760856932724,0.009014848622725218,0.0,1.8149336320132203,395.38037120938355,57.998711305964285,52.43071182714305,0.5626749645348816,2.7017620224355756,4.80163894384195,12.600000000000001,7.5,5.100000000000001,1.6800000000000002,7.5,173.92857142857142,10.15,9.352349274254495,11.755006378442125,9.352349274254495,4.158747000121724
3.0,7480,956138,0,0,0,0,0.5040328796925863,-0.9132142470964837,11660,206625,0,0,0,0,0.0,-0.19671073541420334,278.4971620535996,2571.7058527600684,473.32539676019053,0.009014848622725218,0.0,2.1768488739052962,738.7493333216759,57.998711305964285,51.88573838882387,0.9862603554444682,4.232108463023864,4.291066187200256,18.0,7.5,10.5,2.4,7.5,121.75,10.075000000000001,30.999310358976,36.28108957159578,12.304390415241167,30.999310358976
5.0,7480,958700,0,0,0,0,0.5040328796925957,-1.0355119432015245,11660,222721,0,0,0,0,0.0,-0.2508147580680923,314.70578207648543,2925.4008141043764,613.495400547904,0.00901484862272522,0.0,2.7492692409849093,1808.4662068361984,57.998711305964285,51.38185074132188,2.0346138960292137,7.755833209999995,3.8119434970617316,30.0,7.5,22.5,4.0,7.5,73.05,9.975000000000001,2400156.3105522674,3671388.2482811986,34161.18554208854,2400156.3105522674
10.0,7480,958798,0,0,0,0,0.5040328796925957,-1.1902152737857792,11660,223560,0,0,0,0,0.0,-0.3242185045766066,361.5118963163393,3312.090218376255,749.066898623653,0.009014848622725221,0.0,3.6515052555608536,6093.925855708224,57.998711305964285,50.950109387100106,4.997013018313012,16.97522202632973,3.397073804714752,60.0,7.5,52.5,8.0,7.5,36.525,9.9,345952725485.1539,792574276980.2552,320745005386.57904,345952725485.1539
20.0,7480,958825,0,0,0,0,0.5040328796925956,-1.331971540092887,11660,223803,0,0,0,0,0.0,-0.39761029360356875,404.29767399749613,3661.8365520799357,871.1920913579162,0.009014848622725218,0.0,4.7725291494528275,20534.49060562559,57.998711305964285,50.66276427254037,11.608159250044991,36.2266752145424,3.1207941271482804,120.0,7.5,112.5,16.0,7.5,18.2625,9.825000000000001,264676375283513.0,514843167891707.06,261429879243755.44,264676375283513.0
