speed,arrival,arrival_direction_deg,origin,origin_offset,origin_r,energy_ratio_at_origin,status
2.1,0.75,0.0,behind,-7.346713988619017,0.0,0.9999999945134688,0
2.1,0.75,22.5,alongside,0.7026712770926105,1.7502017958846987,0.9999999999838847,0
2.1,0.75,45.0,alongside,0.2672664242303926,2.508278243927175,0.7672839151305457,0
2.1,0.75,67.5,alongside,-0.4463841578527141,1.3690200306510936,0.48649964024197756,0
2.1,0.75,90.0,alongside,-1.3862469351763203e-14,11.122457762931264,0.2660842378398486,0
2.1,0.75,112.5,alongside,0.446384157862203,1.369020030632561,0.48649964024917103,0
2.1,0.75,135.0,alongside,-0.267266424232944,2.508278243921105,0.7672839151337474,0
2.1,0.75,157.5,alongside,-0.7026712770963631,1.7502017958756406,0.9999999999923592,0
2.1,0.75,180.0,ahead,7.346713988618436,1.3250824389576765e-14,0.9999999942551931,0
2.1,0.75,202.5,alongside,-0.7026712770959087,1.750201795876745,0.9999999999959828,0
2.1,0.75,225.0,alongside,-0.2672664242380026,2.5082782439091096,0.7672839151304072,0
2.1,0.75,247.49999999999997,alongside,0.4463841578582435,1.3690200306402902,0.486499640248548,0
2.1,0.75,270.0,alongside,4.338561466293439e-14,11.122457762931264,0.2660842378398486,0
2.1,0.75,292.5,alongside,-0.446384157861465,1.369020030634006,0.486499640252054,0
2.1,0.75,315.0,alongside,0.2672664242303337,2.5082782439273035,0.767283915120964,0
2.1,0.75,337.5,alongside,0.7026712770967539,1.75020179587468,0.9999999999968692,0
2.1,3.0,0.0,behind,-8.822782657358239,0.0,276.63778434418174,0
2.1,3.0,22.5,alongside,0.6509501752026746,0.8769418668570031,0.9323527501141016,0
2.1,3.0,45.0,alongside,1.7593596876723459,0.10335294555816252,0.8424958982136503,0
2.1,3.0,67.5,alongside,1.7986816225940203,0.6811955961482042,0.9989522460800683,0
2.1,3.0,90.0,alongside,0.07427436680479292,13.560805295514976,0.9999999565775842,0
2.1,3.0,112.5,alongside,-1.7986816225832374,0.6811955961210753,0.9989522460319761,0
2.1,3.0,135.0,alongside,-1.7593596876707103,0.10335294555921087,0.8424958981757732,0
2.1,3.0,157.5,alongside,-0.6509501752506781,0.8769418668463722,0.93235275006882,0
2.1,3.0,180.0,ahead,14.295853201508447,2.869464931121329e-14,0.15271042877386146,0
2.1,3.0,202.5,alongside,-0.6509501750638116,0.8769418668876876,0.9323527501062763,0
2.1,3.0,225.0,alongside,-1.7593596876721815,0.10335294555826335,0.8424958981496866,0
2.1,3.0,247.49999999999997,alongside,-1.7986816225886242,0.6811955961346167,0.9989522460332688,0
2.1,3.0,270.0,alongside,0.07427436680485137,13.56080529550514,0.9999999451627805,0
2.1,3.0,292.5,alongside,1.7986816225850732,0.6811955961257068,0.9989522460546717,0
2.1,3.0,315.0,alongside,1.7593596876779394,0.10335294555453722,0.8424958982032564,0
2.1,3.0,337.5,alongside,0.6509501752149188,0.8769418668542985,0.9323527500875046,0
2.1,7.0,0.0,behind,-8.823261403853355,0.0,3667633525409833.0,0
2.1,7.0,22.5,alongside,-0.22957476560470147,3.0772585888157096,0.710726705612749,0
2.1,7.0,45.0,alongside,-1.474700722245529,3.9290471375381197,0.12089656167528656,0
2.1,7.0,67.5,alongside,-0.015427771354682715,1.4440911223549937,0.9910017725684523,0
2.1,7.0,90.0,alongside,5.2297476158353495,17.53509776750137,5.257640773052817,0
2.1,7.0,112.5,alongside,0.015427771359644082,1.4440911223672146,0.9910017725631577,0
2.1,7.0,135.0,alongside,1.4747007204029416,3.9290471373704587,0.1208965617111627,0
2.1,7.0,157.5,alongside,0.22957476588361656,3.077258588733151,0.7107267055997427,0
2.1,7.0,180.0,ahead,40.4988530306249,4.304466789252358e-14,0.15268343727319275,0
2.1,7.0,202.5,alongside,0.2295747659455496,3.077258588715068,0.7107267056394656,0
2.1,7.0,225.0,alongside,1.4747007233207605,3.9290471376344507,0.12089656165881507,0
2.1,7.0,247.49999999999997,alongside,0.015427771374064366,1.4440911224030064,0.9910017726074616,0
2.1,7.0,270.0,alongside,5.229747615969893,17.535097767557932,5.25764077295099,0
2.1,7.0,292.5,alongside,-0.015427771350723178,1.444091122345252,0.9910017725990985,0
2.1,7.0,315.0,alongside,-1.4747007216504577,3.9290471374844094,0.12089656168445378,0
