speed,bundle,launch,zeta0,r0,angle_deg,min_width_ratio,time_of_min,final_width_ratio,crossing_samples
2.1,overtaken_axis,3.0,12.0,0.0,0.0,0.9999999999999998,3.0,1.0473021515631336,0
2.1,overtaken_offaxis,3.0,20.0,4.0,0.0,0.9999999999915232,8.34,6.868624521689483,0
2.1,side_inward,3.0,0.0,18.0,-90.0,0.9999999999999964,3.0,0.9999999999999964,0
2.1,rear_forward,3.0,-12.0,3.0,0.0,0.9999999999999964,3.0,0.9999999999999964,0
2.1,compartment_forward,3.0,0.0,0.3,0.0,0.9999999999999987,3.0,1.018385659103915,0
2.1,compartment_backward,3.0,0.0,0.3,180.0,0.9999999999998554,15.0,0.9999999999998554,0
2.1,compartment_sideways,3.0,0.0,0.3,90.0,0.9998257195417881,5.16,0.9999688329251555,0
2.1,tip_graze,3.0,60.998711305964285,1.0,0.0,0.0009081683055712198,10.58,1.1620172233194412,14
10.0,overtaken_axis,3.0,12.0,0.0,0.0,0.9999999999196487,6.1,5.943074531388595,0
10.0,overtaken_offaxis,3.0,20.0,4.0,0.0,0.9999999999999964,3.0,7.200559900197818,0
10.0,side_inward,3.0,0.0,18.0,-90.0,0.9999999999999432,3.0,0.9999999999999432,0
10.0,rear_forward,3.0,-12.0,3.0,0.0,0.9999999999999964,3.0,0.9999999999999964,0
10.0,compartment_forward,3.0,0.0,0.3,0.0,0.9999999999999987,3.0,6.032578534316061,0
10.0,compartment_backward,3.0,0.0,0.3,180.0,0.9999999999997047,15.0,0.9999999999997047,0
10.0,compartment_sideways,3.0,0.0,0.3,90.0,0.9893598637941514,15.0,0.9893598637941514,0
10.0,tip_graze,3.0,60.998711305964285,1.0,0.0,0.0002133086022681459,4.76,0.0020900084925940237,6
