channel,scope,points,abs_burden,signed_burden,neg_burden,pos_burden,peak_abs,peak_signed,min_signed,fraction_of_global_abs,fraction_of_global_neg
rho,global,29161,49.92799405001247,49.264936692820534,0.331528678595969,49.59646537141651,0.012442905166369431,0.011992306126764052,-0.012442905166369431,1.0,1.0
rho,packet_live,2552,13.51063364241626,13.51063364241626,0.0,13.51063364241626,0.00953223482022904,0.00953223482022904,0.006220129595652282,0.2706023724662915,0.0
rho,packet_core,1818,9.680340265341444,9.680340265341444,0.0,9.680340265341444,0.0095284166586798,0.0095284166586798,0.006582225615670552,0.19388602425414336,0.0
rho,packet_edge,1277,6.696296475682215,6.696296475682215,0.0,6.696296475682215,0.00953223482022904,0.00953223482022904,0.006220129595652282,0.1341190769445812,0.0
rho,packet_edge_strip,734,3.830293377074814,3.830293377074814,0.0,3.830293377074814,0.00953223482022904,0.00953223482022904,0.006220129595652282,0.07671634821214808,0.0
rho,support_shell,10164,8.653739390578057,8.64118675798214,0.006276316297957617,8.647463074280097,0.008849725556677129,0.008849725556677129,-0.004757521395011079,0.17332439556673707,0.018931443049023538
j_l,global,29161,2.1818372665442745,0.02144669879667127,1.0801952838738016,1.1016419826704729,0.02048485387767075,0.02048485387767075,-0.020484828377532186,1.0,1.0
j_l,packet_live,2552,0.1712642836818802,0.17095547906491104,0.00015440230848459132,0.17110988137339564,0.0037789071914566363,0.0037789071914566363,-9.61765733509989e-06,0.07849544340817816,0.0001429392544011792
j_l,packet_core,1818,0.12417427533878954,0.12417427533878954,0.0,0.12417427533878954,0.003172684169368974,0.003172684169368974,2.779296001000347e-06,0.05691271170533458,0.0
j_l,packet_edge,1277,0.08369022436796444,0.08338141975099526,0.00015440230848459132,0.08353582205947988,0.0037789071914566363,0.0037789071914566363,-9.61765733509989e-06,0.03835768398094972,0.0001429392544011792
j_l,packet_edge_strip,734,0.0470900083430907,0.04678120372612152,0.00015440230848459132,0.04693560603460611,0.0037789071914566363,0.0037789071914566363,-9.61765733509989e-06,0.021582731702843583,0.0001429392544011792
j_l,support_shell,10164,1.1592715081428386,9.400522885964768e-05,0.5795887514569895,0.5796827566858491,0.02048485387767075,0.02048485387767075,-0.020484828377532186,0.5313281269500739,0.5365592315664123
delta_rho,global,29161,4.634843417825964e-05,-4.495018283041324e-05,4.564930850433644e-05,6.991256739232047e-07,2.0127391563238423e-07,1.3571513941303126e-08,-2.0127391563238423e-07,1.0,1.0
delta_rho,packet_live,2552,3.9919527681177333e-05,-3.856266688834766e-05,3.924109728476249e-05,6.784303964148355e-07,2.0127391563238423e-07,4.826527061699282e-09,-2.0127391563238423e-07,0.8612918297874694,0.8596208479485467
delta_rho,packet_core,1818,2.7818614018482777e-05,-2.6655070683442736e-05,2.723684235096276e-05,5.817716675200203e-07,2.0125961071922743e-07,4.3386320959515334e-09,-2.0125961071922743e-07,0.6002061237169362,0.5966539963770844
delta_rho,packet_edge,1277,2.0480130186113883e-05,-1.9880195781314378e-05,2.018016298371413e-05,2.999672023997533e-07,2.0127391563238423e-07,4.826527061699282e-09,-2.0127391563238423e-07,0.44187318405074333,0.44206941232849395
delta_rho,packet_edge_strip,734,1.2100913662694553e-05,-1.190759620490492e-05,1.2004254933799735e-05,9.665872889481509e-08,2.0127391563238423e-07,4.826527061699282e-09,-2.0127391563238423e-07,0.2610857060705332,0.2629668515714624
delta_rho,support_shell,10164,3.327516753529787e-06,-3.2933595531649264e-06,3.3104381533473567e-06,1.7078600182430117e-08,2.0119936862839777e-07,1.3571513941303126e-08,-2.0119936862839777e-07,0.07179350958722579,0.07251891127842348
delta_j_l,global,29161,0.021446698796874074,0.02144669879667126,1.0140756620761816e-13,0.021446698796772672,2.580641304625458e-05,2.580641304625458e-05,-4.2839429920116245e-14,1.0,1.0
delta_j_l,packet_live,2552,0.020128066743525953,0.020128066743525953,0.0,0.020128066743525953,2.580641304625458e-05,2.580641304625458e-05,8.110401575412221e-07,0.9385158496495359,0.0
delta_j_l,packet_core,1818,0.015304868159193083,0.015304868159193083,0.0,0.015304868159193083,2.580641304625458e-05,2.580641304625458e-05,1.16470128467671e-06,0.7136234953522925,0.0
delta_j_l,packet_edge,1277,0.009293349304889207,0.009293349304889207,0.0,0.009293349304889207,2.5126527961945456e-05,2.5126527961945456e-05,8.110401575412221e-07,0.4333230672425792,0.0
delta_j_l,packet_edge_strip,734,0.004823198584332867,0.004823198584332867,0.0,0.004823198584332867,2.3573528285508444e-05,2.3573528285508444e-05,8.110401575412221e-07,0.22489235429724333,0.0
delta_j_l,support_shell,10164,9.400522892981615e-05,9.400522885944288e-05,3.518663850864884e-14,9.400522889462952e-05,8.877660853573704e-06,8.877660853573704e-06,-1.3253287356462806e-14,0.0043832027399721635,0.3469823783819937
