case,schedule,wall,fields,jet_step,core_radius,wall_width,wall_spacing,string_curvature,deficit_angle,samples,wall_points,core_type_i,core_vacuum,wall_type_i,wall_type_iv,wall_type_ii_iii,wall_vacuum,wall_unresolved,wall_uncertified,wall_near_type_boundary,wall_min_type_i_margin,wall_max_type_iv_margin,wall_opposite_radial_null,samples_with_wall_type_iv,live_samples_with_wall_type_iv,exterior_max_abs,core_min_null,core_min_null_s,core_min_null_z,wall_min_null,wall_min_null_s,wall_min_null_z,wall_min_null_r,live_wall_min_null,core_negative_null_integral,wall_negative_null_integral,core_negative_null_proper_integral,wall_negative_null_proper_integral,min_wall_line_energy,min_radial_crossing,min_radial_crossing_anec,static_wall_min_null,static_wall_line_energy,static_core_line_energy,static_radial_crossing_anec,static_wall_negative_fraction
current__base,current,base,all,0.0025,1.75,1.0,linear,0.0,0.0,21384,2052864,4179,17205,299475,74700,12,1678677,0,12,1228,0.00657476146667868,-1.076247529006375e-06,68773,2844,217,0.0,-0.28337239801947867,1.6,2.1,-2.17648705039544,-0.6,-0.2,2.488223773494723,-2.0820476480931966,4.233934654470551,128.6504224364867,44.57371705405726,670861.8439930604,-2.767843463322852,-0.4731024493140965,-0.4026828572480321,-1.6390634901909542,0.0009289710439617238,0.0,-0.3082981805546295,0.9948002892457924
current__wall_0p5,current,wall_0p5,all,0.0025,1.75,0.5,linear,0.0,0.0,21384,2052864,4179,17205,306289,71934,28,1674613,0,28,950,0.007585124473538318,-1.0686192550942215e-06,73255,2735,215,0.0,-0.28337239801947867,1.6,2.1,-8.26878869467338,-1.5,-1.6,2.0061725447997265,-8.140268908584774,4.233934654470551,200.2497726290232,44.57371705405726,1338504.751345607,-5.008701725036702,-0.6221000037639977,-0.6551631209913109,-6.39874073674437,0.0018138745081444085,0.0,-0.6031701492624902,0.9952125051984945
current__wall_2,current,wall_2,all,0.0025,1.75,2.0,linear,0.0,0.0,21384,2052864,4179,17205,292064,78032,26,1682742,0,26,2053,0.006502146859024074,-1.0171263335863786e-06,65236,2964,208,0.0,-0.28337239801947867,1.6,2.1,-0.8458791816877774,-0.6,-0.2,3.2264475469894465,-0.8276758995831948,4.233934654470551,101.51130096754106,44.57371705405726,337228.714972553,-1.6474143324659107,-0.4955057351056873,-0.3275766820271924,-0.42305455409886916,0.0004865193122185474,0.0,-0.15867591051172858,0.9942007024054984
current__wall_4,current,wall_4,all,0.0025,1.75,4.0,linear,0.0,0.0,21384,2052864,4179,17205,290571,76098,31,1686164,0,31,5566,0.0026632497096924224,-1.021353892248844e-06,62959,2987,204,0.0,-0.28337239801947867,1.6,2.1,-0.4247785657651153,-0.6,-0.4,4.498754485709916,-0.4247785657651153,4.233934654470551,107.12200070040424,44.57371705405726,170754.79900079832,-1.0871997670374471,-0.9046453700458215,-0.5322046713469013,-0.11005463793549082,0.0002652934460165568,0.0,-0.08192127535399764,0.979077002606589
current__wall_4_log,current,wall_4_log,all,0.0025,1.75,4.0,logarithmic,0.0,0.0,21384,2052864,4179,17205,292654,71734,24,1688452,0,24,3362,0.0014582092618057318,-1.0049670636398256e-06,58806,2936,203,0.0,-0.28337239801947867,1.6,2.1,-0.39590523878070294,-0.6,-0.4,3.8453100727805007,-0.39590523878070294,4.233934654470551,97.61164782224891,44.57371705405726,259184.49966267674,-1.076418616323702,-0.764534133939072,-0.4295909681860211,-0.2377448538582549,0.0004250722056902134,0.0,-0.07336197895463714,0.9803370778326023
current__wall_16_log,current,wall_16_log,all,0.0025,1.75,16.0,logarithmic,0.0,0.0,21384,2052864,4179,17205,300110,59255,32,1693467,0,32,10319,0.0014574383809036681,-1.0107992968250576e-06,40188,2896,201,0.0,-0.28337239801947867,1.6,2.1,-0.31448874662691845,1.5,2.0,4.514840669561797,-0.2649686000521798,4.233934654470551,208.70458258128485,44.57371705405726,117726.09630991156,-0.5527050961504967,-2.2531127704029634,-1.280982363925668,-0.052160867828926885,0.00021826041531447515,0.0,-0.021628677602114017,0.9764021836466519
current__core_1,current,core_1,all,0.0025,1.0,1.0,linear,0.0,0.0,21384,2052864,4179,17205,299221,74948,12,1678683,0,12,1209,0.011292922558676532,-1.0763855110949596e-06,68545,2881,217,0.0,-0.28337239801947867,1.6,2.1,-2.203730807625594,-0.6,-0.2,1.7382237734947232,-2.050146079548694,1.3825092749291596,88.99030689932138,14.554683119692168,384780.91669484787,-1.807475636874044,-0.5097193727858581,-0.41001063917700686,-1.679464642267276,0.0005497267024594521,0.0,-0.3153361303730367,0.9943291852998473
current__core_3,current,core_3,all,0.0025,3.0,1.0,linear,0.0,0.0,21384,2052864,4179,17205,299755,74426,12,1678671,0,12,1237,0.010049854969315819,-1.076170582605326e-06,69014,2832,217,0.0,-0.28337239801947867,1.6,2.1,-2.1554829520709577,-0.6,-0.2,3.738223773494723,-2.105329415134648,12.442583474362436,194.9590333437494,130.99214807722953,1147808.506549767,-4.368456507404186,-0.44746038172428304,-0.3971685920067757,-1.6075162254194875,0.0015610449465270904,0.0,-0.30289621680934753,0.9951367920643248
current__string_core,current,string_core,all,0.0025,1.75,1.0,linear,0.32653061224489793,4.529046461754938,21384,2052864,21384,0,1847321,67578,78,137887,0,78,16610,0.002877498490714836,-1.0000744723163796e-06,29194,2596,217,0.0,-0.2703801577670791,1.6,2.1,-2.1376998320980833,-0.6,-0.2,2.488223773494723,-2.1191900368820584,3.2982445830925933,90.75173874216902,7.829286417549487,553152.583832675,-1.8686074832698283,-0.43153907070012565,-0.3927055612245929,-1.5811819753351026,19.743674389810934,72.13553009448749,-0.2985548655750471,0.9819304082040007
trailing_front__base,trailing_front,base,all,0.0025,1.75,1.0,linear,0.0,0.0,21384,2052864,5776,15608,459495,59205,5,1534159,0,5,844,0.00868437240695552,-1.1500020385657998e-06,40069,2804,215,0.0,-0.19646125571466047,2.4,-1.4,-2.17648705039544,-0.6,-0.2,2.488223773494723,-2.0820476480931966,3.114809343363857,186.28685490219735,56.28433116447866,1199249.6892872406,-2.767843463322852,-0.4731024493140965,-0.4026828572480321,-1.6390634901909542,0.0009289710439617238,0.0,-0.3082981805546295,0.9948002892457924
