points,inner_radius,outer_radius,inner_misner_sharp_mass,outer_misner_sharp_mass,endpoint_mass_change,proper_radial_length,positive_energy_points,negative_radial_enthalpy_points,positive_energy_with_negative_radial_enthalpy_points,linearly_interpolated_energy_zero_radii,coordinate_mass,coordinate_mass_positive_part,coordinate_mass_negative_part,proper_energy,proper_energy_positive_part,proper_energy_negative_part,lapse_weighted_slice_energy,lapse_weighted_slice_energy_positive_part,lapse_weighted_slice_energy_negative_part
513,2.15,6.25,1.0749916397478883,0.24505096361463266,-0.8299406761332556,95.90876811090429,100,513,100,[2.9454624086104295],-0.829940676517362,0.361212171624962,-1.191152848142324,43.35437612884015,45.30250002685817,-1.9481238980180102,2745.6290859057494,2747.9131665402465,-2.2840806344971054
1025,2.15,6.25,1.0749916397478883,0.24505096361463266,-0.8299406761332556,95.90875733883516,199,1025,199,[2.945495193566999],-0.8299406762207305,0.36121010092515027,-1.191150777145881,43.35437073860058,45.30248844195587,-1.948117703355285,2745.6286173175545,2747.912695681592,-2.2840783640375815
2049,2.15,6.25,1.0749916397478883,0.24505096361463266,-0.8299406761332556,95.9087566569685,398,2049,398,[2.945503054445769],-0.8299406760788179,0.36121090630169617,-1.191151582380514,43.35437039828398,45.302492344000356,-1.948121945716378,2745.628586668916,2747.912673791088,-2.2840871221721004
