lambda1,lambda2,energy,pressure,relative_energy_error,relative_pressure_error,canonical_surface_binding,held_floor,passed
0.0001,0.0001,-3.161193056561892e-11,-3.1656547154040256e-11,5.928398050303516e-15,7.553157792371328e-15,-6.317924454281647e-11,4.461658842133573e-14,True
0.0001,0.001,-3.144412959330184e-10,-3.1628277763681726e-10,5.425686878462811e-15,7.519044441366142e-15,-6.27041110162238e-10,1.8414817037988554e-12,True
0.0001,0.01,-3.0360123989707045e-09,-3.135619750183422e-09,5.04044098680859e-15,7.122635497376652e-15,-5.972417446728693e-09,9.960735121271731e-11,True
0.0001,0.1,-2.527867346469006e-08,-2.9132199251426808e-08,5.759154570064298e-15,7.041720061800816e-15,-4.670382114264335e-08,3.853525786736748e-09,True
0.0001,1.0,-1.2779352807426927e-07,-1.8881056854621537e-07,6.006748698596793e-15,7.710574091815108e-15,-1.945700156765924e-07,6.10170404719461e-08,True
0.0001,10.0,-2.6710730232053635e-07,-4.949762951547716e-07,6.936854799631303e-15,7.48676084190825e-15,-3.063456118068375e-07,2.2786899283423522e-07,True
0.0001,100.0,-3.1045535749274467e-07,-6.149604351639963e-07,7.16193627482979e-15,8.09209549195135e-15,-3.1640563731423775e-07,3.045050776712516e-07,True
0.0001,1000.0,-3.159736207365196e-07,-6.313414881335525e-07,7.204402191675838e-15,7.54672458227164e-15,-3.165793740760059e-07,3.1536786739703287e-07,True
0.0001,10000.0,-3.1654165785304426e-07,-6.330437551489381e-07,7.358717398361298e-15,7.860939349995201e-15,-3.1658121841019446e-07,3.165020972958938e-07,True
0.000125892541179,0.000125892541179,-5.00835339730459e-11,-5.016965577876771e-11,5.677381626427e-15,7.34216451776835e-15,-1.0008094614036999e-10,8.61218057218089e-14,True
0.000158489319246,0.000158489319246,-7.934232780857775e-11,-7.950838123840468e-11,5.538527952935707e-15,7.965325750840543e-15,-1.5851860218732861e-10,1.6605342982693173e-13,True
0.000199526231497,0.000199526231497,-1.256822030510282e-10,-1.260019961309115e-10,5.347489392960929e-15,6.975122837930822e-15,-2.510446130221725e-10,3.197930798833217e-13,True
0.000251188643151,0.000251188643151,-1.9906408859331028e-10,-1.9967918394405371e-10,5.453894580623689e-15,7.37891370050322e-15,-3.9751308183587704e-10,6.150953507434361e-13,True
0.000316227766017,0.000316227766017,-3.152477927118579e-10,-3.164292840212945e-10,6.06778290205908e-15,7.84232674714166e-15,-6.293140941142791e-10,1.181491309436587e-12,True
0.000398107170553,0.000398107170553,-4.9915897554974e-10,-5.014251449553115e-10,6.21430736301516e-15,8.248296090403966e-15,-9.960517816939085e-10,2.266169405571502e-12,True
0.000501187233627,0.000501187233627,-7.902031008732476e-10,-7.945430352456696e-10,5.75737220470793e-15,7.677944109965474e-15,-1.5760662673740728e-09,4.339934372422027e-12,True
0.00063095734448,0.00063095734448,-1.2506451750204172e-09,-1.258942800670235e-09,5.456575685786394e-15,7.39174320411329e-15,-2.4929927243910165e-09,8.297625649817714e-12,True
0.000794328234724,0.000794328234724,-1.9788108246019276e-09,-1.9946470116690255e-09,5.2252380714527726e-15,7.049904234250952e-15,-3.941785462136757e-09,1.5836187067097967e-11,True
0.001,0.0001,-3.144412959330183e-10,-3.162827776368171e-10,5.26127212457e-15,7.35558695351036e-15,-6.27041110162238e-10,1.8414817037988037e-12,True
0.001,0.001,-3.1298580687814993e-09,-3.1600238473801986e-09,5.1535953357347285e-15,7.198511132777346e-15,-6.2295503589642985e-09,3.016577859869931e-11,True
0.001,0.01,-3.02613837176042e-08,-3.132965672249102e-08,5.466905414981571e-15,7.603914033448448e-15,-5.945449443032156e-08,1.068273004886822e-09,True
0.001,0.1,-2.5231872700812957e-07,-2.9111732493146097e-07,5.664930682872296e-15,7.63768177337442e-15,-4.6583885609292764e-07,3.8798597923331395e-08,True
0.001,1.0,-1.2766384730425612e-06,-1.8871954366316355e-06,6.3031258800607875e-15,8.078968799220031e-15,-1.9427199824960482e-06,6.105569635890743e-07,True
0.001,10.0,-2.669121789080586e-06,-4.947955174805475e-06,7.140266656691832e-15,8.217047251202076e-15,-3.0594101924362813e-06,2.278833385724889e-06,True
0.001,100.0,-3.102445208630551e-06,-6.1475095546351304e-06,7.371569210068692e-15,7.991514369214394e-15,-3.1598260712565235e-06,3.0450643460045794e-06,True
0.001,1000.0,-3.1576090592238738e-06,-6.311282941568624e-06,7.242786914694064e-15,7.784140149568231e-15,-3.1615442361029946e-06,3.1536738823447503e-06,True
0.001,10000.0,-3.1632875123777224e-06,-6.32830177931495e-06,7.497555132221702e-15,8.298599618214094e-15,-3.1615607578182162e-06,3.165014266937228e-06,True
0.00125892541179,0.00125892541179,-4.948415691604378e-09,-5.005758750566123e-09,5.349142281358104e-15,7.270815228204324e-15,-9.839488324247011e-09,5.734305896174452e-11,True
0.00158489319246,0.00158489319246,-7.819782525377271e-09,-7.92854485535287e-09,5.077464657577513e-15,6.677083899910361e-15,-1.5530802720778943e-08,1.0876232997559919e-10,True
0.00199526231497,0.00199526231497,-1.2350086247713502e-08,-1.255587868498732e-08,5.8940393163766884e-15,7.510313869454242e-15,-2.4494380058153176e-08,2.0579243727381751e-10,True
0.00251188643151,0.00251188643151,-1.9491493958146055e-08,-1.9879865868986066e-08,5.4320678873636374e-15,7.323177569143131e-15,-3.8594616005452086e-08,3.88371910840011e-10,True
0.00316227766017,0.00316227766017,-3.07372684753195e-08,-3.146813735082195e-08,5.382264941448604e-15,7.360161452606539e-15,-6.074366807513657e-08,7.308688755024519e-10,True
0.00398107170553,0.00398107170553,-4.842467387350528e-08,-4.979587398166329e-08,5.73948492753574e-15,7.309028648786357e-15,-9.547814763885253e-08,1.3712001081580113e-09,True
0.00501187233627,0.00501187233627,-7.620362728319665e-08,-7.876762828801695e-08,5.557694413327987e-15,7.393077129452215e-15,-1.498432535615729e-07,2.564001004820305e-09,True
0.0063095734448,0.0063095734448,-1.1975867099417062e-07,-1.2453579630205282e-07,5.5256499136887824e-15,7.226617030455035e-15,-2.34740216680459e-07,4.777125307882203e-09,True
0.00794328234724,0.00794328234724,-1.8791561352417215e-07,-1.9678123307796278e-07,5.7752570066774784e-15,7.263741954118817e-15,-3.6696560749455354e-07,8.865619553790633e-09,True
0.01,0.0001,-3.0360123989707045e-09,-3.135619750183422e-09,5.04044098680859e-15,7.254536154735478e-15,-5.972417446728693e-09,9.960735121271731e-11,True
0.01,0.001,-3.02613837176042e-08,-3.132965672249101e-08,5.685581631580834e-15,7.392694199185993e-15,-5.945449443032156e-08,1.0682730048868153e-09,True
0.01,0.01,-2.943278873670335e-07,-3.1071095440277356e-07,5.395977901751826e-15,6.81528069136158e-15,-5.722727076983268e-07,1.638306703574008e-08,True
0.01,0.1,-2.4795636155348274e-06,-2.8909858061743904e-06,5.465690442931267e-15,7.324776080232383e-15,-4.547705040430092e-06,4.1142219063956304e-07,True
0.01,1.0,-1.2640977632614904e-05,-1.8781547241042966e-05,6.298650259175711e-15,7.75706415759862e-15,-1.9141385656801736e-05,6.1405696084280625e-06,True
0.01,10.0,-2.65007781322826e-05,-4.929963450700597e-05,7.159615436115525e-15,7.834683315817918e-15,-3.0202699889841815e-05,2.2798856374723367e-05,True
0.01,100.0,-3.081837273579914e-05,-6.126654179543731e-05,7.255954102189775e-15,7.963416300653868e-15,-3.1188576411960094e-05,3.0448169059638173e-05,True
0.01,1000.0,-3.13681413450457e-05,-6.2900569598433e-05,7.344807558690692e-15,7.325624016572e-15,-3.120385443670408e-05,3.1532428253387304e-05,True
0.01,10000.0,-3.1424734915720256e-05,-6.307037557884128e-05,7.115945406536137e-15,7.735659937661028e-15,-3.120382916831948e-05,3.1645640663121024e-05,True
0.0125892541179,0.0125892541179,-4.600288522563226e-07,-4.901630883957802e-07,5.638860232881497e-15,7.560277858469334e-15,-8.899234683731876e-07,3.01342361394576e-08,True
0.0158489319246,0.0158489319246,-7.172641857007547e-07,-7.724113963323175e-07,5.6093787751679365e-15,7.26503169451612e-15,-1.3793811607699465e-06,5.514721063156286e-08,True
0.0199526231497,0.0199526231497,-1.11519347472373e-06,-1.2155597574473514e-06,5.696542571665456e-15,7.14246062866442e-15,-2.1300206667238377e-06,1.0036628272362152e-07,True
0.0251188643151,0.0251188643151,-1.7282818430093778e-06,-1.909848976570128e-06,5.636163414448137e-15,7.096125045660735e-15,-3.2749965524580057e-06,1.8156713356074998e-07,True
0.0316227766017,0.0316227766017,-2.6684963451927806e-06,-2.994810657244117e-06,5.713552157582567e-15,7.21225567390654e-15,-5.0106783783342225e-06,3.2631431205133654e-07,True
0.0398107170553,0.0398107170553,-4.102772488053342e-06,-4.68504668831476e-06,5.780706240031718e-15,7.231799412944449e-15,-7.623270775845267e-06,5.82274200261418e-07,True
0.0501187233627,0.0501187233627,-6.277596368583499e-06,-7.308532251496776e-06,5.936898056349366e-15,7.533269290869436e-15,-1.1524256854253724e-05,1.030935882913277e-06,True
0.063095734448,0.063095734448,-9.552892243053325e-06,-1.1362748313327367e-05,5.852067949309931e-15,7.305383041315799e-15,-1.7295928415832606e-05,1.8098560702740418e-06,True
0.0794328234724,0.0794328234724,-1.4447588721192883e-05,-1.759558395973803e-05,5.862798032254367e-15,7.317120493258724e-15,-2.5747182203840617e-05,3.147995238545148e-06,True
0.1,0.0001,-2.527867346469006e-08,-2.9132199251426814e-08,5.759154570064298e-15,7.382448451887951e-15,-4.670382114264335e-08,3.853525786736755e-09,True
0.1,0.001,-2.5231872700812957e-07,-2.9111732493146097e-07,5.874742930386084e-15,7.63768177337442e-15,-4.6583885609292764e-07,3.8798597923331395e-08,True
0.1,0.01,-2.479563615534828e-06,-2.89098580617439e-06,5.807296095614471e-15,7.471271601837032e-15,-4.547705040430092e-06,4.114221906395622e-07,True
0.1,0.1,-2.1699049640522074e-05,-2.7119598277153597e-05,6.089535807361362e-15,7.495977826201365e-15,-3.7977550644412594e-05,5.420548636631523e-06,True
0.1,1.0,-0.00011605642868476863,-0.000179344806564686,6.3058675397941354e-15,7.707821577874517e-15,-0.00016882447948961992,6.328837787991737e-05,True
0.1,10.0,-0.0002485327916076365,-0.00047582003871473645,7.197978073755781e-15,7.975089939358918e-15,-0.0002697783361081731,0.00022728724710709993,True
0.1,100.0,-0.0002902146317623558,-0.0005926909725925913,7.0981401427385304e-15,7.683007393414853e-15,-0.0002779529226944762,0.0003024763408302355,True
0.1,1000.0,-0.0002955332139219447,-0.0006086688331178201,7.153829541829867e-15,7.837578169560714e-15,-0.0002779308086480141,0.0003131356191958754,True
0.1,10000.0,-0.00029608085331370317,-0.0006103294945417258,7.506782112791275e-15,7.993894805703542e-15,-0.0002779130653993837,0.0003142486412280226,True
0.125892541179,0.125892541179,-3.233768438386571e-05,-4.156942688975135e-05,6.076861949368382e-15,7.661505389821408e-15,-5.544362626184579e-05,9.23174250588564e-06,True
0.158489319246,0.158489319246,-4.777608085631975e-05,-6.331199512151479e-05,5.957020022913789e-15,7.492078705654589e-15,-8.001624744744447e-05,1.5535914265195038e-05,True
