harmonics,nodes,cutoff,separation,interaction_energy,force,force_energy_derivative_error,single_wall_dressing,two_wall_free_subtracted_energy,interaction_inertia,center_energy,center_radial_enthalpy,min_frequency,potential_overlap,joint_uv_log_interaction_coefficient,isolated_mass_only_held_floor,isolated_mass_only_released_energy_with_mass_1
16,8,8.0,0.7,-0.04189591161730277,-0.23662952874443083,1.407152727672667e-10,4.004348192630687,7.966800473644071,1.8431997841496695,1.4412792765489115,1.57099698815302,0.32065087088272753,0.9425146402332235,-0.005968543684291398,0.12374475850379879,1.9581040883826972
16,8,8.0,1.0,-0.010696382134710802,-0.03434915884328408,1.855460229904793e-11,4.004348192630687,7.998000003126663,1.8546099806902636,-0.2762880486881656,-0.16573974841666939,0.32729544299741303,0.0064758683234712976,-4.1008915227877085e-05,0.023652776708573277,1.9893036178652892
16,8,8.0,1.2,-0.006157291201816406,-0.015422026013382403,1.3691808103954983e-12,4.004348192630687,8.002539094059557,1.8558931336209172,-0.22394268150080165,-0.20236122606354456,0.3319572615256888,8.814321912318055e-05,-5.581734557254122e-07,0.012349140014242477,1.9938427087981836
16,8,12.0,0.7,-0.048053058265622894,-0.28030691997551316,9.020356683819841e-11,7.0914570519910285,14.134861045716434,3.348855657048847,2.6714538504283496,3.536875389649474,0.3665445279056516,0.9425146402332235,-0.005968543684291398,0.14816178571723632,1.951946941734377
16,8,12.0,1.0,-0.012024906423448556,-0.038249902463511565,5.7666059427585736e-11,7.0914570519910285,14.170889197558608,3.362608166362102,-0.28011071361169115,0.22920082435633304,0.3723710742614123,0.0064758683234712976,-4.1008915227877085e-05,0.02622499604006301,1.9879750935765514
16,8,12.0,1.2,-0.007000716055244993,-0.01698353211419149,-7.45124656420515e-11,7.0914570519910285,14.175913387926812,3.3641283409908067,-0.2544854748228431,-0.021462928555344263,0.3764751431626794,8.814321912318055e-05,-5.581734557254122e-07,0.013379522481784794,1.992999283944755
24,12,8.0,0.7,-0.03791147292531605,-0.21434801267349396,1.4004639115050566e-10,5.096864813035609,10.155818153145901,2.3732854068871756,1.7114057156560847,0.8950345041288941,0.2881240050120359,0.9425146402332235,-0.005968543684291398,0.11213213594612972,1.962088527074684
24,12,8.0,1.0,-0.00962581091289394,-0.03382583629721595,-4.656386387580369e-12,5.096864813035609,10.184103815158323,2.383197876854824,-0.19682283889309815,-0.26779249035072894,0.29548123916656355,0.0064758683234712976,-4.1008915227877085e-05,0.02420002538432201,1.990374189087106
24,12,8.0,1.2,-0.005233399186863608,-0.01388044825666837,5.052244733683153e-11,5.096864813035609,10.188496226884354,2.384419777626028,-0.1514124992026069,-0.13969601519158914,0.3006228754701616,8.814321912318055e-05,-5.581734557254122e-07,0.011423138721138437,1.9947666008131364
24,12,12.0,0.7,-0.042552612603230955,-0.25490434237343745,2.143172306290353e-10,9.314548276773621,18.58654394094401,4.433970106157006,3.342202981884043,2.5756486291739407,0.29969258658138503,0.9425146402332235,-0.005968543684291398,0.13588042705817524,1.957447387396769
24,12,12.0,1.0,-0.010368382465912873,-0.03614541943427854,-5.72950090149682e-11,9.314548276773621,18.61872817108133,4.445783884365422,-0.15563549089381468,-0.062810020204779,0.3067725002132251,0.0064758683234712976,-4.1008915227877085e-05,0.02577703696836567,1.9896316175340871
24,12,12.0,1.2,-0.005700055879060528,-0.01474210547975318,-2.0574793084537912e-10,9.314548276773621,18.623396497668182,4.44714105046961,-0.164436484466421,-0.04991692814240878,0.31172795422228905,8.814321912318055e-05,-5.581734557254122e-07,0.011990470696643288,1.9942999441209395
