lambda1,lambda2,xi,fraction,green_energy,green_pressure,max_normalized_channel_error,passed
0.01,0.01,0.0,0.1,-0.021126967382801825,-3.1071095440301613e-07,8.375162953755176e-15,True
0.01,0.01,0.0,0.35,-0.0005681896500123145,-3.1071095440276446e-07,2.4806203777217902e-15,True
0.01,0.01,0.0,0.49999999999999994,-0.0003370018547543632,-3.107109544027682e-07,3.378059393588677e-15,True
0.01,0.01,0.0,0.9,-0.02112696738280184,-3.107109544039931e-07,8.04672519086281e-15,True
0.01,0.01,0.16666666666666666,0.1,-1.0357031813557957e-07,-3.1071095440301613e-07,4.255844623225085e-12,True
0.01,0.01,0.16666666666666666,0.35,-1.035703181342952e-07,-3.1071095440276446e-07,1.2220650189697805e-13,True
0.01,0.01,0.16666666666666666,0.49999999999999994,-1.0357031813427162e-07,-3.107109544027682e-07,4.630131319693801e-14,True
0.01,0.01,0.16666666666666666,0.9,-1.0357031813519457e-07,-3.107109544039931e-07,3.930883520760098e-12,True
1.0,1.0,0.0,0.1,-2.0164052425176853,-0.001267974490281135,8.589284940822448e-15,True
1.0,1.0,0.0,0.35,-0.04896834375501531,-0.0012679744902811178,3.117435759103545e-15,True
1.0,1.0,0.0,0.49999999999999994,-0.028145133346037746,-0.0012679744902811187,3.574826253961221e-15,True
1.0,1.0,0.0,0.9,-2.0164052425176866,-0.0012679744902810764,8.589284940822443e-15,True
1.0,1.0,0.16666666666666666,0.1,-0.00042265816342714,-0.001267974490281135,8.200085186123009e-14,True
1.0,1.0,0.16666666666666666,0.35,-0.00042265816342704324,-0.0012679744902811178,7.695596107936088e-15,True
1.0,1.0,0.16666666666666666,0.49999999999999994,-0.00042265816342704107,-0.0012679744902811187,8.379649095308185e-15,True
1.0,1.0,0.16666666666666666,0.9,-0.0004226581634271517,-0.0012679744902810764,9.123556719075339e-14,True
8.0,8.0,0.0,0.1,-12.559373234928717,-0.009785144045701593,8.627641298378153e-15,True
8.0,8.0,0.0,0.35,-0.2137725995237257,-0.009785144045701542,1.817716861209235e-15,True
8.0,8.0,0.0,0.49999999999999994,-0.11186299761257233,-0.009785144045701548,2.7293326505457853e-15,True
8.0,8.0,0.0,0.9,-12.55937323492873,-0.00978514404570163,9.617698496552694e-15,True
8.0,8.0,0.16666666666666666,0.1,-0.0032617146819011564,-0.009785144045701593,6.834195765189881e-14,True
8.0,8.0,0.16666666666666666,0.35,-0.0032617146819005267,-0.009785144045701542,8.154941769098171e-15,True
8.0,8.0,0.16666666666666666,0.49999999999999994,-0.003261714681900519,-0.009785144045701548,8.686785797517617e-15,True
8.0,8.0,0.16666666666666666,0.9,-0.0032617146819013667,-0.00978514404570163,8.983732046718475e-14,True
100.0,100.0,0.0,0.1,-46.10747117033903,-0.019029576423882665,8.938134672759401e-15,True
100.0,100.0,0.0,0.35,-0.4224525858120635,-0.019029576423883466,2.233835470831286e-15,True
100.0,100.0,0.0,0.49999999999999994,-0.19697536374044988,-0.019029576423883483,1.972724158188769e-15,True
100.0,100.0,0.0,0.9,-46.10747117033908,-0.01902957642388347,8.7840289025394e-15,True
100.0,100.0,0.16666666666666666,0.1,-0.0063431921412964234,-0.019029576423882665,1.0392163853587221e-13,True
100.0,100.0,0.16666666666666666,0.35,-0.006343192141294518,-0.019029576423883466,6.745790571626793e-15,True
100.0,100.0,0.16666666666666666,0.49999999999999994,-0.006343192141294499,-0.019029576423883483,7.6573838921169e-15,True
100.0,100.0,0.16666666666666666,0.9,-0.006343192141296594,-0.01902957642388347,1.1290083274269977e-13,True
