lambda1,lambda2,xi,surface,bulk,total,interaction_energy
0.0199526231497,0.0199526231497,0.16666666666666666,-7.100068889079421e-07,-4.051865858157809e-07,-1.115193474723723e-06,-1.1151934747237236e-06
0.0199526231497,0.0199526231497,0.25,-0.0,-1.115193474723723e-06,-1.115193474723723e-06,-1.1151934747237236e-06
0.0251188643151,0.0251188643151,0.0,-3.2749965524579875e-06,1.5467147094486202e-06,-1.7282818430093673e-06,-1.7282818430093681e-06
0.0251188643151,0.0251188643151,0.16666666666666666,-1.091665517485996e-06,-6.366163255233714e-07,-1.7282818430093673e-06,-1.7282818430093681e-06
0.0251188643151,0.0251188643151,0.25,-0.0,-1.7282818430093673e-06,-1.7282818430093673e-06,-1.7282818430093681e-06
0.0316227766017,0.0316227766017,0.0,-5.010678378334194e-06,2.3421820331414305e-06,-2.6684963451927632e-06,-2.6684963451927654e-06
0.0316227766017,0.0316227766017,0.16666666666666666,-1.6702261261113982e-06,-9.982702190813652e-07,-2.6684963451927632e-06,-2.6684963451927654e-06
0.0316227766017,0.0316227766017,0.25,-0.0,-2.6684963451927632e-06,-2.6684963451927632e-06,-2.6684963451927654e-06
0.0398107170553,0.0398107170553,0.0,-7.623270775845222e-06,3.520498287791906e-06,-4.102772488053316e-06,-4.102772488053318e-06
0.0398107170553,0.0398107170553,0.16666666666666666,-2.5410902586150744e-06,-1.561682229438242e-06,-4.1027724880533166e-06,-4.102772488053318e-06
0.0398107170553,0.0398107170553,0.25,-0.0,-4.1027724880533166e-06,-4.1027724880533166e-06,-4.102772488053318e-06
0.0501187233627,0.0501187233627,0.0,-1.1524256854253656e-05,5.246660485670197e-06,-6.277596368583459e-06,-6.277596368583462e-06
0.0501187233627,0.0501187233627,0.16666666666666666,-3.841418951417886e-06,-2.4361774171655735e-06,-6.277596368583459e-06,-6.277596368583462e-06
0.0501187233627,0.0501187233627,0.25,-0.0,-6.277596368583459e-06,-6.277596368583459e-06,-6.277596368583462e-06
0.063095734448,0.063095734448,0.0,-1.7295928415832507e-05,7.743036172779243e-06,-9.552892243053264e-06,-9.55289224305327e-06
0.063095734448,0.063095734448,0.16666666666666666,-5.76530947194417e-06,-3.7875827711090947e-06,-9.552892243053264e-06,-9.55289224305327e-06
0.063095734448,0.063095734448,0.25,-0.0,-9.552892243053264e-06,-9.552892243053264e-06,-9.55289224305327e-06
0.0794328234724,0.0794328234724,0.0,-2.5747182203840455e-05,1.1299593482647668e-05,-1.4447588721192787e-05,-1.4447588721192799e-05
0.0794328234724,0.0794328234724,0.16666666666666666,-8.58239406794682e-06,-5.8651946532459675e-06,-1.4447588721192787e-05,-1.4447588721192799e-05
0.0794328234724,0.0794328234724,0.25,-0.0,-1.4447588721192787e-05,-1.4447588721192787e-05,-1.4447588721192799e-05
0.1,0.0001,0.0,-4.670382114264309e-08,2.1425147677953192e-08,-2.52786734646899e-08,-2.5278673464689914e-08
0.1,0.0001,0.16666666666666666,-1.5567940380881032e-08,-9.710733083808867e-09,-2.52786734646899e-08,-2.5278673464689914e-08
0.1,0.0001,0.25,-0.0,-2.52786734646899e-08,-2.52786734646899e-08,-2.5278673464689914e-08
0.1,0.001,0.0,-4.6583885609292505e-07,2.1352012908479712e-07,-2.5231872700812793e-07,-2.523187270081281e-07
0.1,0.001,0.16666666666666666,-1.552796186976417e-07,-9.703910831048625e-08,-2.52318727008128e-07,-2.523187270081281e-07
0.1,0.001,0.25,-0.0,-2.52318727008128e-07,-2.52318727008128e-07,-2.523187270081281e-07
0.1,0.01,0.0,-4.547705040430067e-06,2.068141424895255e-06,-2.4795636155348117e-06,-2.4795636155348134e-06
0.1,0.01,0.16666666666666666,-1.5159016801433558e-06,-9.636619353914561e-07,-2.479563615534812e-06,-2.4795636155348134e-06
0.1,0.01,0.25,-0.0,-2.479563615534812e-06,-2.479563615534812e-06,-2.4795636155348134e-06
0.1,0.1,0.0,-3.7977550644412384e-05,1.6278501003890456e-05,-2.1699049640521928e-05,-2.169904964052194e-05
0.1,0.1,0.16666666666666666,-1.2659183548137462e-05,-9.039866092384464e-06,-2.1699049640521928e-05,-2.169904964052194e-05
0.1,0.1,0.25,-0.0,-2.1699049640521928e-05,-2.1699049640521928e-05,-2.169904964052194e-05
0.1,1.0,0.0,-0.00016882447948961878,5.276805080485098e-05,-0.00011605642868476779,-0.0001160564286847679
0.1,1.0,0.16666666666666666,-5.62748264965396e-05,-5.9781602188228206e-05,-0.0001160564286847678,-0.0001160564286847679
0.1,1.0,0.25,-0.0,-0.0001160564286847678,-0.0001160564286847678,-0.0001160564286847679
0.1,10.0,0.0,-0.0002697783361081711,2.1245544500536514e-05,-0.00024853279160763457,-0.00024853279160763473
0.1,10.0,0.16666666666666666,-8.992611203605705e-05,-0.00015860667957157755,-0.00024853279160763457,-0.00024853279160763473
0.1,10.0,0.25,-0.0,-0.00024853279160763457,-0.00024853279160763457,-0.00024853279160763473
0.1,100.0,0.0,-0.0002779529226944742,-1.2261709067879455e-05,-0.00029021463176235365,-0.00029021463176235376
0.1,100.0,0.16666666666666666,-9.265097423149141e-05,-0.00019756365753086224,-0.00029021463176235365,-0.00029021463176235376
0.1,100.0,0.25,-0.0,-0.00029021463176235365,-0.00029021463176235365,-0.00029021463176235376
0.1,1000.0,0.0,-0.00027793080864801207,-1.7602405273930407e-05,-0.0002955332139219425,-0.0002955332139219426
0.1,1000.0,0.16666666666666666,-9.26436028826707e-05,-0.00020288961103927177,-0.00029553321392194245,-0.0002955332139219426
0.1,1000.0,0.25,-0.0,-0.00029553321392194245,-0.00029553321392194245,-0.0002955332139219426
0.1,10000.0,0.0,-0.0002779130653993817,-1.8167787914319188e-05,-0.00029608085331370084,-0.00029608085331370095
0.1,10000.0,0.16666666666666666,-9.263768846646057e-05,-0.0002034431648472403,-0.0002960808533137009,-0.00029608085331370095
0.1,10000.0,0.25,-0.0,-0.0002960808533137009,-0.0002960808533137009,-0.00029608085331370095
0.125892541179,0.125892541179,0.0,-5.544362626184545e-05,2.310594187797995e-05,-3.23376843838655e-05,-3.2337684383865516e-05
0.125892541179,0.125892541179,0.16666666666666666,-1.8481208753948486e-05,-1.3856475629917012e-05,-3.2337684383865496e-05,-3.2337684383865516e-05
0.125892541179,0.125892541179,0.25,-0.0,-3.2337684383865496e-05,-3.2337684383865496e-05,-3.2337684383865516e-05
0.158489319246,0.158489319246,0.0,-8.001624744744399e-05,3.224016659112455e-05,-4.777608085631944e-05,-4.777608085631947e-05
0.158489319246,0.158489319246,0.16666666666666666,-2.6672082482481333e-05,-2.1103998373838104e-05,-4.777608085631944e-05,-4.777608085631947e-05
0.158489319246,0.158489319246,0.25,-0.0,-4.777608085631944e-05,-4.777608085631944e-05,-4.777608085631947e-05
0.199526231497,0.199526231497,0.0,-0.00011400903028556752,4.4100566222450364e-05,-6.990846406311715e-05,-6.990846406311722e-05
0.199526231497,0.199526231497,0.16666666666666666,-3.800301009518918e-05,-3.190545396792798e-05,-6.990846406311715e-05,-6.990846406311722e-05
0.199526231497,0.199526231497,0.25,-0.0,-6.990846406311715e-05,-6.990846406311715e-05,-6.990846406311722e-05
0.251188643151,0.251188643151,0.0,-0.00016014988011731272,5.893909096616793e-05,-0.00010121078915114478,-0.00010121078915114485
0.251188643151,0.251188643151,0.16666666666666666,-5.3383293372437577e-05,-4.782749577870721e-05,-0.00010121078915114478,-0.00010121078915114485
0.251188643151,0.251188643151,0.25,-0.0,-0.00010121078915114478,-0.00010121078915114478,-0.00010121078915114485
0.316227766017,0.316227766017,0.0,-0.00022145923471321078,7.663494899410205e-05,-0.00014482428571910874,-0.00014482428571910882
0.316227766017,0.316227766017,0.16666666666666666,-7.38197449044036e-05,-7.100454081470513e-05,-0.00014482428571910874,-0.00014482428571910882
0.316227766017,0.316227766017,0.25,-0.0,-0.00014482428571910874,-0.00014482428571910874,-0.00014482428571910882
0.398107170553,0.398107170553,0.0,-0.0003009961199299273,9.639965570019627e-05,-0.00020459646422973102,-0.00020459646422973124
0.398107170553,0.398107170553,0.16666666666666666,-0.00010033203997664244,-0.00010426442425308858,-0.00020459646422973102,-0.00020459646422973124
0.398107170553,0.398107170553,0.25,-0.0,-0.00020459646422973102,-0.00020459646422973102,-0.00020459646422973124
0.501187233627,0.501187233627,0.0,-0.0004014416215125132,0.00011639628591063599,-0.0002850453356018772,-0.00028504533560187755
0.501187233627,0.501187233627,0.16666666666666666,-0.00013381387383750443,-0.00015123146176437282,-0.0002850453356018773,-0.00028504533560187755
0.501187233627,0.501187233627,0.25,-0.0,-0.0002850453356018773,-0.0002850453356018773,-0.00028504533560187755
0.63095734448,0.63095734448,0.0,-0.0005245156112988888,0.00013330738894384638,-0.00039120822235504246,-0.00039120822235504273
0.63095734448,0.63095734448,0.16666666666666666,-0.00017483853709962963,-0.00021636968525541283,-0.00039120822235504246,-0.00039120822235504273
0.63095734448,0.63095734448,0.25,-0.0,-0.00039120822235504246,-0.00039120822235504246,-0.00039120822235504273
0.794328234724,0.794328234724,0.0,-0.0006702703868179526,0.00014192971490820154,-0.0005283406719097511,-0.0005283406719097516
0.794328234724,0.794328234724,0.16666666666666666,-0.0002234234622726509,-0.0003049172096371002,-0.0005283406719097511,-0.0005283406719097516
0.794328234724,0.794328234724,0.25,-0.0,-0.0005283406719097511,-0.0005283406719097511,-0.0005283406719097516
1.0,0.0001,0.0,-1.9457001567659115e-07,6.67764876023228e-08,-1.2779352807426837e-07,-1.2779352807426845e-07
