lambda1,lambda2,xi,surface,bulk,total,interaction_energy
0.0001,0.0001,0.0,-6.317924454281613e-11,3.156731397719741e-11,-3.161193056561872e-11,-3.161193056561873e-11
0.0001,0.0001,0.16666666666666666,-2.105974818093871e-11,-1.0552182384680006e-11,-3.161193056561872e-11,-3.161193056561873e-11
0.0001,0.0001,0.25,-0.0,-3.161193056561872e-11,-3.161193056561872e-11,-3.161193056561873e-11
0.0001,0.001,0.0,-6.270411101622347e-10,3.125998142292182e-10,-3.1444129593301654e-10,-3.144412959330167e-10
0.0001,0.001,0.16666666666666666,-2.090137033874116e-10,-1.0542759254560496e-10,-3.1444129593301654e-10,-3.144412959330167e-10
0.0001,0.001,0.25,-0.0,-3.1444129593301654e-10,-3.1444129593301654e-10,-3.144412959330167e-10
0.0001,0.01,0.0,-5.9724174467286615e-09,2.936405047757974e-09,-3.0360123989706876e-09,-3.036012398970689e-09
0.0001,0.01,0.16666666666666666,-1.9908058155762208e-09,-1.0452065833944666e-09,-3.0360123989706876e-09,-3.036012398970689e-09
0.0001,0.01,0.25,-0.0,-3.0360123989706876e-09,-3.0360123989706876e-09,-3.036012398970689e-09
0.0001,0.1,0.0,-4.670382114264309e-08,2.1425147677953192e-08,-2.52786734646899e-08,-2.5278673464689914e-08
0.0001,0.1,0.16666666666666666,-1.5567940380881032e-08,-9.710733083808867e-09,-2.52786734646899e-08,-2.5278673464689914e-08
0.0001,0.1,0.25,-0.0,-2.52786734646899e-08,-2.52786734646899e-08,-2.5278673464689914e-08
0.0001,1.0,0.0,-1.9457001567659123e-07,6.677648760232283e-08,-1.277935280742684e-07,-1.277935280742685e-07
0.0001,1.0,0.16666666666666666,-6.485667189219708e-08,-6.29368561820713e-08,-1.2779352807426837e-07,-1.277935280742685e-07
0.0001,1.0,0.25,-0.0,-1.2779352807426837e-07,-1.2779352807426837e-07,-1.277935280742685e-07
0.0001,10.0,0.0,-3.063456118068354e-07,3.923830948630097e-08,-2.6710730232053444e-07,-2.671073023205345e-07
0.0001,10.0,0.16666666666666666,-1.0211520393561182e-07,-1.6499209838492262e-07,-2.6710730232053444e-07,-2.671073023205345e-07
0.0001,10.0,0.25,-0.0,-2.6710730232053444e-07,-2.6710730232053444e-07,-2.671073023205345e-07
0.0001,100.0,0.0,-3.164056373142356e-07,5.950279821493266e-09,-3.1045535749274234e-07,-3.1045535749274245e-07
0.0001,100.0,0.16666666666666666,-1.0546854577141188e-07,-2.0498681172133044e-07,-3.1045535749274234e-07,-3.1045535749274245e-07
0.0001,100.0,0.25,-0.0,-3.1045535749274234e-07,-3.1045535749274234e-07,-3.1045535749274245e-07
0.0001,1000.0,0.0,-3.165793740760038e-07,6.05753339486626e-10,-3.1597362073651716e-07,-3.159736207365173e-07
0.0001,1000.0,0.16666666666666666,-1.055264580253346e-07,-2.1044716271118256e-07,-3.1597362073651716e-07,-3.159736207365173e-07
0.0001,1000.0,0.25,-0.0,-3.1597362073651716e-07,-3.1597362073651716e-07,-3.159736207365173e-07
0.0001,10000.0,0.0,-3.1658121841019235e-07,3.956055715054335e-11,-3.165416578530418e-07,-3.1654165785304193e-07
0.0001,10000.0,0.16666666666666666,-1.0552707280339746e-07,-2.1101458504964435e-07,-3.1654165785304183e-07,-3.1654165785304193e-07
0.0001,10000.0,0.25,-0.0,-3.1654165785304183e-07,-3.1654165785304183e-07,-3.1654165785304193e-07
0.000125892541179,0.000125892541179,0.0,-1.0008094614036943e-10,4.999741216732384e-11,-5.008353397304559e-11,-5.0083533973045616e-11
0.000125892541179,0.000125892541179,0.16666666666666666,-3.336031538012315e-11,-1.6723218592922447e-11,-5.00835339730456e-11,-5.0083533973045616e-11
0.000125892541179,0.000125892541179,0.25,-0.0,-5.00835339730456e-11,-5.00835339730456e-11,-5.0083533973045616e-11
0.000158489319246,0.000158489319246,0.0,-1.5851860218732774e-10,7.917627437875047e-11,-7.934232780857727e-11,-7.934232780857731e-11
0.000158489319246,0.000158489319246,0.16666666666666666,-5.283953406244258e-11,-2.6502793746134683e-11,-7.934232780857727e-11,-7.934232780857731e-11
0.000158489319246,0.000158489319246,0.25,-0.0,-7.934232780857727e-11,-7.934232780857727e-11,-7.934232780857731e-11
0.000199526231497,0.000199526231497,0.0,-2.5104461302217163e-10,1.253624099711442e-10,-1.2568220305102744e-10,-1.2568220305102752e-10
0.000199526231497,0.000199526231497,0.16666666666666666,-8.368153767405722e-11,-4.200066537697021e-11,-1.2568220305102744e-10,-1.2568220305102752e-10
0.000199526231497,0.000199526231497,0.25,-0.0,-1.2568220305102744e-10,-1.2568220305102744e-10,-1.2568220305102752e-10
0.000251188643151,0.000251188643151,0.0,-3.9751308183587497e-10,1.9844899324256588e-10,-1.990640885933091e-10,-1.990640885933092e-10
0.000251188643151,0.000251188643151,0.16666666666666666,-1.3250436061195834e-10,-6.655972798135075e-11,-1.990640885933091e-10,-1.990640885933092e-10
0.000251188643151,0.000251188643151,0.25,-0.0,-1.990640885933091e-10,-1.990640885933091e-10,-1.990640885933092e-10
0.000316227766017,0.000316227766017,0.0,-6.293140941142755e-10,3.1406630140241963e-10,-3.1524779271185586e-10,-3.15247792711856e-10
0.000316227766017,0.000316227766017,0.16666666666666666,-2.0977136470475853e-10,-1.0547642800709734e-10,-3.1524779271185586e-10,-3.15247792711856e-10
0.000316227766017,0.000316227766017,0.25,-0.0,-3.1524779271185586e-10,-3.1524779271185586e-10,-3.15247792711856e-10
0.000398107170553,0.000398107170553,0.0,-9.960517816939027e-10,4.96892806144166e-10,-4.991589755497367e-10,-4.991589755497369e-10
0.000398107170553,0.000398107170553,0.16666666666666666,-3.3201726056463426e-10,-1.6714171498510247e-10,-4.991589755497367e-10,-4.991589755497369e-10
0.000398107170553,0.000398107170553,0.25,-0.0,-4.991589755497367e-10,-4.991589755497367e-10,-4.991589755497369e-10
0.000501187233627,0.000501187233627,0.0,-1.5760662673740641e-09,7.858631665008216e-10,-7.902031008732426e-10,-7.902031008732431e-10
0.000501187233627,0.000501187233627,0.16666666666666666,-5.253554224580215e-10,-2.648476784152212e-10,-7.902031008732427e-10,-7.902031008732431e-10
0.000501187233627,0.000501187233627,0.25,-0.0,-7.902031008732427e-10,-7.902031008732427e-10,-7.902031008732431e-10
0.00063095734448,0.00063095734448,0.0,-2.492992724391004e-09,1.2423475493705941e-09,-1.25064517502041e-09,-1.2506451750204104e-09
0.00063095734448,0.00063095734448,0.16666666666666666,-8.309975747970015e-10,-4.1964760022340856e-10,-1.25064517502041e-09,-1.2506451750204104e-09
0.00063095734448,0.00063095734448,0.25,-0.0,-1.25064517502041e-09,-1.25064517502041e-09,-1.2506451750204104e-09
0.000794328234724,0.000794328234724,0.0,-3.941785462136736e-09,1.96297463753482e-09,-1.9788108246019156e-09,-1.9788108246019172e-09
0.000794328234724,0.000794328234724,0.16666666666666666,-1.313928487378912e-09,-6.648823372230038e-10,-1.978810824601916e-09,-1.9788108246019172e-09
0.000794328234724,0.000794328234724,0.25,-0.0,-1.978810824601916e-09,-1.978810824601916e-09,-1.9788108246019172e-09
0.001,0.0001,0.0,-6.270411101622346e-10,3.1259981422921815e-10,-3.144412959330165e-10,-3.1444129593301665e-10
0.001,0.0001,0.16666666666666666,-2.0901370338741157e-10,-1.0542759254560493e-10,-3.144412959330165e-10,-3.1444129593301665e-10
0.001,0.0001,0.25,-0.0,-3.144412959330165e-10,-3.144412959330165e-10,-3.1444129593301665e-10
0.001,0.001,0.0,-6.229550358964268e-09,3.0996922901827864e-09,-3.1298580687814816e-09,-3.1298580687814832e-09
0.001,0.001,0.16666666666666666,-2.076516786321423e-09,-1.0533412824600586e-09,-3.1298580687814816e-09,-3.1298580687814832e-09
0.001,0.001,0.25,-0.0,-3.1298580687814816e-09,-3.1298580687814816e-09,-3.1298580687814832e-09
0.001,0.01,0.0,-5.9454494430321255e-08,2.9193110712717243e-08,-3.026138371760401e-08,-3.026138371760403e-08
0.001,0.01,0.16666666666666666,-1.9818164810107087e-08,-1.0443218907496926e-08,-3.026138371760401e-08,-3.026138371760403e-08
0.001,0.01,0.25,-0.0,-3.026138371760401e-08,-3.026138371760401e-08,-3.026138371760403e-08
0.001,0.1,0.0,-4.6583885609292505e-07,2.1352012908479712e-07,-2.5231872700812793e-07,-2.5231872700812814e-07
0.001,0.1,0.16666666666666666,-1.552796186976417e-07,-9.703910831048625e-08,-2.52318727008128e-07,-2.5231872700812814e-07
0.001,0.1,0.25,-0.0,-2.52318727008128e-07,-2.52318727008128e-07,-2.5231872700812814e-07
0.001,1.0,0.0,-1.9427199824960355e-06,6.660815094534835e-07,-1.276638473042552e-06,-1.2766384730425531e-06
0.001,1.0,0.16666666666666666,-6.475733274986785e-07,-6.290651455438734e-07,-1.2766384730425519e-06,-1.2766384730425531e-06
0.001,1.0,0.25,-0.0,-1.2766384730425519e-06,-1.2766384730425519e-06,-1.2766384730425531e-06
0.001,10.0,0.0,-3.0594101924362605e-06,3.9028840335569546e-07,-2.6691217890805653e-06,-2.669121789080567e-06
0.001,10.0,0.16666666666666666,-1.0198033974787537e-06,-1.6493183916018116e-06,-2.6691217890805653e-06,-2.669121789080567e-06
0.001,10.0,0.25,-0.0,-2.6691217890805653e-06,-2.6691217890805653e-06,-2.669121789080567e-06
0.001,100.0,0.0,-3.1598260712565024e-06,5.738086262597461e-08,-3.1024452086305278e-06,-3.102445208630528e-06
0.001,100.0,0.16666666666666666,-1.053275357085501e-06,-2.049169851545027e-06,-3.1024452086305278e-06,-3.102445208630528e-06
0.001,100.0,0.25,-0.0,-3.1024452086305278e-06,-3.1024452086305278e-06,-3.102445208630528e-06
0.001,1000.0,0.0,-3.1615442361029735e-06,3.935176879123841e-09,-3.1576090592238496e-06,-3.157609059223851e-06
0.001,1000.0,0.16666666666666666,-1.0538480787009912e-06,-2.103760980522858e-06,-3.1576090592238496e-06,-3.157609059223851e-06
0.001,1000.0,0.25,-0.0,-3.1576090592238496e-06,-3.1576090592238496e-06,-3.157609059223851e-06
0.001,10000.0,0.0,-3.1615607578181934e-06,-1.726754559503994e-09,-3.1632875123776974e-06,-3.1632875123776986e-06
0.001,10000.0,0.16666666666666666,-1.053853585939398e-06,-2.1094339264382994e-06,-3.1632875123776974e-06,-3.1632875123776986e-06
0.001,10000.0,0.25,-0.0,-3.1632875123776974e-06,-3.1632875123776974e-06,-3.1632875123776986e-06
0.00125892541179,0.00125892541179,0.0,-9.83948832424696e-09,4.891072632642611e-09,-4.9484156916043484e-09,-4.948415691604352e-09
0.00125892541179,0.00125892541179,0.16666666666666666,-3.2798294414156537e-09,-1.6685862501886954e-09,-4.948415691604349e-09,-4.948415691604352e-09
0.00125892541179,0.00125892541179,0.25,-0.0,-4.948415691604349e-09,-4.948415691604349e-09,-4.948415691604352e-09
0.00158489319246,0.00158489319246,0.0,-1.5530802720778863e-08,7.711020195401637e-09,-7.819782525377226e-09,-7.819782525377231e-09
0.00158489319246,0.00158489319246,0.16666666666666666,-5.176934240259622e-09,-2.6428482851176056e-09,-7.819782525377228e-09,-7.819782525377231e-09
0.00158489319246,0.00158489319246,0.25,-0.0,-7.819782525377228e-09,-7.819782525377228e-09,-7.819782525377231e-09
0.00199526231497,0.00199526231497,0.0,-2.4494380058153043e-08,1.2144293810439619e-08,-1.2350086247713425e-08,-1.235008624771343e-08
0.00199526231497,0.00199526231497,0.16666666666666666,-8.164793352717682e-09,-4.1852928949957416e-09,-1.2350086247713425e-08,-1.235008624771343e-08
0.00199526231497,0.00199526231497,0.25,-0.0,-1.2350086247713425e-08,-1.2350086247713425e-08,-1.235008624771343e-08
0.00251188643151,0.00251188643151,0.0,-3.859461600545188e-08,1.9103122047305945e-08,-1.9491493958145936e-08,-1.949149395814595e-08
0.00251188643151,0.00251188643151,0.16666666666666666,-1.2864872001817295e-08,-6.62662195632864e-09,-1.9491493958145936e-08,-1.949149395814595e-08
0.00251188643151,0.00251188643151,0.25,-0.0,-1.9491493958145936e-08,-1.9491493958145936e-08,-1.949149395814595e-08
0.00316227766017,0.00316227766017,0.0,-6.074366807513622e-08,3.00063995998169e-08,-3.073726847531932e-08,-3.073726847531933e-08
0.00316227766017,0.00316227766017,0.16666666666666666,-2.024788935837874e-08,-1.0489379116940573e-08,-3.073726847531931e-08,-3.073726847531933e-08
0.00316227766017,0.00316227766017,0.25,-0.0,-3.073726847531931e-08,-3.073726847531931e-08,-3.073726847531933e-08
0.00398107170553,0.00398107170553,0.0,-9.547814763885199e-08,4.705347376534702e-08,-4.842467387350497e-08,-4.8424673873505e-08
0.00398107170553,0.00398107170553,0.16666666666666666,-3.182604921295067e-08,-1.6598624660554307e-08,-4.842467387350498e-08,-4.8424673873505e-08
0.00398107170553,0.00398107170553,0.25,-0.0,-4.842467387350498e-08,-4.842467387350498e-08,-4.8424673873505e-08
0.00501187233627,0.00501187233627,0.0,-1.4984325356157214e-07,7.363962627837596e-08,-7.620362728319618e-08,-7.620362728319622e-08
0.00501187233627,0.00501187233627,0.16666666666666666,-4.994775118719072e-08,-2.6255876096005458e-08,-7.620362728319618e-08,-7.620362728319622e-08
0.00501187233627,0.00501187233627,0.25,-0.0,-7.620362728319618e-08,-7.620362728319618e-08,-7.620362728319622e-08
0.0063095734448,0.0063095734448,0.0,-2.3474021668045776e-07,1.1498154568628786e-07,-1.197586709941699e-07,-1.1975867099416996e-07
0.0063095734448,0.0063095734448,0.16666666666666666,-7.824673889348593e-08,-4.1511932100683974e-08,-1.197586709941699e-07,-1.1975867099416996e-07
0.0063095734448,0.0063095734448,0.25,-0.0,-1.197586709941699e-07,-1.197586709941699e-07,-1.1975867099416996e-07
0.00794328234724,0.00794328234724,0.0,-3.669656074945515e-07,1.7904999397038056e-07,-1.8791561352417096e-07,-1.8791561352417107e-07
0.00794328234724,0.00794328234724,0.16666666666666666,-1.2232186916485053e-07,-6.559374435932045e-08,-1.8791561352417099e-07,-1.8791561352417107e-07
0.00794328234724,0.00794328234724,0.25,-0.0,-1.8791561352417099e-07,-1.8791561352417099e-07,-1.8791561352417107e-07
0.01,0.0001,0.0,-5.9724174467286615e-09,2.9364050477579744e-09,-3.036012398970687e-09,-3.036012398970689e-09
0.01,0.0001,0.16666666666666666,-1.9908058155762208e-09,-1.0452065833944664e-09,-3.036012398970687e-09,-3.036012398970689e-09
0.01,0.0001,0.25,-0.0,-3.036012398970687e-09,-3.036012398970687e-09,-3.036012398970689e-09
0.01,0.001,0.0,-5.945449443032124e-08,2.9193110712717236e-08,-3.0261383717604005e-08,-3.0261383717604025e-08
0.01,0.001,0.16666666666666666,-1.9818164810107084e-08,-1.0443218907496926e-08,-3.026138371760401e-08,-3.0261383717604025e-08
0.01,0.001,0.25,-0.0,-3.026138371760401e-08,-3.026138371760401e-08,-3.0261383717604025e-08
0.01,0.01,0.0,-5.722727076983237e-07,2.77944820331292e-07,-2.9432788736703174e-07,-2.943278873670319e-07
0.01,0.01,0.16666666666666666,-1.907575692327746e-07,-1.0357031813425715e-07,-2.9432788736703174e-07,-2.943278873670319e-07
0.01,0.01,0.25,-0.0,-2.9432788736703174e-07,-2.9432788736703174e-07,-2.943278873670319e-07
0.01,0.1,0.0,-4.547705040430067e-06,2.0681414248952546e-06,-2.479563615534812e-06,-2.479563615534814e-06
0.01,0.1,0.16666666666666666,-1.5159016801433558e-06,-9.636619353914563e-07,-2.479563615534812e-06,-2.479563615534814e-06
0.01,0.1,0.25,-0.0,-2.479563615534812e-06,-2.479563615534812e-06,-2.479563615534814e-06
0.01,1.0,0.0,-1.914138565680162e-05,6.500408024186807e-06,-1.2640977632614814e-05,-1.2640977632614824e-05
0.01,1.0,0.16666666666666666,-6.380461885600541e-06,-6.2605157470142734e-06,-1.2640977632614814e-05,-1.2640977632614824e-05
0.01,1.0,0.25,-0.0,-1.2640977632614814e-05,-1.2640977632614814e-05,-1.2640977632614824e-05
0.01,10.0,0.0,-3.02026998898416e-05,3.701921757559207e-06,-2.6500778132282394e-05,-2.650077813228241e-05
0.01,10.0,0.16666666666666666,-1.0067566629947202e-05,-1.6433211502335194e-05,-2.6500778132282398e-05,-2.650077813228241e-05
0.01,10.0,0.25,-0.0,-2.6500778132282398e-05,-2.6500778132282398e-05,-2.650077813228241e-05
0.01,100.0,0.0,-3.118857641195989e-05,3.7020367616098757e-07,-3.0818372735798907e-05,-3.081837273579891e-05
0.01,100.0,0.16666666666666666,-1.0396192137319965e-05,-2.042218059847894e-05,-3.0818372735798907e-05,-3.081837273579891e-05
0.01,100.0,0.25,-0.0,-3.0818372735798907e-05,-3.0818372735798907e-05,-3.081837273579891e-05
0.01,1000.0,0.0,-3.1203854436703864e-05,-1.6428690834160818e-07,-3.136814134504547e-05,-3.136814134504547e-05
0.01,1000.0,0.16666666666666666,-1.0401284812234622e-05,-2.096685653281085e-05,-3.136814134504547e-05,-3.136814134504547e-05
0.01,1000.0,0.25,-0.0,-3.136814134504547e-05,-3.136814134504547e-05,-3.136814134504547e-05
0.01,10000.0,0.0,-3.1203829168319264e-05,-2.2090574740075465e-07,-3.142473491572002e-05,-3.142473491572003e-05
0.01,10000.0,0.16666666666666666,-1.0401276389439756e-05,-2.1023458526280264e-05,-3.142473491572002e-05,-3.142473491572003e-05
0.01,10000.0,0.25,-0.0,-3.142473491572002e-05,-3.142473491572002e-05,-3.142473491572003e-05
0.0125892541179,0.0125892541179,0.0,-8.899234683731824e-07,4.2989461611686276e-07,-4.600288522563197e-07,-4.6002885225632e-07
0.0125892541179,0.0125892541179,0.16666666666666666,-2.966411561243942e-07,-1.633876961319255e-07,-4.600288522563197e-07,-4.6002885225632e-07
0.0125892541179,0.0125892541179,0.25,-0.0,-4.600288522563197e-07,-4.600288522563197e-07,-4.6002885225632e-07
0.0158489319246,0.0158489319246,0.0,-1.379381160769939e-06,6.621169750691887e-07,-7.172641857007502e-07,-7.172641857007507e-07
0.0158489319246,0.0158489319246,0.16666666666666666,-4.5979372025664634e-07,-2.5747046544410396e-07,-7.172641857007502e-07,-7.172641857007507e-07
0.0158489319246,0.0158489319246,0.25,-0.0,-7.172641857007502e-07,-7.172641857007502e-07,-7.172641857007507e-07
0.0199526231497,0.0199526231497,0.0,-2.1300206667238262e-06,1.014827192000103e-06,-1.1151934747237231e-06,-1.1151934747237236e-06
