s,level,points,type_iv,min_source_delta,min_delta_l,min_candidate_f,min_reference_f,stationary_areal_domain,first_nonpositive_f_l,outer_mass_change,max_static_lapse_quadrature_error,endpoint_stored_coordinate_energy,reservoir_stored_coordinate_energy
0.745,0,135,16,-1.6086620563109159e-06,-2.00390625,5.121851325173843e-06,5.121851325173843e-06,True,,-1.6694466461476876,0.06154085345681892,0.15542009310988036,0.012753727534513133
0.745,1,263,29,-1.6083322479601308e-06,-2.00390625,5.121851325173843e-06,5.121851325173843e-06,True,,-1.6694421526160022,0.01746210485434574,0.15542079823546068,0.012779663883493636
0.745,2,519,56,-1.608246967211128e-06,-2.00390625,5.121851325173843e-06,5.121851325173843e-06,True,,-1.6694620801886915,0.005426484666330111,0.15541706908350894,0.01277947180872896
1.2850000000000001,0,135,24,-0.00010312179597804146,-2.21875,0.00022931559649985722,0.00022931559649985722,True,,-1.181205366153655,0.019746018742687,0.39136320291591487,0.026306508491639836
1.2850000000000001,1,263,45,-0.0001037126581885302,-2.197265625,0.0002293155965003013,0.0002293155965003013,True,,-1.18104841999304,0.004988509121186979,0.3914318898399421,0.02633966196011085
1.2850000000000001,2,519,88,-0.0001037101249816044,-2.197265625,0.0002293155964991911,0.0002293155964991911,True,,-1.1810344473058954,0.0010612719049252206,0.39144506330863177,0.026339431715656298
1.5718085106382975,0,135,41,-0.00021770779912490596,-2.17578125,0.001893334215472109,0.001893334215472109,True,,-0.4905392860909896,0.004015950232130638,0.7314893313266403,0.039844082942841516
1.5718085106382975,1,263,82,-0.00021783085344274602,-2.154296875,0.0018933342154807686,0.0018933342154807686,True,,-0.4899520071734493,0.0010154377998214947,0.7317394172064586,0.039908744813701554
1.5718085106382975,2,519,162,-0.00021798858402874172,-2.1650390625,0.0018933342154634492,0.0018933342154634492,True,,-0.48985244867768757,0.00021696240103974418,0.7317950645477437,0.039908556789202174
1.645,0,135,47,-0.00023602507152512456,-2.1328125,-0.08516613964032183,0.0031481721371371396,False,-1.40234375,-0.21871674451466985,0.0026447452527214033,0.8655830326575418,0.04475309074937869
1.645,1,263,92,-0.0002360231445594069,-2.1328125,-0.08547893260071593,0.00314817213715346,False,-1.380859375,-0.21792008632276536,0.0006685771581844691,0.8659255217821478,0.04482900966753509
1.645,2,519,182,-0.00023602268182336945,-2.1328125,-0.0855467084738546,0.0031481721371416915,False,-1.380859375,-0.21777687052085562,0.00014270629639767662,0.8660028524786043,0.04482882254684882
1.878989361702128,0,135,59,-0.00015519425877644986,-2.1328125,-0.6097906137402396,0.01355808107619827,False,-0.84375,1.0897195155632555,0.00018421114624933566,1.4601084277316911,0.11679192838997657
1.878989361702128,1,263,119,-0.00015519384815222432,-2.1328125,-0.6088454036855679,0.013558081076223805,False,-0.84375,1.0881831775964776,4.6029078467624274e-05,1.4593021183455779,0.11684521392757118
1.878989361702128,2,519,238,-0.00015519380523695196,-2.1328125,-0.6086594951820561,0.013558081076218143,False,-0.84375,1.087790963927741,1.1502286680009632e-05,1.459110679012825,0.11684537270560265
2.005,0,135,61,-4.830469409051498e-05,-2.21875,-0.7412161738295258,0.025670054875154058,False,-0.875,1.2956235651456658,0.00010574893474668556,1.5949276775215586,0.09247634799127293
2.005,1,263,122,-4.8469882421312384e-05,-2.197265625,-0.7414353047938929,0.02567005487518914,False,-0.865234375,1.2957108302639415,2.674255680323867e-05,1.5949871731079595,0.09247215656256338
2.005,2,519,245,-4.8490358110264416e-05,-2.2080078125,-0.7414937509455872,0.025670054875172932,False,-0.865234375,1.2957361900491229,6.9714616510729854e-06,1.5950047349552408,0.0924716609355528
2.6,0,135,47,-9.967849702810643e-06,-2.046875,0.0764195873022,0.0764195873022,True,,-1.6245241158902686,1.2277573313568269e-07,0.2442280625581006,0.00955964762646951
2.6,1,263,92,-9.987638280736905e-06,-2.068359375,0.07641958730209342,0.07641958730209342,True,,-1.6245073757345563,2.1011446804664047e-08,0.244236028263403,0.009558840442008928
2.6,2,519,183,-9.987610862325253e-06,-2.068359375,0.07641958730165155,0.07641958730165155,True,,-1.6245113172118761,7.75042330314335e-09,0.2442377113529818,0.009558742965127313
5.0,0,135,0,2.5508930304333953e-08,-6.0,0.07547206088889269,0.07547206088889269,True,,-2.147999965685378,1.2100783575164087e-07,0.00010559596393054825,4.139931647074998e-06
5.0,1,263,0,2.5508940020075516e-08,-6.0,0.07547206088882774,0.07547206088882774,True,,-2.1479901962193315,2.078196748023231e-08,0.00010560018561970447,4.139714414604229e-06
5.0,2,519,0,2.5508918408791647e-08,-6.0,0.07547206088892522,0.07547206088892522,True,,-2.147997161774954,8.060958567313037e-09,0.00010560086829222021,4.139255670919871e-06
15.0,0,135,0,2.5508923899215906e-08,-6.0,0.07547169811317089,0.07547169811317089,True,,-2.148225523496638,1.2086957434931378e-07,0.0,0.0
15.0,1,263,0,2.5508933616367316e-08,-6.0,0.07547169811313015,0.07547169811313015,True,,-2.148215759363983,2.0760912544659504e-08,0.0,0.0
15.0,2,519,0,2.5508929757944594e-08,-6.0,0.07547169811309762,0.07547169811309762,True,,-2.1482227253309416,8.053108624395122e-09,0.0,0.0
