holding,distance_per_h_l,cutoff,upper_distance,points,source_frame_norm_proper_integral
False,16,0.01,0.02,23,0.0024141023157102834
False,16,0.001,0.02,97,0.005139546835704082
False,16,0.0001,0.02,171,0.007879714244155386
False,16,1e-05,0.02,244,0.016141934767818635
False,32,0.01,0.02,23,0.002413838479807775
False,32,0.001,0.02,97,0.005136696567976324
False,32,0.0001,0.02,171,0.007867296413735837
False,32,1e-05,0.02,244,0.016099128407626347
True,16,0.01,0.02,23,0.0002949180921746271
True,16,0.001,0.02,97,0.001208666526980054
True,16,0.0001,0.02,171,0.003809263543985716
True,16,1e-05,0.02,244,0.012058325272943921
True,32,0.01,0.02,23,0.0002946343575188033
True,32,0.001,0.02,97,0.0012054781373461846
True,32,0.0001,0.02,171,0.0037964815145450958
True,32,1e-05,0.02,244,0.01201515458561319
