study,width_factor,s,level,holding,points,type_i,type_iv,other_type,uncertified,min_delta,min_delta_s,min_delta_l,min_nec_type_i,min_wec_type_i,min_dec_type_i,max_abs_p_omega,max_abs_j_l,max_imaginary_eigenvalue,max_eigen_equation_error,l_min,l_max,source_frame_norm_proper_integral,source_frame_norm_volume_integral,type_iv_proper_length,imaginary_eigenvalue_proper_integral,max_projection_relative_error,max_transverse_to_density
phase_profile,1.0,-1.5,0,False,81,79,2,0,0,-1.5635177671262988e-05,-1.5,-1.2999999999999998,-0.06471806224572978,-0.06471806224572978,-0.23644892183474886,0.22724634829173657,0.00561843596012556,0.0019770671252680692,2.2204460492503106e-16,-4.0,4.0,16.45606197794178,1005.8914928395686,3.1540117145202453,0.002775996927172029,0.0005350021877688117,373.89924118090306
phase_profile,1.0,-1.5,0,True,81,81,0,0,0,3.629502637904954e-15,-1.5,0.0,-0.02319100917359866,-0.02319100917359866,-0.09061336032281246,0.07825460376023446,0.0,0.0,1.1102230246251565e-16,-4.0,4.0,16.10784329901227,968.5347356690363,0.0,0.0,1.0847479283142334e-08,38.39885645698447
phase_profile,1.0,-1.5,1,False,161,156,5,0,0,-1.5796331319951478e-05,-1.5,-1.2999999999999998,-0.06472451631008778,-0.06472451631008778,-0.24078268182977036,0.23324002876405486,0.005668127709454452,0.001987229938881727,2.2204460492496154e-16,-4.0,4.0,16.45659006639849,1005.9801762859883,4.5006485208981815,0.0030162533716699964,0.00017500663610837294,390.8810604679968
phase_profile,1.0,-1.5,1,True,161,161,0,0,0,3.62950717401628e-15,-1.5,0.0,-0.023262864345131296,-0.023262864345131296,-0.09143060648425409,0.07913799988139686,0.0,0.0,1.1102230246251565e-16,-4.0,4.0,16.10659707381139,968.4126361649292,0.0,0.0,1.0847523752962877e-08,38.27374931590142
phase_profile,1.0,-1.5,2,False,321,311,10,0,0,-1.71849714032221e-05,-1.5,-1.3249999999999997,-0.06472612719955996,-0.06472612719955996,-0.24244496333537036,0.23408160120450983,0.005735067034006887,0.002072738008240676,2.220446049250136e-16,-4.0,4.0,16.45603251018942,1005.9084905204131,4.061298797701685,0.0029658137402773584,7.353942488772495e-05,395.36960827842233
phase_profile,1.0,-1.5,2,True,321,321,0,0,0,3.629505058752513e-15,-1.5,0.0,-0.023337580153748275,-0.023337580153748275,-0.09153089495897898,0.07914449248162905,0.0,0.0,1.1102230246251565e-16,-4.0,4.0,16.107177791184384,968.4717440060142,0.0,0.0,1.0847534839219896e-08,38.24259746821504
phase_profile,1.0,-0.6662234042553191,0,False,81,67,14,0,0,-7.872318324924285e-06,-0.6662234042553191,-0.8999999999999999,-0.05314900421795279,-0.05314900421795279,-0.09061529977497437,0.07825622504115046,0.0033099544147176235,0.001402882597094665,2.220446045348321e-16,-4.0,4.0,11.468268423154992,728.6281907905416,107.45654015566325,0.004398992887955465,0.0008119155048347244,63.261041376543645
phase_profile,1.0,-0.6662234042553191,0,True,81,81,0,0,0,3.1083894477113316e-15,-0.6662234042553191,0.10000000000000053,-0.023191844911563234,-0.023191844911563234,-0.09061366801988825,0.07825459334080764,0.0,0.0,1.1102230246251565e-16,-4.0,4.0,11.180811515264413,701.2291020149157,0.0,0.0,1.0848393777806321e-08,41.11230424362271
phase_profile,1.0,-0.6662234042553191,1,False,161,136,25,0,0,-1.1521524419166655e-05,-0.6662234042553191,-0.8499999999999996,-0.05313765600693403,-0.05313765600693403,-0.09143268203038438,0.07913965933863099,0.0033157834905828704,0.0016971685552094307,2.482534153247273e-16,-4.0,4.0,11.46769396617934,728.5374732626299,90.6102584761552,0.004007984327947148,0.00030053335789768324,63.671336325222256
phase_profile,1.0,-0.6662234042553191,1,True,161,161,0,0,0,3.1072249309607986e-15,-0.6662234042553191,0.10000000000000053,-0.023263587917403857,-0.023263587917403857,-0.09143104685017786,0.07913802433705686,0.0,0.0,1.1102230246251565e-16,-4.0,4.0,11.182342401997623,701.2890000898942,0.0,0.0,1.0848437961530933e-08,40.98671039201641
phase_profile,1.0,-0.6662234042553191,2,False,321,272,49,0,0,-1.14803185596295e-05,-0.6662234042553191,-0.8499999999999996,-0.05716990087987644,-0.05716990087987644,-0.09153290927424332,0.07914613690078079,0.0033489798039535706,0.0016941309394221506,2.2247786310271853e-16,-4.0,4.0,11.467419547360727,728.5035176943977,89.46935154251466,0.003915455635282659,7.650915019173793e-05,85.19109834269659
phase_profile,1.0,-0.6662234042553191,2,True,321,321,0,0,0,3.05004560018177e-15,-0.6662234042553191,0.125,-0.023338365624843004,-0.023338365624843004,-0.09153127234369816,0.07914450007629936,0.0,0.0,1.1102230246251565e-16,-4.0,4.0,11.182369919594496,701.2897298253595,0.0,0.0,1.0848448683689879e-08,40.95542182341454
phase_profile,1.0,-0.5784574468085106,0,False,81,68,13,0,0,-2.3773704591283638e-05,-0.5784574468085106,-0.7999999999999998,-0.032066070172872496,-0.032066070172872496,-0.09061596251870843,0.07825677263901151,0.0051275608466764145,0.002437914302804943,2.2204460147159997e-16,-4.0,4.0,10.557176555312182,677.9959325958375,135.90866091356207,0.0039035536115803763,0.002119657396858705,60.253261617552305
phase_profile,1.0,-0.5784574468085106,0,True,81,81,0,0,0,1.6726427817879877e-15,-0.5784574468085106,0.20000000000000018,-0.02319214734375552,-0.02319214734375552,-0.09061377953936868,0.07825458960989018,0.0,0.0,1.1102230246251565e-16,-4.0,4.0,10.519436613497556,670.6178419946039,0.0,0.0,1.0848724776509674e-08,43.68505705398503
phase_profile,1.0,-0.5784574468085106,1,False,161,134,27,0,0,-3.62892964238025e-05,-0.5784574468085106,-0.75,-0.05391362926274571,-0.05391362926274571,-0.09143338731431058,0.07914021416535241,0.005997643435027724,0.0030120298979177855,4.436519864558258e-16,-4.0,4.0,10.556876877657647,677.8641707419266,134.7013937066671,0.004164451600179087,0.0006173265273610678,60.53457591774346
phase_profile,1.0,-0.5784574468085106,1,True,161,161,0,0,0,1.670365536874527e-15,-0.5784574468085106,0.20000000000000018,-0.02326384987519574,-0.02326384987519574,-0.09143120682933015,0.08294867364506163,0.0,0.0,1.1102230246251565e-16,-4.0,4.0,10.520142865268673,670.6345099937719,0.0,0.0,1.0848769311190425e-08,43.56039689309329
phase_profile,1.0,-0.5784574468085106,2,False,321,267,54,0,0,-3.6347860911405326e-05,-0.5784574468085106,-0.75,-0.05391421445781534,-0.05391421445781534,-0.09153359673155205,0.07914669051402679,0.005997247415359528,0.0030144593591308107,2.2259280555512065e-16,-4.0,4.0,10.556546634571832,677.8345801937025,145.190463698069,0.004170996483136673,0.00018375348404370148,76.74565384206517
phase_profile,1.0,-0.5784574468085106,2,True,321,321,0,0,0,1.6279892016883712e-15,-0.5784574468085106,0.17499999999999982,-0.02333864992958503,-0.02333864992958503,-0.09153140923094795,0.0829376738046943,0.0,0.0,1.1102230246251565e-16,-4.0,4.0,10.520017775214107,670.6275775148315,0.0,0.0,1.0848780125935065e-08,43.52932733032358
phase_profile,1.0,0.6502659574468086,0,False,81,59,22,0,0,-1.531724776727711e-05,0.6502659574468086,0.6000000000000005,-0.021690115207185914,-0.021690115207185914,-0.08965364329465632,0.07823408956845238,0.0022340455809379822,0.0019568627805288943,2.2202897974685677e-16,-4.0,4.0,3.7009729197708836,245.1615310785275,233.17192735717103,0.0029358244136227264,0.0003636183073504113,14.622469560302175
phase_profile,1.0,0.6502659574468086,0,True,81,81,0,0,0,5.437236092997584e-13,0.6502659574468086,-0.19999999999999973,-0.022371519491922932,-0.022371519491922932,-0.08479840410022618,0.07317186361235771,0.0,0.0,1.1102230246251565e-16,-4.0,4.0,3.68256281426497,242.71557271402457,0.0,0.0,1.0934562466802305e-08,10.448938765003703
phase_profile,1.0,0.6502659574468086,1,False,161,116,45,0,0,-1.6405750368309476e-05,0.6502659574468086,0.6500000000000004,-0.02168974049696987,-0.02168974049696987,-0.08965085466223047,0.07823096898018304,0.0022334747034046106,0.002025200630080232,2.2201346239900722e-16,-4.0,4.0,3.6995342149408934,245.06905565915253,232.36279940810576,0.0029716337453172584,9.090303784876971e-05,28.2502145844713
phase_profile,1.0,0.6502659574468086,1,True,161,161,0,0,0,5.100901572141353e-13,0.6502659574468086,-0.1499999999999999,-0.02237098151057935,-0.02237098151057935,-0.08479552080094535,0.07316872758479931,0.0,0.0,1.1102230246251565e-16,-4.0,4.0,3.679703542828225,242.5392806290755,0.0,0.0,1.0934606723553955e-08,20.692813520057637
phase_profile,1.0,0.6502659574468086,2,False,321,230,91,0,0,-1.641110739686459e-05,0.6502659574468086,0.6500000000000004,-0.0217402631945628,-0.0217402631945628,-0.08971087880830234,0.07823018887155969,0.0022333492913973046,0.0020255312511082485,3.3304939587128165e-16,-4.0,4.0,3.6996070813580166,245.0739072622528,230.65783336662582,0.0030029640902340267,2.3013354499768094e-05,121.84633087380318
phase_profile,1.0,0.6502659574468086,2,True,321,321,0,0,0,5.101481416108027e-13,0.6502659574468086,-0.1499999999999999,-0.02244958518893481,-0.02244958518893481,-0.08514861439303713,0.07342700914330427,0.0,0.0,1.1102230246251565e-16,-4.0,4.0,3.6798309037552883,242.54720545645142,0.0,0.0,1.0934617608187495e-08,110.5686388068814
phase_profile,1.0,1.2646276595744683,0,False,81,55,26,0,0,-3.750262850155803e-05,1.2646276595744683,1.6000000000000005,-0.05515341052339001,-0.05515341052339001,-0.10585355903180521,0.10707784622445748,0.005079090547903043,0.0030619694847253956,2.2204460492386601e-16,-4.0,4.0,0.984062219895131,76.17535270022466,36.146743114965005,0.014581275261585362,0.001111234266279138,1389.1313781779188
phase_profile,1.0,1.2646276595744683,0,True,81,81,0,0,0,2.0328826837935778e-10,1.2646276595744683,-0.8999999999999999,-0.05477143492390736,-0.05477143492390736,-0.11294258377101705,0.11238171968372956,0.0,0.0,1.1102230246251565e-16,-4.0,4.0,1.0205807670055298,79.15171672357411,0.0,0.0,1.1462921733114951e-08,200.37246497140256
phase_profile,1.0,1.2646276595744683,1,False,161,110,51,0,0,-3.84210779167864e-05,1.2646276595744683,1.6500000000000004,-0.05512484433523022,-0.05512484433523022,-0.11711991047397388,0.11922692128382792,0.005145776220479334,0.0030992369188554466,3.3160715043329975e-16,-4.0,4.0,0.9754107998663109,75.45260309798435,34.85669262367441,0.014689820982701569,0.0002778733017504597,1377.7469839546318
phase_profile,1.0,1.2646276595744683,1,True,161,161,0,0,0,1.205127085402147e-10,1.2646276595744683,0.5499999999999998,-0.08221953031157962,-0.08221953031157962,-0.1303148181168046,0.1311873683341488,0.0,0.0,1.1102230246251565e-16,-4.0,4.0,1.002222084311952,77.58616837624002,0.0,0.0,1.1462966087865192e-08,199.6078055694772
phase_profile,1.0,1.2646276595744683,2,False,321,219,102,0,0,-3.838807002782157e-05,1.2646276595744683,1.6500000000000004,-0.05511767757042326,-0.05511767757042326,-0.11713162252228207,0.11922824695099515,0.005145526340967951,0.00309790534183267,2.2887833992611187e-16,-4.0,4.0,0.9908524050941143,76.41754864332967,35.083381602933976,0.014596965567199537,6.947237266050268e-05,1374.9317726307193
phase_profile,1.0,1.2646276595744683,2,True,321,321,0,0,0,2.0126438762360205e-11,1.2646276595744683,0.5750000000000002,-0.08223701861457075,-0.08223701861457075,-0.1303155865063546,0.13118843715425293,0.0,0.0,1.1102230246251565e-16,-4.0,4.0,1.0191612036311555,78.68836890523826,0.0,0.0,1.1462976901289875e-08,745.1088826030281
phase_profile,1.0,1.6156914893617025,0,False,81,46,35,0,0,-0.00017540192497152773,1.6156914893617025,-2.0,-0.25071945545133495,-0.25071945545133495,-0.6200488243154803,0.613465214623623,0.008467921543434545,0.006621969589395736,2.2887833992611187e-16,-4.0,4.0,0.7611879391268744,64.82175497602603,11.038212309444223,0.03192280208178793,0.005921646809698347,472.4546410627775
phase_profile,1.0,1.6156914893617025,0,True,81,81,0,0,0,1.0742981053862987e-10,1.6156914893617025,0.9000000000000004,-0.27155065981311327,-0.27155065981311327,-0.6308885050694818,0.622725541879493,0.0,0.0,1.1102230246251565e-16,-4.0,4.0,0.5774394778347716,52.72358878094556,0.0,0.0,1.267326734177849e-08,229.41325370303036
phase_profile,1.0,1.6156914893617025,1,False,161,91,70,0,0,-0.00018164306065781075,1.6156914893617025,-2.05,-0.2591231857925053,-0.2591231857925053,-0.6202052416326147,0.6135961811285884,0.00846756966865133,0.0067387510092340305,3.031891552795962e-16,-4.0,4.0,0.7767036035528612,66.61495988384164,11.212326509489039,0.03195402937770075,0.0014815939725327041,456.1854374530763
phase_profile,1.0,1.6156914893617025,1,True,161,161,0,0,0,1.860531952542123e-10,1.6156914893617025,0.9000000000000004,-0.2716613137223579,-0.2716613137223579,-0.6310439025379028,0.6228578670108107,0.0,0.0,1.1102230246251565e-16,-4.0,4.0,0.6013969074111744,55.16559199494049,0.0,0.0,1.267331352250224e-08,228.48479813374232
phase_profile,1.0,1.6156914893617025,2,False,321,183,138,0,0,-0.00018164112824672868,1.6156914893617025,-2.05,-0.4968662856784044,-0.4968662856784044,-0.7305366897467301,0.613628901111016,0.008469290463718877,0.006738715164011769,3.256454142615855e-16,-4.0,4.0,0.8566967820267314,71.58875200148955,10.995719392396357,0.0315355736369417,0.000374193378571255,2855.7188484792428
phase_profile,1.0,1.6156914893617025,2,True,321,321,0,0,0,2.090720474402654e-10,1.6156914893617025,0.9000000000000004,-0.5014705019248894,-0.5014705019248894,-0.7426832937730341,0.6228909269160087,0.0,0.0,1.1102230246251565e-16,-4.0,4.0,0.6841409239608026,60.31885266841972,0.0,0.0,1.2673324797566907e-08,899.4161697499445
phase_profile,1.0,1.878989361702128,0,False,81,25,56,0,0,-0.002064008825596269,1.878989361702128,-1.7999999999999998,-0.05981852762759932,-0.05981852762759932,-0.05981852762759932,0.08943215387279302,0.023009805406734547,0.022715681948800644,3.239279014839886e-16,-4.0,4.0,0.8539003578679927,54.75553031708902,9.093495158263067,0.07639456767428258,0.0004565613163833578,27.122223155700254
phase_profile,1.0,1.878989361702128,0,True,81,81,0,0,0,1.1528256828379623e-06,1.878989361702128,-4.0,-0.016484021928018032,-0.016484021928018032,-0.032820793171992164,0.026866736333421515,0.0,0.0,1.1102230246251565e-16,-4.0,4.0,0.1612245074803203,13.594342899151066,0.0,0.0,1.4724317522797206e-08,87.40230839834783
phase_profile,1.0,1.878989361702128,1,False,161,49,112,0,0,-0.0020643899091340027,1.878989361702128,-1.7999999999999998,-0.059810248950108585,-0.059810248950108585,-0.059810248950108585,0.08982139678055134,0.023012078444636486,0.022717778880944783,3.376611507232129e-16,-4.0,4.0,0.8545065789961639,54.799632178337696,9.165381202715956,0.07659721308401923,0.00011420073110713093,1277.7954692616252
phase_profile,1.0,1.878989361702128,1,True,161,161,0,0,0,1.1528192067485582e-06,1.878989361702128,-4.0,-0.016484901157024348,-0.016484901157024348,-0.03327602947434853,0.027016018134406468,0.0,0.0,1.1102230246251565e-16,-4.0,4.0,0.16120396623525263,13.595649389743201,0.0,0.0,1.4724364871631539e-08,87.31108972713017
phase_profile,1.0,1.878989361702128,2,False,321,100,221,0,0,-0.002064485201398105,1.878989361702128,-1.7999999999999998,-0.5883432429829633,-0.5883432429829633,-0.8186441129581434,0.2313168601566345,0.02301264680368755,0.022718303201373254,2.882983075955557e-16,-4.0,4.0,0.8883019232952476,56.731108527119055,9.020394782617803,0.0761745014822274,2.9297389761424433e-05,1289.4546385382093
phase_profile,1.0,1.878989361702128,2,True,321,321,0,0,0,1.152817617137277e-06,1.878989361702128,-4.0,-0.6038565809521829,-0.6038565809521829,-0.8942168215574364,0.2987530057000336,0.0,0.0,1.1102230246251565e-16,-4.0,4.0,0.20365908514562445,16.021929628969822,0.0,0.0,1.4724376423965428e-08,87.28829877379505
phase_profile,1.0,1.5718085106382975,0,False,81,54,27,0,0,-0.00013239974442711533,1.5718085106382975,-2.0,-0.2956569557270934,-0.2956569557270934,-0.5541055291401893,0.5475391933834557,0.007914568711519063,0.005753254392670191,2.2077850515823372e-16,-4.0,4.0,0.834610024480182,73.88521271259508,11.252793635156143,0.02797107911121041,0.0018594017283766473,131.3940024188029
phase_profile,1.0,1.5718085106382975,0,True,81,81,0,0,0,2.217162870824392e-09,1.5718085106382975,-0.8999999999999999,-0.2904247965800652,-0.2904247965800652,-0.5630325782903293,0.5545122125970958,0.0,0.0,1.1102230246251565e-16,-4.0,4.0,0.7338657784368663,67.24038398091545,0.0,0.0,1.2446829042762113e-08,144.4412213962956
phase_profile,1.0,1.5718085106382975,1,False,161,106,55,0,0,-0.00013734124766648286,1.5718085106382975,-2.05,-0.29573534296286746,-0.29573534296286746,-0.6992371182069455,0.6924698755927416,0.007914176614113803,0.0058596341111558075,2.237726045655905e-16,-4.0,4.0,0.8184186753483004,72.14849632896403,11.647835962520924,0.027937452079455742,0.0005859951221232956,231.056921399689
phase_profile,1.0,1.5718085106382975,1,True,161,161,0,0,0,2.7050111714365344e-09,1.5718085106382975,0.8500000000000005,-0.2905547050282616,-0.2905547050282616,-0.7241068362817518,0.7159044233972833,0.0,0.0,1.1102230246251565e-16,-4.0,4.0,0.7105347364955301,64.82833041833666,0.0,0.0,1.2446874780816643e-08,166.51317131865724
phase_profile,1.0,1.5718085106382975,2,False,321,210,111,0,0,-0.00013736931509762018,1.5718085106382975,-2.025,-0.3679525918286859,-0.3679525918286859,-0.6992784151538989,0.6925032246334095,0.007914078592639196,0.005860232825955387,2.2887833992611187e-16,-4.0,4.0,0.8866069658240099,76.36967680741358,11.750031321184666,0.027681913432107325,0.0002050885776014546,766.0852279326033
phase_profile,1.0,1.5718085106382975,2,True,321,321,0,0,0,2.6085994642619475e-09,1.5718085106382975,0.8500000000000005,-0.3713423152304921,-0.3713423152304921,-0.7241473073024135,0.7159384826522701,0.0,0.0,1.1102230246251565e-16,-4.0,4.0,0.7803277341364051,69.21319021867875,0.0,0.0,1.2446885678293349e-08,2145.776983492253
