distance,angular_window,window_over_sqrt_distance,delta_gamma_omega,delta_gamma_omega_over_sqrt_distance
1e-08,1.2269781029385877e-05,0.12269781029385876,1.6740985477881054e-06,0.016740985477881054
1.2589254117941661e-08,1.3766921002265098e-05,0.12269781258481939,1.8783695452384563e-06,0.01674098619355632
1.584893192461114e-08,1.544673989267923e-05,0.12269781631197028,2.1075654128566157e-06,0.016740987139603467
1.9952623149688786e-08,1.7331527809201697e-05,0.12269782049460796,2.3647274387528228e-06,0.016740988214825607
2.511886431509582e-08,1.944629494028293e-05,0.1226978261549953,2.6532680381663454e-06,0.016740989555556085
3.162277660168379e-08,2.1819103029669363e-05,0.1226978331216903,2.9770159866160384e-06,0.016740991150265176
3.981071705534969e-08,2.448143799442981e-05,0.12269784183645878,3.340267258344909e-06,0.01674099306785639
5.011872336272725e-08,2.746862769125229e-05,0.12269785288585987,3.7478420269465573e-06,0.016740995394108348
6.30957344480193e-08,3.082031064895741e-05,0.12269786668036259,4.205148625757715e-06,0.016740998211573318
7.943282347242822e-08,3.458096223455776e-05,0.1226978841340171,4.718255331326304e-06,0.01674100165377272
1e-07,3.8800484743568976e-05,0.1226979061082922,5.293970882114252e-06,0.016741005854091787
1.2589254117941662e-07,4.353486974321026e-05,0.12269793379908515,5.9399348542044095e-06,0.016741011005912527
1.584893192461114e-07,4.884694112052998e-05,0.1226979686214066,6.6647190370972e-06,0.016741017319108046
1.9952623149688787e-07,5.48071889668418e-05,0.12269801248557825,7.477941224465212e-06,0.016741025092181887
2.5118864315095823e-07,6.149470510107051e-05,0.12269806765829046,8.390392851609363e-06,0.01674103466460043
3.162277660168379e-07,6.899823304184757e-05,0.12269813714738481,9.414182269296134e-06,0.016741046491842815
3.981071705534969e-07,7.741734598899351e-05,0.12269822463636255,1.0562895468524403e-05,0.016741061120742678
5.011872336272725e-07,8.686376884544012e-05,0.12269833476161647,1.1851776480220622e-05,0.016741079248788544
6.30957344480193e-07,9.746286178689812e-05,0.12269847340970874,1.3297929796429742e-05,0.016741101744980242
7.943282347242821e-07,0.0001093552850972242,0.122698647954538,1.4920547552144114e-05,0.016741129701795678
1e-06,0.00012269886769223203,0.12269886769223202,1.6741164488465188e-05,0.016741164488465188
1.2589254117941661e-06,0.00013767070425867707,0.12269914432407941,1.878394412546669e-05,0.01674120782367405
1.584893192461114e-06,0.0001544695092280805,0.12269949258386727,2.1075999987019145e-05,0.016741261864737893
1.995262314968883e-06,0.00017331825928296396,0.12269993101617122,2.3647756212774595e-05,0.016741329320977567
2.5118864315095823e-06,0.00019446716017598484,0.12270048297324374,2.6533352440516467e-05,0.01674141359602532
3.162277660168379e-06,0.00021819697814700695,0.12270117784371753,2.977109846735715e-05,0.01674151896450599
3.981071705534969e-06,0.0002448227815893244,0.12270205263368743,3.340398493190122e-05,0.016741650800146664
5.011872336272725e-06,0.00027469814447119085,0.12270315392959574,3.748025705618829e-05,0.016741815856599666
6.309573444801943e-06,0.0003082198700634263,0.12270454037931712,4.205405946411389e-05,0.01674202262354689
7.943282347242822e-06,0.0003458333014999401,0.12270628581503065,4.7186161189927134e-05,0.01674228177671984
9.999999999999999e-06,0.000388038295101733,0.12270848318900353,5.294477126316366e-05,0.016742606738822722
1.2589254117941661e-05,0.00043539594339038137,0.12271124951932358,5.940645682844803e-05,0.016743014393219666
1.584893192461114e-05,0.0004885361479048548,0.1227147321224162,6.665717750653499e-05,0.01674352597413908
1.995262314968883e-05,0.0005481661576585614,0.12271911645980056,7.479345196248488e-05,0.016744168193491043
2.5118864315095822e-05,0.0006150802082157849,0.12272463601361672,8.392367525100752e-05,0.01674497465620217
3.1622776601683795e-05,0.0006901704199417942,0.12273158472004093,9.41696088183619e-05,0.016745987641311272
3.9810717055349695e-05,0.0007744391433223247,0.12274033262269696,0.00010566806915690563,0.016747260346728996
5.011872336272725e-05,0.0008690129763011414,0.12275134557897259,0.00011857284626426434,0.016748859712105525
6.309573444801943e-05,0.00097515872599238,0.12276521006846315,0.00013305688977016672,0.016750869974595812
7.943282347242822e-05,0.001094301648544122,0.12278266442395658,0.00014931480921909213,0.016753397144439824
0.0001,0.0012280463815068307,0.12280463815068307,0.00016756574640819366,0.016756574640819366
0.00012589254117941688,0.0013782010898186114,0.12283230142377873,0.0001880566927807692,0.016760570386319004
0.00015848931924611142,0.0015468054895978734,0.12286712740141065,0.0002110663452272732,0.016765595741408564
0.00019952623149688788,0.001736163607176332,0.1229109706701643,0.0002369096211163324,0.01677191675493509
0.0002511886431509582,0.0019488823939097315,0.12296616599654857,0.00026594299089044426,0.016779868331535486
