s,l,h,rho_absolute_error,p_l_absolute_error,legacy_j_l_absolute_error,p_omega_absolute_error
1.878989361702128,-1.8,0.0025,0.0,0.0,0.0,0.0
1.878989361702128,-1.8,0.000625,0.0,0.0,0.0,0.0
1.878989361702128,-0.875,0.0025,0.0,0.0,0.0,0.0
1.878989361702128,-0.875,0.000625,0.0,0.0,0.0,0.0
1.878989361702128,-1.7937499999999997,0.0025,0.0,0.0,0.0,0.0
1.878989361702128,-1.7937499999999997,0.000625,0.0,0.0,0.0,0.0
15.0,6.0,0.0025,0.0,0.0,0.0,0.0
15.0,6.0,0.000625,0.0,0.0,0.0,0.0
-0.6662234042553191,-0.85,0.0025,1.734723475976807e-18,0.0,0.0,0.0
-0.6662234042553191,-0.85,0.000625,0.0,0.0,0.0,0.0
