level,h,points,type_i,type_iv,other_type,uncertified,min_delta,min_delta_s,min_delta_l,min_nec_type_i,min_wec_type_i,min_dec_type_i,max_abs_p_omega,max_abs_j_l,max_imaginary_eigenvalue,max_eigen_equation_error
0,0.0025,441,48,393,0,0,-0.0020798641504362054,1.8589893617021283,-1.7999999999999998,-0.048709054215205834,-0.048709054215205834,-0.048709054215205834,0.12856391295788305,0.023009805406734547,0.02280276381513985,1.3877787807814457e-16
1,0.00125,1681,189,1492,0,0,-0.0020915114516880965,1.8689893617021283,-1.7999999999999998,-0.053565670178238246,-0.053565670178238246,-0.053565670178238246,0.12856146818583858,0.023041833300453715,0.022866522755373715,1.430489624538199e-16
2,0.000625,6561,738,5823,0,0,-0.0020939202591142548,1.8639893617021281,-1.8049999999999997,-0.05510754740921404,-0.05510754740921404,-0.05510754740921404,0.12856085714166254,0.02306236289787068,0.02287968672815614,1.831920557255352e-16
