surface,group,points,type_i,type_iv,other_type,uncertified,min_delta,min_delta_s,min_delta_l,min_nec_type_i,min_wec_type_i,min_dec_type_i,max_abs_p_omega,max_abs_j_l,max_imaginary_eigenvalue,max_eigen_equation_error
baseline,all,22869,21920,949,0,0,-0.001904905767580306,1.8351063829787235,-1.7999999999999998,-0.2956316496818194,-0.2956316496818194,-0.5541201895490975,0.5475391933834555,0.0218551126598577,0.021822613085858363,4.44089194057579e-16
baseline,stage:catch_rematch,1815,1647,168,0,0,-3.400837240347877e-05,-0.5345744680851063,-0.6999999999999993,-0.0389719295586522,-0.0389719295586522,-0.12151690620429981,0.1326524447303921,0.0059737814441696,0.0029158348891646286,3.3306690654820833e-16
baseline,stage:entry_precatch,968,911,57,0,0,-6.022043248662507e-06,-0.7101063829787234,-0.8999999999999995,-0.023382860502595866,-0.023382860502595866,-0.09601754945975219,0.0843175789868201,0.0025573140362909,0.0012269925884721654,3.3306690738753883e-16
baseline,stage:held_carry,121,98,23,0,0,-3.1497170254321015e-06,0.6941489361702127,0.7000000000000002,-0.02144018085355641,-0.02144018085355641,-0.08869001102179636,0.0773455034550304,0.0023876356802874,0.0008873721070430525,3.3306690105979382e-16
baseline,stage:post_release_buffer,484,380,104,0,0,-0.0001387272400829466,1.4840425531914896,1.9000000000000004,-0.2956316496818194,-0.2956316496818194,-0.5541201895490975,0.5475391933834555,0.0079160304899225,0.005889126422546612,3.3303033408535843e-16
baseline,stage:pre_entry_setup,242,237,5,0,0,-1.5524384645311962e-05,-1.5,-1.2999999999999998,-0.06471122988550684,-0.06471122988550684,-0.23644883038165979,0.2272463482917365,0.0056338905191295,0.0019700497865099724,2.220446049250311e-16
baseline,stage:release_shift_fade,726,577,149,0,0,-3.0217369413188555e-05,1.2207446808510638,1.4000000000000004,-0.020839972286073392,-0.020839972286073392,-0.08638386633620344,0.0765020950788182,0.0048254513396158,0.0027485163913095268,3.3306690523650826e-16
baseline,stage:reset_decompression,18513,18070,443,0,0,-0.001904905767580306,1.8351063829787235,-1.7999999999999998,-0.18792945404506148,-0.18792945404506148,-0.3250014917502612,0.3189839180876208,0.0218551126598577,0.021822613085858363,4.44089194057579e-16
baseline,region:core_throat,4163,3765,398,0,0,-0.0014313101416780192,2.098404255319149,-1.0999999999999996,-0.18792945404506148,-0.18792945404506148,-0.18792945404506148,0.1876373616628322,0.0191228085098653,0.01891632986124699,3.3306690738754696e-16
baseline,region:far_exterior,10360,10360,0,0,0,2.550889039424408e-08,6.837765957446809,-6.0,-0.004796696073893904,-0.004796696073893904,-0.009787873955531778,0.0062375960870793,0.0012513726707708,0.0,4.44089194057579e-16
baseline,region:outer_quarantine_shell,4071,3939,132,0,0,-0.00032775265901032017,1.8351063829787235,2.200000000000001,-0.18028557278355678,-0.18028557278355678,-0.5541201895490975,0.5475391933834555,0.0098586596120439,0.009051970213858422,3.3306690738754696e-16
baseline,region:packet_in_support,262,148,114,0,0,-0.0011400292669618678,2.0106382978723403,1.7000000000000002,-0.0389719295586522,-0.0389719295586522,-0.12151690620429981,0.1658181002205425,0.0168844221726749,0.01688215971789353,2.2178931816031698e-16
baseline,region:packet_outer,344,298,46,0,0,-0.00100358499130524,2.0106382978723403,1.8000000000000007,-0.02781441476678472,-0.02781441476678472,-0.04114829071496964,0.1261269347269941,0.0159997857603929,0.01583970478974624,3.330669073875468e-16
baseline,region:support_edge,3669,3410,259,0,0,-0.001904905767580306,1.8351063829787235,-1.7999999999999998,-0.2956316496818194,-0.2956316496818194,-0.34007427813926366,0.3371175427849671,0.0218551126598577,0.021822613085858363,3.3306690738754696e-16
dense,all,90857,87014,3843,0,0,-0.002063659795678394,1.878989361702128,-1.7999999999999998,-0.2956316496818194,-0.2956316496818194,-0.6990809659835542,0.6923363520070132,0.023007909235225,0.022713761223531397,4.44089194057579e-16
dense,stage:catch_rematch,6989,6316,673,0,0,-3.629897773246168e-05,-0.5784574468085106,-0.75,-0.05390319390277297,-0.05390319390277297,-0.12151690620429981,0.1326524447303921,0.006004306446051,0.003012431647874425,4.138705719033223e-16
dense,stage:entry_precatch,4097,3845,252,0,0,-1.1966312201242255e-05,-0.6662234042553191,-0.8499999999999996,-0.053148226240771486,-0.053148226240771486,-0.11539085951891616,0.1107379168172075,0.0033185569620275,0.0017296178914172236,4.3944503283983766e-16
dense,stage:held_carry,723,590,133,0,0,-1.6362793551812176e-05,0.6502659574468086,0.6500000000000004,-0.021689550870735624,-0.021689550870735624,-0.08965336112643107,0.0782340895684523,0.0025429044005808,0.0020225474995542243,3.330669015184846e-16
dense,stage:post_release_buffer,1928,1488,440,0,0,-0.00018171312771116994,1.6156914893617025,-2.05,-0.2956316496818194,-0.2956316496818194,-0.6990809659835542,0.6923363520070132,0.0084691547394963,0.006740050587925324,3.3306687610137257e-16
dense,stage:pre_entry_setup,723,708,15,0,0,-1.5524384645311962e-05,-1.5,-1.2999999999999998,-0.06471122988550684,-0.06471122988550684,-0.2407952191831947,0.2332330664219216,0.0056803476881957,0.0019700497865099724,3.9073935454282556e-16
dense,stage:release_shift_fade,2892,2276,616,0,0,-3.865679091267264e-05,1.2646276595744683,1.6500000000000004,-0.05511363103294827,-0.05511363103294827,-0.11711824576239108,0.1192215715603928,0.0051493632842992,0.00310872927868738,3.3306690523650826e-16
dense,stage:reset_decompression,73505,71791,1714,0,0,-0.002063659795678394,1.878989361702128,-1.7999999999999998,-0.18796195539254282,-0.18796195539254282,-0.4339974669888791,0.4282811694814163,0.023007909235225,0.022713761223531397,4.44089194057579e-16
dense,region:core_throat,16247,14665,1582,0,0,-0.0014640604824999357,2.1422872340425534,1.1000000000000003,-0.18796195539254282,-0.18796195539254282,-0.18796195539254282,0.1890902135799875,0.0191566528370836,0.019131521649492073,4.3944503283983766e-16
dense,region:far_exterior,41330,41330,0,0,0,2.550889039424408e-08,6.837765957446809,-6.0,-0.005308802817077656,-0.005308802817077656,-0.011680681620886653,0.0077929097334208,0.0013948827726642,0.0,4.44089194057579e-16
dense,region:outer_quarantine_shell,16238,15691,547,0,0,-0.000380025205608255,1.922872340425532,-2.15,-0.25903919170822826,-0.25903919170822826,-0.6990809659835542,0.6923363520070132,0.0107018196022014,0.009747117594553979,3.3306690738754696e-16
dense,region:packet_in_support,1049,582,467,0,0,-0.0011400292669618678,2.0106382978723403,1.7000000000000002,-0.05390319390277297,-0.05390319390277297,-0.12151690620429981,0.1658181002205425,0.0168844221726749,0.01688215971789353,2.2887833992611187e-16
dense,region:packet_outer,1359,1176,183,0,0,-0.0010328998201640193,2.054521276595745,1.8000000000000007,-0.03226508879837311,-0.03226508879837311,-0.04114829071496964,0.1261269347269941,0.0161567052524148,0.016069379423020818,3.330669073875468e-16
dense,region:support_edge,14634,13570,1064,0,0,-0.002063659795678394,1.878989361702128,-1.7999999999999998,-0.2956316496818194,-0.2956316496818194,-0.41588862947271227,0.4123406566639939,0.023007909235225,0.022713761223531397,4.138705719033223e-16
