t,left_force,right_force,left_power_out,right_power_out
0.0,0.05090868349027007,-5.089618428950796,7.500978476685848e-13,231.4651610433492
0.04015625,0.042534246671502185,-6.753266420613869,7.254427321514364e-14,288.03761057904296
0.0803125,0.03252136218162715,-5.842779752203344,5.69077287647715e-15,211.24286721561293
0.12046874999999999,0.021246755023074184,-6.0118156886310805,2.956755781113346e-16,171.50644878719237
0.160625,-0.0029228578085582838,-6.026801715777026,-3.56162750972007e-19,123.98141473725585
0.20078125,-0.0162162752400197,-6.002382130613227,2.0336076726516515e-18,81.35508438338388
0.24093749999999997,-0.029899209799561528,-5.983095366066989,-1.6078639086385565e-18,49.31184898486663
0.28109375,-0.04328761454150839,-6.0058369742807205,-5.2463734426526704e-20,28.029306764313265
0.32125,-0.04222050867991607,-6.091080079076915,-6.68091648007879e-21,15.11949621385869
0.36140625,-0.06555486756087069,-6.170969764158342,-7.656577033701641e-22,7.740589562964685
0.4015625,-0.07250435326307533,-6.251060106745001,-6.219316782558319e-23,3.8248494116127216
0.44171875,-0.07471685164458015,-6.345937747549611,-4.4074487323202496e-24,1.8611011610926724
0.48187499999999994,-0.0701674141132095,-6.473652880947024,-2.6282322719813777e-25,0.9057664301254881
0.5,-0.05028247200726199,-6.535558980339901,-5.254445584524604e-26,0.6549982816120928
0.51701171875,-0.042401439014363385,-6.595947771179522,-1.2996957664519617e-26,0.48360624119724155
0.55716796875,0.3971093723904247,-6.646213687446662,5.792815990793945e-27,0.2335106340838689
0.59732421875,0.3841684940956127,-6.78539797512652,1.852021794727525e-28,0.11411161966485413
0.63748046875,0.3792299407243034,-6.902190849645846,3.245655392638408e-30,0.054936646748451085
0.67763671875,0.37889886157364305,-7.01164661285618,2.634726827660195e-32,0.025801178818586252
0.71779296875,0.38784271691935085,-7.093672415599728,1.129260548014675e-34,0.01175356678084827
0.75794921875,0.4732386178250964,-7.126772131910544,3.870164991720217e-37,0.005179741350874512
0.79810546875,0.47438451282074673,-7.188398011834564,9.002521536073454e-40,0.0022331727499012846
0.83826171875,0.2921338974093325,-7.140573307759429,1.1676570650926883e-42,0.0009242401311304304
0.87841796875,0.3114574031984104,-8.188752736745096,1.8606585705072196e-45,0.0004305722381280791
0.9185742187499999,0.17904266013421524,-8.48414155398534,-3.858288041736954e-47,0.00017674678071634013
0.9587304687499999,0.08896874196591016,-8.680943981751946,2.554414892678304e-49,6.98994298623341e-05
0.9988867187499999,-0.0012941579244574138,-8.816676705331801,-4.21975223103639e-51,2.677385088796316e-05
1.03904296875,0.014565276243100887,-8.954029123148096,3.1931841084256846e-51,1.0007397284936126e-05
1.07919921875,0.020918424101817608,-9.098958274559216,-5.950952817647253e-52,3.652782857319229e-06
1.11935546875,0.024218856055226425,-9.227133127690351,-1.2387896610826383e-52,1.2985673873994295e-06
1.15951171875,0.026919119892940498,-9.303064164217679,1.8691893481775198e-55,4.4789700787784634e-07
1.19966796875,-0.028110790817311763,-10.094507433024374,-1.938131469714591e-54,1.6220598046436273e-07
1.23982421875,-0.053865422085852266,-9.700095253188694,-2.863961968029469e-55,5.073000731612128e-08
1.2799804687499998,-0.09503120473733936,-11.458799138535003,5.366931868255236e-56,1.9007719665372875e-08
1.285,-0.05683994118453092,-11.523327892659688,-2.026406549208834e-57,1.652835085570356e-08
