localization,spacing,zero_eigenvalue,first_eigenvalue,exact_first_eigenvalue,maximum_error
1.5,0.04,-0.00015942339743646162,1.9998196772912706,2.0,0.0001803227087293635
1.5,0.02,-3.984677391294363e-05,1.9999549456883048,2.0,4.505431169521401e-05
1.5,0.01,-9.96112408949158e-06,1.9999887417596525,2.0,1.1258240347533643e-05
2.1,0.04,-0.00033982843150410526,3.1992984062156875,3.2,0.0007015937843126707
2.1,0.02,-8.493338246804421e-05,3.1998246990935293,3.2,0.0001753009064708877
2.1,0.01,-2.123186314922368e-05,3.199956180863087,3.2,4.3819136913203494e-05
4.0,0.04,-0.0013799198374176286,6.995336355141934,7.0,0.0046636448580663625
4.0,0.02,-0.00034483079940741187,6.99883503782276,7.0,0.0011649621772402696
4.0,0.01,-8.619838864802482e-05,6.999708818662796,7.0,0.0002911813372037386
