amplitude,nodes,coefficient,predicted_coefficient,relative_error
0.002,128,-0.0003766014948571703,-0.0003766045866279764,8.209594136387999e-06
0.002,256,-0.00037660149485717255,-0.0003766045866279764,8.209594130392794e-06
0.002,512,-0.0003766014948571713,-0.0003766045866279764,8.209594133612441e-06
0.001,128,-0.00037660381368111157,-0.0003766045866279764,2.0524095889484784e-06
0.001,256,-0.00037660381368111385,-0.0003766045866279764,2.0524095828422517e-06
0.001,512,-0.0003766038136811125,-0.0003766045866279764,2.0524095865059877e-06
0.0005,128,-0.0003766043933909983,-0.0003766045866279764,5.131030925697999e-07
0.0005,256,-0.0003766043933910007,-0.0003766045866279764,5.131030862415287e-07
0.0005,512,-0.00037660439339099936,-0.0003766045866279764,5.131030897942424e-07
0.00025,128,-0.0003766045383187138,-0.0003766045866279764,1.2827582107632907e-07
0.00025,256,-0.000376604538318716,-0.0003766045866279764,1.2827581530316934e-07
0.00025,512,-0.00037660453831871464,-0.0003766045866279764,1.2827581896690532e-07
