case,allocation,cells,medium,forcing,duration,snapshots,status,failure,elapsed_seconds,initial_total_energy,initial_field_energy,initial_thermal_inventory,maximum_thermal_balance_error,maximum_velocity_over_run,maximum_sound2_over_run,s,steps,minimum_thermal,coldest_l,maximum_abs_velocity,maximum_sound2,minimum_inverse_stretch,maximum_inverse_stretch,total_slice_energy,field_slice_energy,material_slice_energy,thermal_inventory,thermal_balance_residual,net_charge,maximum_abs_charge_density,maximum_field_density,maximum_end_traction,thermal_endpoint,thermal_electrical,material_balance_residual,material_boundary_integral,material_geometry_integral,material_exchange_integral,energy_balance_residual,energy_boundary_integral,energy_geometry_integral,energy_exchange_integral,momentum_balance_residual,momentum_boundary_integral,momentum_geometry_integral,momentum_exchange_integral
field1_fast_baseline_n512_force1_end0.5_snap101,field,512,baseline,1.0,0.5,101,constitutive_domain_limit,stored thermal energy reached zero,18.81700977962464,106.58461361880232,5.194812761642316,5.568872174844877,0.9917044618859602,0.9556090118886686,0.09369316955152919,0.27357604436364397,277.0,3.0413920493188584e-07,-1.2140625,0.9556090118886686,0.09273628264191504,6.26115205878055e-05,1.2473081244456046,96.98222420084636,2.514852860266565,94.46737134057979,7.1750888281795655,0.9917044618859602,0.0,0.30621945743088524,0.0013323283194599995,0.019976537787079668,0.5138114714999862,0.10070071994874293,0.0,0.0,0.0,0.0,2.220446049250313e-16,-0.1394080103240141,-0.6753205211173339,0.05059466076084739,1.5631940186722204e-13,451.67413870877135,-543.0683032797458,0.5782921279551464
field4_fast_baseline_n512_force1_end0.5_snap101,field,512,baseline,1.0,0.5,101,constitutive_domain_limit,stored thermal energy reached zero,20.086183757521212,122.16905190372928,20.779251046569264,5.568872174844877,4.469508847852724,0.9914882646224896,0.09787472666050218,0.24141259641989035,301.0,3.303391942210965e-07,-1.4890625000000002,0.9914882646224896,0.07796339479362786,7.687792670990253e-05,1.2877567398636776,116.09200858218304,9.327275464685004,106.76473311749803,10.860560591617064,4.465702663541314,0.0,0.4756891977947812,0.005296699932535543,0.01998756547415965,0.6412704671513845,0.18471528607948895,-4.440892098500626e-16,0.0,0.0,0.0,-1.3877787807814457e-15,-0.13517943192196688,-0.40083002081164815,0.05241371072977912,9.094947017729282e-13,388.60383764031025,-579.0420971651278,0.4625559717437495
field4_ideal_baseline_n512_force1_end0.5_snap101,field,512,baseline,1.0,0.5,101,constitutive_domain_limit,stored thermal energy reached zero,4.1573595171794295,122.16905190372928,20.779251046569264,5.568872174844877,0.004960459379395854,0.9639701384870705,0.018321974301243858,0.041442932738172164,43.0,3.963609644941357e-07,-1.1953125,0.9639701384870705,0.018321974301243858,0.0002745227734554716,0.2151110265719054,122.70126912584188,18.728625502424336,103.97264362341753,5.517045245373344,-0.004960459379395854,0.0,0.22656680174056046,0.00579268861354059,0.019910082238810727,-0.046866470092136785,0.0,0.0,0.0,0.0,0.0,-4.926614671774132e-16,-0.03679222506831634,0.0809712457657571,-0.0018265198485124313,7.105427357601002e-15,41.14076392294329,-80.94909580214468,-0.3468739719992662
material4_control_baseline_n512_force1_end0.5_snap101,material,512,baseline,1.0,0.5,101,duration_completed,,22.025511601939797,122.16905190372928,0.0,26.353158717261383,0.5789392509783747,0.9742527029276289,0.17387118142884744,0.5,326.0,0.5869686378727166,-0.5015625,0.9742527029276289,0.16667272962751734,0.0017410195990714811,4.084666573878968,120.57891388684997,0.0,120.57891388684997,27.198373608569945,0.5789392509783747,0.0,0.0,0.0,0.34225498116866643,0.2662756403301866,0.0,0.0,0.0,0.0,0.0,-1.0824674490095276e-15,-0.1456413912566807,0.002575011023372412,0.016527217440966933,-4.263256414560601e-13,765.258972447714,-989.9444344717068,0.7568459907128695
