s,steps,minimum_thermal,coldest_l,maximum_abs_velocity,maximum_sound2,minimum_inverse_stretch,maximum_inverse_stretch,total_slice_energy,field_slice_energy,material_slice_energy,thermal_inventory,thermal_balance_residual,net_charge,maximum_abs_charge_density,maximum_field_density,maximum_end_traction,thermal_endpoint,thermal_electrical,material_balance_residual,material_boundary_integral,material_geometry_integral,material_exchange_integral,energy_balance_residual,energy_boundary_integral,energy_geometry_integral,energy_exchange_integral,momentum_balance_residual,momentum_boundary_integral,momentum_geometry_integral,momentum_exchange_integral
0.0,0,0.24999999999999978,-1.96875,0.1977128324659816,0.013638432016544072,0.002147804611281285,0.15901062377248615,106.58598955898802,5.192904473935494,101.3930850850525,5.570006386371622,0.0,0.0,0.06667779850755275,0.0014403652887697543,0.019999021217455143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,1,0.24999214523343904,-1.93125,0.1672565188310955,0.013666022603595947,0.0021476007528065553,0.1593375097481113,106.70599827968691,5.184247064443288,101.52175121524363,5.560504673234599,1.279980798887527e-05,0.0,0.06674353070137178,0.0014403291911182874,0.019987754539769025,-0.009514512945101606,8.950608495303847e-14,0.0,0.0,0.0,0.0,1.106753577673203e-15,-0.004546619032443418,0.014843942166480478,-0.0007473325773563472,-1.1102230246251565e-15,4.097995793552679,-5.952223281528636,-0.05356109033546094
0.01,2,0.25002480786311,-2.09375,0.17942207273347321,0.01373135969526725,0.0021472847246779064,0.1601126067474863,106.8138996032923,5.1705559152708656,101.64334368802143,5.552544799010788,-3.287932820570045e-05,0.0,0.06678226259010654,0.001440199106463349,0.01996880106693378,-0.017428708032748954,1.2132892824223567e-13,0.0,0.0,0.0,0.0,2.0469737016526324e-16,-0.009084746796734558,0.028568801524298464,-0.0013475496619035521,-8.881784197001252e-16,8.451834694233654,-12.179099792526525,-0.10408537751367482
0.015,3,0.2500681986585618,-2.08125,0.21092052539086126,0.013833612659099749,0.002147084435246238,0.16132867424332772,106.90984760500221,5.151892203886465,101.75795540111575,5.5461371393224,-0.00011057806929139442,0.0,0.06679384369091067,0.0014399749190246107,0.019949147307763124,-0.023758668980051603,1.213322064809636e-13,-2.220446049250313e-16,0.0,0.0,0.0,1.8318679906315083e-15,-0.01360199627936752,0.041175583508676304,-0.0018017827876890885,-8.881784197001252e-16,13.052592596130662,-18.66929690620999,-0.15148149582892825
0.02,4,0.25010030191698607,-2.08125,0.27655061289908645,0.01397175674468754,0.0021460232713950466,0.1629766243000147,106.99397277970974,5.1283463397544535,101.86562643995526,5.541301999077744,-0.00018869917566635713,0.0,0.06677809568186047,0.001439656397527255,0.019932798441358097,-0.028515688118332997,1.213322064809636e-13,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,-0.0180879931442432,0.05266549028676146,-0.002111224004311545,8.881784197001252e-16,17.891319555205623,-25.410324372970464,-0.1956628061844072
0.025,5,0.2487422327222284,-1.34375,0.3381733576665056,0.014144644897849551,0.002145626706222241,0.16504617311170355,107.06636933302404,5.100041144338156,101.96632818868588,5.538062635108781,-0.00023745999483611258,0.0,0.066734822494095,0.0014392432005797253,0.01992122182626193,-0.03170629253669368,1.2686883713844459e-09,-2.220446049250313e-16,0.0,0.0,0.0,1.2906342661267445e-15,-0.022533779464769324,0.06303831323694054,-0.002277125972571289,-3.552713678800501e-15,22.958900367414564,-32.388858537859306,-0.23654746488544096
0.03,6,0.24745948836072773,-1.34375,0.3950892088261071,0.014351097185832332,0.002145793034365268,0.1675267571694436,107.12716043149132,5.067139657369201,102.06002077412211,5.536409541381273,-0.0002645434881817806,0.0,0.06666382393602936,0.0014387348879374377,0.01991411735912159,-0.03333231053400554,9.031838787159496e-09,-2.220446049250313e-16,0.0,0.0,0.0,2.1371793224034263e-15,-0.026931357379036826,0.07229716895646211,-0.0023008018692994383,-5.329070518200751e-15,28.24598414205434,-39.59111801450413,-0.27405848154070145
0.034999999999999996,7,0.24671912366072624,-1.34375,0.44663343504942077,0.014589962925720554,0.002144767420923363,0.17040812228459037,107.17648942920351,5.02984062763949,102.14664880156403,5.536354969799413,-0.0002604101488389017,0.0,0.06656491191823319,0.0014381309601453776,0.01991031916763606,-0.0333910330257324,2.6602362694202023e-08,-2.220446049250313e-16,0.0,0.0,0.0,2.0816681711721685e-16,-0.03127349233674066,0.08044760446770546,-0.002183625511005484,-1.0658141036401503e-14,33.74328091026628,-47.00357805639207,-0.3081237793489181
0.039999999999999994,8,0.24656395343462645,-1.34375,0.4915146863376094,0.014860116510485985,0.002055533189861866,0.17368019933996762,107.21451450521768,4.988349096756018,102.22616540846165,5.537933884871555,-0.00019725070008516426,0.0,0.06643792949813775,0.0014374308150978446,0.019908662103236656,-0.03187529984799013,4.904800910391901e-08,0.0,0.0,0.0,0.0,1.1102230246251565e-15,-0.03555371640989027,0.08749717350576973,-0.0019270310713712878,-1.0658141036401503e-14,39.442093403638225,-54.613740380488245,-0.33867623794188184
0.04499999999999999,9,0.24703880970503778,-1.34375,0.5285675567064345,0.015160474277865666,0.0018152358715963044,0.17733327595154463,107.24132198243916,4.942858535663576,102.29846344677559,5.541231793614438,-1.0850143614957647e-06,0.0,0.06628277096127577,0.0014366337834488389,0.019908230573446893,-0.02877357480008279,6.70572606814603e-08,-2.220446049250313e-16,0.0,0.0,0.0,-7.28583859910259e-16,-0.039766399789136715,0.09344861005921457,-0.0015325129897565256,-1.7763568394002505e-14,45.33484427661398,-62.41068153069739,-0.3656537396178482
0.04999999999999999,10,0.24818782810726825,-1.34375,0.5570346395383012,0.015490005104414168,0.0015937958155043568,0.18135813056498565,107.25691199539791,4.89359224840666,102.36331974699125,5.546328892637347,0.0003923792285656631,0.0,0.06609940261962124,0.0014357391732302573,0.019908404403569932,-0.024069948225489492,7.526264877934253e-08,0.0,0.0,0.0,0.0,1.7139067942650854e-15,-0.043906805595283,0.09829874239909465,-0.0010016257108661456,-1.7763568394002505e-14,51.41556132963443,-70.38562058755564,-0.38899920579008673
0.054999999999999986,11,0.2500530963119032,-1.34375,0.5981806775047289,0.01584723093942638,0.0013968660424046788,0.18574013903786568,107.2612707471116,4.840924983495639,102.42034576361596,5.553071143179788,0.0008093302105865901,0.0,0.06588788345183905,0.0014347462881262533,0.01990886180503952,-0.01774465005490858,7.665248792456878e-08,0.0,0.0,0.0,0.0,1.942890293094024e-15,-0.04797110547429683,0.10204425823857068,-0.0003359832308574497,-1.7763568394002505e-14,57.68026945198756,-78.5323180792508,-0.40866062293437594
0.059999999999999984,12,0.2508124047009943,-2.08125,0.6399355181323472,0.016230664372660828,0.0012298859471976216,0.1904644589582825,107.25436970559826,4.785077288581494,102.46929241701676,5.56153155035048,0.0012999520314663396,0.0,0.06564838440539318,0.001433654480559009,0.019909479472091585,-0.00977486470509542,7.665248792456878e-08,0.0,0.0,0.0,0.0,1.8110513089197866e-15,-0.051956286146256886,0.10468154706810369,0.0004627411769050156,-2.842170943040401e-14,64.12697571514053,-86.84700346610163,-0.42459107143230274
0.06499999999999999,13,0.25101793290515517,-2.08125,0.6760817831844861,0.016639403519636668,0.001094817600720851,0.19552315669885323,107.23617051775453,4.7262159894625455,102.50995452829198,5.57210964640034,0.0022370627996581376,0.0,0.06538120666085152,0.001432463159203398,0.01991030132209347,-0.00013387942342790358,7.665248792456878e-08,0.0,0.0,0.0,0.0,-7.91033905045424e-16,-0.05586003839556594,0.10620697954690159,0.0013928155946248007,-2.1316282072803006e-14,70.75554377725256,-95.3281731694729,-0.43674873655799906
