s,l,material_label,n,velocity,thermal,electric_flux,electric_field,endpoint_heat_rate,ohmic_heat_rate,heat_rate,packet_edge_distance,integrated_endpoint_heat_rate,integrated_ohmic_heat_rate,integrated_heat_rate,heat_from_material_balance
0.0,-1.2102448463779012,0.8897551536221114,0.0034621991778776284,-7.668001845640141e-05,0.573889687676429,0.19276463196082746,0.03274344542958123,-0.0,0.0,0.0,0.8602448463779012,0.0,0.0,0.0,0.573889687676429
0.005,-1.2096622624012907,0.8897551536221114,0.003300353588551521,0.27273527936527886,0.5587324475842128,0.19309078739434393,0.03280754978158588,-0.0,0.0,0.0,0.8646622624012906,-0.0,0.0,0.0,0.573889687676429
0.01,-1.207969708568314,0.8897551536221114,0.002894378395031054,0.5116693931716577,0.5094599991842919,0.19433324449698658,0.033043758738043424,-0.0,0.0,0.0,0.8679697085683141,-0.0,0.0,0.0,0.573889687676429
0.015,-1.2054139523319862,0.8897551536221114,0.002426277453666177,0.6928516783980776,0.45086157798262827,0.1961393767032803,0.03338906284016027,-0.0,0.0,0.0,0.8704139523319862,-0.0,0.0,0.0,0.573889687676429
0.02,-1.202654180756079,0.8897551536221114,0.002030042782003074,0.7873312455256148,0.4115951732534962,0.19589945936033185,0.03338943874606629,-0.0,0.0,0.0,0.8726541807560791,-0.0,0.0,0.0,0.573889687676429
0.025,-1.1994947209694973,0.8897551536221114,0.0016731361907622768,0.8490236122459732,0.35157991427027185,0.19422459039538356,0.03315077377940254,-0.0,0.0,0.0,0.8744947209694972,-0.0,0.0,0.0,0.573889687676429
0.03,-1.1957783566757396,0.8897551536221114,0.001358486697209239,0.8947943710883038,0.28685694964565456,0.19554918702977914,0.03343231538747679,-0.0,0.0,0.0,0.8757783566757397,-0.0,0.0,0.0,0.573889687676429
0.035,-1.191987034662932,0.8897551536221114,0.0011450321411123835,0.9320578500755922,0.22040643327026516,0.19654557620770627,0.033659592919922404,-0.0,1.824148538177965,1.824148538177965,0.8769870346629319,-0.0,0.004560371345444916,0.004560371345444916,0.578450059021874
0.04,-1.1884510447998005,0.8897551536221114,0.0009648380804744387,0.950288878016029,0.14776853281157382,0.19382466773358228,0.033246057399098326,-0.0,44.00941374987294,44.00941374987294,0.8784510447998005,-0.0,0.11914427706557212,0.11914427706557212,0.6930339647420012
0.045,-1.1845065813984066,0.8897551536221114,0.0008396337141403038,0.9577908860730586,0.1503624137970729,0.1920520062780563,0.03300000285215648,0.0,43.694527246588486,43.694527246588486,0.8795065813984065,0.0,0.3384041295567256,0.3384041295567256,0.9122938172331546
0.04855581391200291,-1.18125,0.8897551536221114,0.0006694874324496025,0.975570451962426,6.270618972958886e-07,0.1949354377450947,0.0335440956954666,0.0,137.9271752072336,137.9271752072336,0.8798058139120027,0.0,0.6613106177102023,0.6613106177102023,1.2352003053866314
