s,steps,minimum_thermal,coldest_l,maximum_abs_velocity,maximum_sound2,minimum_inverse_stretch,maximum_inverse_stretch,total_slice_energy,field_slice_energy,material_slice_energy,thermal_inventory,thermal_balance_residual,net_charge,maximum_abs_charge_density,maximum_field_density,maximum_end_traction,thermal_endpoint,thermal_electrical,material_balance_residual,material_boundary_integral,material_geometry_integral,material_exchange_integral,energy_balance_residual,energy_boundary_integral,energy_geometry_integral,energy_exchange_integral,momentum_balance_residual,momentum_boundary_integral,momentum_geometry_integral,momentum_exchange_integral
0.0,0,0.24999999999999956,-1.9562500000000003,0.1977128324659816,0.013638432016544072,0.002147804611281285,0.15901062377248615,122.1647029807945,20.771617895741976,101.39308508505253,5.570006386371622,0.0,0.0,0.1333555970151055,0.005761461155079017,0.019999021217455143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,1,0.24989688537562404,-1.93125,0.29887579166722844,0.01366607431280236,0.00214646486293094,0.15933781769102615,122.28072668836217,20.713139904959004,101.56758678340316,5.569667148537145,-0.0003392378344762916,0.0,0.1333902305042194,0.005761257569241545,0.01998776085167538,0.0,0.0,0.0,0.0,0.0,0.0,5.898059818321144e-16,-0.0045466199269853635,0.013779493214605565,0.0,-8.881784197001252e-16,4.0979966383681425,-9.068405184450075,0.0
0.01,2,0.24929028688990518,-1.9187500000000002,0.5364127014978521,0.013731504022115051,0.0021432978225675733,0.16011362620901395,122.38204631625185,20.59036151820534,101.7916847980465,5.568392789222534,-0.0016135971490878465,0.0,0.13317790288852926,0.005760565408286305,0.019968810044842095,0.0,0.0,0.0,0.0,0.0,0.0,1.6202317265623378e-15,-0.009084751303056176,0.026380384396112372,0.0,0.0,8.45183911338584,-18.39135417167267,0.0
0.015,3,0.246668171887946,-1.9187500000000002,0.6972684384085142,0.013833897517162925,0.0021379094359263245,0.1613308345578134,122.46925846290495,20.410982278008767,102.05827618489619,5.566305265702399,-0.00370112066922295,0.0,0.1327213327020545,0.005759398425461197,0.019949171538165278,0.0,0.0,0.0,0.0,0.0,0.0,-8.187894806610529e-16,-0.01360200349243562,0.037837758704243316,0.0,0.0,13.052599879054778,-27.935808771473916,0.0
0.02,4,0.24297178137322573,-1.9187500000000002,0.7979703050303897,0.0139722514643452,0.001886363731279269,0.16298058811249527,122.54289454627047,20.18429869816396,102.3585958481065,5.563080864174538,-0.006925522197083477,0.0,0.13202572625009987,0.0057577766599074265,0.019932863730660562,0.0,0.0,0.0,0.0,0.0,0.0,3.191891195797325e-16,-0.018088011033899523,0.04818353957448049,0.0,-3.552713678800501e-15,17.89133865412582,-37.67351157768972,0.0
0.025,6,0.20864183790160418,-1.20625,0.8536443890108103,0.014145384871156476,0.0014812788452356679,0.16505212349114784,122.60339853594921,19.91853142987997,102.68486710606925,5.55965448140502,-0.010351904966602135,0.0,0.13109913449681115,0.00575572517454637,0.019921293791318663,0.0,0.0,0.0,0.0,0.0,0.0,-4.579669976578771e-16,-0.022534064898295895,0.05744434795595366,0.0,-7.105427357601002e-15,22.959239112109458,-47.58091586766834,0.0
0.03,8,0.16559721081319956,-1.20625,0.9045408019297838,0.014352164853443584,0.0011911856599342756,0.16753544352172078,122.65123331511583,19.620380667298175,103.03085264781767,5.555704354770913,-0.014302031600709003,0.0,0.12995114399980906,0.00575326833472801,0.01991428147965537,0.0,0.0,-2.220446049250313e-16,0.0,0.0,0.0,-5.898059818321144e-16,-0.026931979887790496,0.06564883372348743,0.0,0.0,28.24675718391107,-57.63666294879221,0.0
0.035,10,0.07126362375465956,-1.19375,0.9455384221354279,0.014591462145898838,0.0009749545540921469,0.17042052184708673,122.6868568375463,19.296452070622298,103.390404766924,5.548823023959963,-0.021183362411658125,0.0,0.12859341389821674,0.005750430177176891,0.019910776017646615,0.0,0.0,0.0,0.0,0.0,0.0,1.3114509478384662e-15,-0.03127450433241347,0.07282618801068538,0.0,0.0,33.74457605175611,-67.82182841122022,0.0
0.0370158759973034,17,8.935799116205345e-07,-1.19375,0.9561082182998462,0.014696864447428862,0.0008607897914746022,0.17169480206830187,122.69786366768712,19.159900694000807,103.5379629736863,5.545129018628488,-0.0248773677431336,0.0,0.12799007255668224,0.00574918307942139,0.019910055051802936,0.0,0.0,0.0,0.0,0.0,0.0,2.0816681711721685e-17,-0.033008240832116446,0.0754358202227319,0.0,2.1316282072803006e-14,36.01877615269231,-71.96153609972401,0.0
