s,minimum_integrated_heat,minimum_evolved_heat,maximum_absolute_heat_discrepancy,mean_absolute_heat_discrepancy
0.0,0.3464830867148292,0.3464830867148292,0.0,0.0
0.005,0.3466204379155614,0.346646537818523,0.0022213140007749654,0.00012044606777987612
0.01,0.34679268275498687,0.3468822687229315,0.005897786822984585,0.00034376958791147965
0.015,0.346999684141509,0.34718840876502016,0.010951559237077912,0.0006603201653048973
0.02,0.3472412329506319,0.34756184937539397,0.017274989619420866,0.0010587748381052442
0.025,0.34751704730478317,0.3479982283193256,0.024721369562815454,0.001523773909933989
0.03,0.34782677170686405,0.34849190992162066,0.03309255198115624,0.0020338193863313004
0.034999999999999996,0.34816997613513984,0.34903596035756207,0.042124082096196114,0.0025653848442799476
0.039999999999999994,0.3485461549595382,0.34962212242173546,0.051464729901613326,0.003089804149937096
0.04499999999999999,0.34895472584141396,0.35024078807944015,0.060708301852048674,0.003593209546908577
0.04999999999999999,0.34939502854454335,0.350880972510235,0.06973432944360392,0.004030812490881634
0.054999999999999986,0.3498663236792184,0.35153029171862166,0.07692727008706512,0.004363146301610491
0.059999999999999984,0.3503677915037889,0.3521749445152147,0.08144010269500845,0.004546301830177112
0.06499999999999999,0.35089853067804894,0.35279970483409884,0.08363236675647778,0.004538168671085267
0.06999999999999999,0.3514575571458754,0.3533879249283998,0.08392041577669018,0.0043013136529339345
0.075,0.35204380310081573,0.35392155518540425,0.08335311295886738,0.0039358364139861525
0.08,0.35265611583120315,0.3543811845423234,0.08541697669158843,0.0035860662074676916
0.085,0.3532931210739724,0.35474596818612597,0.0859344097245831,0.003605737826570523
0.09,0.3539531163758341,0.354993618120442,0.09925860164186329,0.003855722676025891
0.095,0.3546342189774174,0.3551500028933102,0.10932010459072261,0.004520249975104697
0.1,0.3553344468182062,0.356499756343438,0.11595855358703622,0.0051920466379843265
0.105,0.3560517534291668,0.3577447473533906,0.11997708663027318,0.005657483284713414
0.11,0.3567840691062772,0.35885680810503257,0.12206739089571084,0.005809115256938465
0.115,0.35752927130007606,0.35980632183696626,0.12311472138958868,0.005859606370894518
0.12,0.35828518806228327,0.36056241735378197,0.12363349463797269,0.005790830297769948
0.125,0.3590496018000421,0.3610932241277086,0.13418655502980226,0.005959839425765053
0.13,0.35982025318654903,0.3613661909045474,0.14369858817228476,0.006431913198117675
0.135,0.36059482803151766,0.36160035672085106,0.14875079480267805,0.006915625359140425
0.14,0.3613708592186434,0.36319269245033153,0.15095184487431412,0.007389890714572648
0.145,0.3621458549789144,0.3645204804914989,0.15141867361713368,0.007800433332644945
0.15,0.3629174093845199,0.3655435279187962,0.15226474496484066,0.007762937401703554
0.155,0.3636831054011759,0.36622114600616157,0.16473786534385226,0.008006649147523314
0.16,0.3644405228723344,0.3665126567926679,0.17104911926737776,0.008333195847215154
0.165,0.36518723912074563,0.36645800808225987,0.1734652615562493,0.008998812809230265
0.17,0.3659206305560006,0.3681496472043006,0.17425467078368473,0.009519980392298963
0.17500000000000002,0.36663814272707973,0.3694366856098666,0.17676418564880825,0.009618572489449929
0.18,0.36733751277394927,0.37026966431280967,0.18723454100917536,0.009803467409318936
0.185,0.36801652469301294,0.37059996865666656,0.19163825253720823,0.010323299208724447
0.19,0.36867301369065386,0.3703808163314162,0.2069668149273176,0.01095854154688454
0.195,0.3693048649690701,0.3718149923165025,0.20836972184262348,0.011212799570074424
0.2,0.36991003228183184,0.37306555516069223,0.20268514192674214,0.011566842503571787
0.20500000000000002,0.3704865713263512,0.37373669021201794,0.2079879416620276,0.012103556040209108
0.21,0.3710326551178818,0.37377373657885626,0.2369981300217079,0.012591195641209607
0.215,0.37154640693930896,0.3739051308516943,0.24949974050322332,0.01279643351637187
0.22,0.37202567983561197,0.3752238619852248,0.22767826445830508,0.013526011597662731
0.225,0.3724687341611409,0.37585407181064523,0.2251427613283239,0.013969143198798741
0.23,0.3728745288847344,0.3757380252251746,0.27655601668010377,0.01437132001000922
0.23500000000000001,0.3732414002140483,0.37523663851010625,0.2893156714514169,0.014680033566994518
0.24,0.37356349772036096,0.3762835817039821,0.26066033987009374,0.015494669364204619
0.245,0.37383777209009605,0.3762940371189658,0.2806895932632605,0.015770105164830486
0.25,0.37406760712723,0.3750586371066308,0.3261251245678316,0.016135161723545365
0.255,0.37425673494095757,0.37235763896504265,0.323760586167712,0.01704675761246315
0.26,0.37440074507367105,0.38734555370951773,0.279604846710213,0.017363878380775147
0.265,0.37450245705929314,0.40252337863666726,0.35148139251913335,0.017871712239031053
0.27,0.3745763580102748,0.41768996207253556,0.3714892734181914,0.01873597070989824
0.275,0.37463107631917747,0.42855309627583504,0.3371418555927015,0.019347377410026553
0.28,0.37467210379158206,0.4456743414782907,0.37759069625351627,0.01980982176964964
0.28500000000000003,0.3747031199658034,0.4622708191542564,0.412238468054809,0.020736574469405644
0.29,0.37472668358259437,0.4769610455432746,0.3868290238074774,0.021353262143234058
0.295,0.3747446258736269,0.49162450926548357,0.4109150963657682,0.02198691443864817
0.3,0.37475834725561075,0.5058080916356599,0.4513028017868643,0.023132202118932733
0.305,0.37476948676239075,0.5197409008013093,0.42733175157531855,0.023542055171837578
0.31,0.37477918015549166,0.5343631257889176,0.4534578273372134,0.024645349322973964
0.315,0.3747876574133692,0.5496952617156555,0.4899812462046449,0.02560092171945896
0.32,0.3747951063852944,0.5655016987539283,0.4601703631142655,0.026375510424251528
0.325,0.37480167978656354,0.5813940624260721,0.5031770464918885,0.02794317048387289
0.33,0.3748075023263298,0.5817484317300103,0.5259482948543923,0.028652976084648042
0.335,0.3748126767889558,0.582112876817678,0.48202504753795283,0.02976250818505683
0.34,0.37481728864522545,0.5824859031712049,0.5528685709001901,0.03093114436423307
0.34500000000000003,0.374821409578043,0.5828660636627242,0.5554593559205874,0.03204142339388195
0.35000000000000003,0.37482510021793564,0.5832517685748286,0.550977483319744,0.03359552479733715
0.355,0.3748284123364533,0.5836418993566638,0.5961091045603386,0.034429012582729374
0.36,0.3748313903777305,0.5840350961924082,0.5711927328258446,0.03589405132279847
0.365,0.37483407255233053,0.5844303684863916,0.61317901517007,0.03685621381671704
0.37,0.37483649191025725,0.5848268421439445,0.6268065580939512,0.03830690919210109
0.375,0.3748386772586305,0.585223710844188,0.6149139476308072,0.03934253293817312
0.38,0.37484065386342313,0.5856203479440599,0.6604903380105056,0.04108934338434817
0.385,0.3748424439936034,0.5860162986564109,0.6339182701259589,0.04226438738120368
0.39,0.3748440673740312,0.586411116708805,0.6792892195563236,0.04421275827528264
0.395,0.37484554150631366,0.5868045597480309,0.6832217756954166,0.04545742587213173
0.4,0.3748468818885614,0.5871965972918923,0.6883461032085534,0.04689115244854586
0.405,0.3748481022586041,0.5875868198727042,0.7174902821777431,0.04884228252108691
0.41000000000000003,0.37484921482969014,0.5879756094592202,0.6915483507267446,0.04972715799398371
0.41500000000000004,0.3748502304892164,0.5883628058036577,0.7408562746960397,0.05205645681582867
0.42,0.37485115897355653,0.5887484463143392,0.7196347297847518,0.052920862824302035
0.425,0.374852009013382,0.5891327339198008,0.7564191174290706,0.05519981546870044
0.43,0.37485278844861325,0.589515179454224,0.7559539233145143,0.05658065379804299
0.435,0.37485350435048265,0.5898961895401642,0.7664727523431094,0.058449894829232
0.44,0.3748541631690127,0.5902755747168794,0.7835242157684854,0.0600583494591308
0.445,0.374854770834467,0.5906531987307606,0.7727664004037309,0.06212859309621027
0.45,0.3748553327463944,0.5910291101152313,0.8043805807176514,0.06371550889172
0.455,0.3748558535660385,0.5914025606272029,0.7861589304006333,0.06608163279459335
0.46,0.3748563371624646,0.5917727894838392,0.8200031501437146,0.06774369665487608
0.465,0.37485678686521656,0.5921389377149273,0.8481531861990552,0.07002636040456091
0.47000000000000003,0.3748572056273647,0.5925000836279409,0.8802073572085953,0.07229651274888238
