x,radial_tension,radial_compression,ring_tension,ring_compression,skin
-2.1,0.0,271.2860690772223,0.0,0.0,0.0
-2.0500000000000003,3.2645763890581896,281.3534290522287,0.0,0.0,0.0
-2.0,5.83309431854838,286.6962035215616,0.0,0.0,0.0
-1.9500000000000002,7.720577259920988,285.8724505428431,0.0,0.0,0.0
-1.9000000000000001,9.016520711622006,278.7678531776812,0.0,0.0,0.0
-1.85,9.86081276529084,266.3442158690661,0.0,0.0,0.0
-1.8,10.380440915341959,250.2879729404611,0.0,0.0,0.0
-1.75,10.68685850912287,232.64595727852864,0.0,0.0,0.0
-1.7000000000000002,10.862017757411323,215.17589127487858,0.0,0.0,0.0
-1.6500000000000001,10.95947885748362,199.1002736152655,0.0,0.0,0.0
-1.6,11.013560721730041,185.39210224941235,0.0,0.0,0.0
-1.55,11.043677721263258,174.10944567443406,0.0,0.0,0.0
-1.5,11.06074377764097,164.46351432492838,0.0,0.0,0.0
-1.4500000000000002,11.071056532543956,155.29550428725477,0.0,0.0,0.0
-1.4,11.078691555858748,146.66623530794757,0.0,0.0,0.0
-1.35,11.08500241233885,138.82871551398839,0.0,0.0,0.0
-1.3,11.091918906313857,113.80103927167896,0.0,0.0,0.0
-1.25,11.101969557940812,76.23509348040312,0.0,0.0,0.0
-1.2000000000000002,11.114442973210897,27.207901003202597,0.0,0.0,0.0
-1.15,11.135328424902495,1.1476225372761302,0.0,0.0,0.0
-1.1,11.1809873337345,1.3435848903643697,0.0,0.0,0.0
-1.05,11.331064018712663,1.5619199512200672,0.0,0.0,0.0
-1.0,11.752411554565812,1.8342222720330466,0.0,0.0,195.85993872337866
-0.95,12.207361359138849,2.1360133049683188,0.0,0.0,103.82937539164195
-0.8999999999999999,12.44218034929493,2.420763023059778,0.0,0.0,50.812782071267485
-0.8500000000000001,12.471396942238101,2.6357821970831834,0.0,0.0,44.27919572169636
-0.8,12.222951743050956,2.646505226910129,0.0,0.0,115.00672598666713
-0.75,11.88142557878643,155.96745815828865,37.96230820215799,0.0001845822567076782,183.42326032023846
-0.7,11.540430857419851,2.369574164283153,0.0,0.0,277.71904681901754
-0.6499999999999999,11.448097538971831,2.2199772022344537,149.50353783273894,0.0007019210387979027,53.18787089821143
-0.6000000000000001,11.427830242408909,2.0520182562103044,0.0,0.0,0.0
-0.55,11.419148342587022,1.862629023192517,0.0,0.0,0.0
-0.5,11.397061298893542,1.6575975614665217,0.0,-0.0,0.0
